Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн;;
Січень 2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";22,000;9 706,08;;
Січень 2024;Djeco;DJ00014;"Djeco Набір для виготовлення браслетів дружби ""Веселка Куміхімо""";1,000;237,72;;
Січень 2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";29,000;13 047,54;;
Січень 2024;Djeco;DJ00017;"Djeco Набір для виготовлення браслетів дружби ""Вишні""";23,000;10 131,54;;
Січень 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";31,000;15 513,06;;
Січень 2024;Djeco;DJ01663;"Djeco Розвиваюча гра ""Застібки""";4,000;2 548,86;;
Січень 2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";1,000;624,36;;
Січень 2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";1,000;530,64;;
Січень 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";8,000;5 806,08;;
Січень 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";22,000;4 649,10;;
Січень 2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";27,000;5 841,12;;
Січень 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";53,000;11 783,10;;
Січень 2024;Djeco;DJ05099;"Djeco Гра ""Найкращі собаки""";2,000;623,76;;
Січень 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";39,000;8 312,58;;
Січень 2024;Djeco;DJ05105;"Djeco Гра ""Містігрі""";1,000;111,72;;
Січень 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";51,000;10 482,96;;
Січень 2024;Djeco;DJ05120;"Djeco Гра ""Тіп Топ Хлоп""";16,000;3 574,32;;
Січень 2024;Djeco;DJ05128;"Djeco Гра ""Міні природа""";2,000;279,24;;
Січень 2024;Djeco;DJ05133;"Djeco Гра ""Чапо магія""";3,000;358,74;;
