Дата;Марка (бренд);Артикул;Номенклатура;К-сть;Сума
01.01.2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";176,000;80 419,50
01.01.2024;Djeco;DJ00014;"Djeco Набір для виготовлення браслетів дружби ""Веселка Куміхімо""";147,000;67 720,56
01.01.2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";168,000;76 517,64
01.01.2024;Djeco;DJ00017;"Djeco Набір для виготовлення браслетів дружби ""Вишні""";167,000;75 298,86
01.01.2024;Djeco;DJ00025;"DJECO Набір для виготовлення намиста ""Сріблясті бульбашки""";148,000;68 736,12
01.01.2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";95,000;44 380,68
01.01.2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";139,000;70 290,84
01.01.2024;Djeco;DJ01661;"Djeco Гра розвиваюча ""Bingonimo""";1,000;399,36
01.01.2024;Djeco;DJ01663;"Djeco Розвиваюча гра ""Застібки""";5,000;3 279,30
01.01.2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";3,000;1 914,72
01.01.2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";9,000;4 587,84
01.01.2024;Djeco;DJ01688;"Djeco Гра настільна ""Морське лото""";2,000;841,68
01.01.2024;Djeco;DJ01696;"Djeco Розвиваюча гра ""ЖожоТрікот""";2,000;3 063,36
01.01.2024;Djeco;DJ01697;"Djeco Розвиваюча гра ""КлеоТрікот""";4,000;3 061,50
01.01.2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";187,000;128 578,50
01.01.2024;Djeco;DJ02094;"Djeco Гра ""Вечірка Roolygo""";5,000;685,08
01.01.2024;Djeco;DJ02095;"Djeco Ігровий набір для свята ""Піратська вечірка""";35,000;7 706,04
01.01.2024;Djeco;DJ02096;"Djeco Ігровий набір для свята ""Вечірка принцес""";28,000;6 914,16
01.01.2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";193,000;38 545,56
01.01.2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";247,000;48 533,91
01.01.2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";146,000;30 522,66
01.01.2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";188,000;52 761,73
01.01.2024;Djeco;DJ05099;"Djeco Гра ""Найкращі собаки""";175,000;48 924,19
01.01.2024;Djeco;DJ05100;"Djeco Гра ""Класика 52""";6,000;1 647,66
01.01.2024;Djeco;DJ05101;"Djeco Гра ""Міні сім'я""";12,000;2 351,94
01.01.2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";293,000;59 815,92
01.01.2024;Djeco;DJ05105;"Djeco Гра ""Містігрі""";27,000;5 172,06
