Дата	Артикул	Остатки ОРЦ, шт	Остатки ОРЦ, грн
01.01.2020	C058h	14	1911,84
01.01.2020	C065h	35	4380,6
01.01.2020	C080h	10	966
01.01.2020	C187h	22	867,24
01.01.2020	C238h	224	25468,8
01.01.2020	C241h	39	4434,3
01.01.2020	C242h	29	3297,3
01.01.2020	C712h	23	775,56
01.01.2020	DS0977h	81	20319,66
01.01.2020	MC01091 (MC091h)	64	26661,12
01.01.2020	MC062h-2	127	25328,88
01.01.2020	MC087h	74	30826,92
01.01.2020	MC117h	155	30913,2
01.01.2020	MC130h	1	56,58
01.01.2020	MC256h	1	199,44
01.01.2020	P654h	3	186,84
01.01.2020	P693h	19	1617,66
01.01.2020	P694h	56	4767,84
01.01.2020	S3001h	81	3193,02
01.01.2020	S3003h	243	9579,06
01.01.2020	S3006h	26	1024,92
01.01.2020	S3007h	364	14348,88
01.01.2020	S3008h	1408	55503,36
01.01.2020	S3009h	433	17068,86
01.01.2020	S3012h	24	946,08
01.01.2020	S3013h	1	10,86
01.01.2020	S3014h	105	1140,3
01.01.2020	S3031h	1	39,42
01.01.2020	T4017h	1	456,6
01.01.2020	DD03612	3	478,26
01.01.2020	DD03613	2	318,84
01.01.2020	DD03614	1	159,42
01.01.2020	DD04805	20	3531,6
01.01.2020	DD04808	4	706,32
01.01.2020	DD04809	9	1589,22
01.01.2020	DJ01641	25	10986
01.01.2020	DJ01642	9	2720,52
01.01.2020	DJ01649	18	6675,48
01.01.2020	DJ01654	19	6503,7
01.01.2020	DJ01693	21	7788,06
01.01.2020	DJ02077	25	2700
01.01.2020	DJ02079	15	1962,9
01.01.2020	DJ02091	12	1570,32
01.01.2020	DJ02095	17	2904,96
01.01.2020	DJ02096	10	1708,8
01.01.2020	DJ03081	22	8787,24
01.01.2020	DJ03082	18	3589,92
01.01.2020	DJ03085	15	5991,3
01.01.2020	DJ03111	194	69723,6
01.01.2020	DJ03112	1	342,3
01.01.2020	DJ03114	67	23316
01.01.2020	DJ03118	35	12980,1
01.01.2020	DJ03130	2	1290,24
01.01.2020	DJ04781	57	6156
01.01.2020	DJ04783	40	3864
01.01.2020	DJ04785	51	4926,6
01.01.2020	DJ05108	1	170,88
01.01.2020	DJ05117	12	2050,56
01.01.2020	DJ05120	1	170,88
01.01.2020	DJ05123	1	170,88
01.01.2020	DJ05125	18	3075,84
01.01.2020	DJ05135	11	1879,68
01.01.2020	DJ05136	2	341,76
01.01.2020	DJ05153	66	17689,32
01.01.2020	DJ05155	13	1404
01.01.2020	DJ05169	61	16349,22
01.01.2020	DJ05180	43	9313,8
01.01.2020	DJ05181	73	16227,9
01.01.2020	DJ05182	7	1556,1
01.01.2020	DJ05186	112	24259,2
01.01.2020	DJ05187	160	41049,6
01.01.2020	DJ05188	27	7236,54
01.01.2020	DJ05190	11	2445,3
01.01.2020	DJ05193	5	1340,1
01.01.2020	DJ05212	1	268,02
01.01.2020	DJ05350	25	
01.01.2020	DJ06072	16	4104,96
01.01.2020	DJ06103	51	15416,28
01.01.2020	DJ06281	28	8784,72
01.01.2020	DJ06283	43	12260,16
01.01.2020	DJ06433	52	18096
01.01.2020	DJ06762	3	
01.01.2020	DJ06830	1	
01.01.2020	DJ07012	2	558,84
01.01.2020	DJ07015	8	2280,96
01.01.2020	DJ07016	8	2280,96
01.01.2020	DJ07111	2	684,6
01.01.2020	DJ07137	2	375,96
01.01.2020	DJ07138	2	375,96
01.01.2020	DJ07141	10	1879,8
01.01.2020	DJ07200	18	2252,88
01.01.2020	DJ07201	134	16771,44
01.01.2020	DJ07205	30	7354,8
01.01.2020	DJ07207	1	245,16
