Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн
Вересень 2024;Djeco;DJ00058;"Djeco Набір фігурних наліпок ""Птахи""";408,000;69 719,04
Вересень 2024;Djeco;DJ00807;"Djeco Настільна гра ""Імпосібло - Океан""";12,000;3 421,44
Вересень 2024;Djeco;DJ05123;"Djeco Гра ""Горила""";88;22577,28
Вересень 2024;Djeco;DJ06970;"Djeco Карткова гра ""Міні Містігрі""";48,000;8 202,24
Листопад 2024;Djeco;DJ07900;"Djeco Набір масок з мозаїкою Зроби сам ""Тварини""";150,000;47 061,00
Листопад 2024;Djeco;DJ08401;"Djeco Настільна гра ""Чоп Чоп""";12,000;11 170,08
Листопад 2024;Djeco;DJ08579;"DJECO Настільна гра ""Кікепала""";12,000;5 341,68
Листопад 2024;Djeco;DJ08934;"Djeco Художній комплект з наліпками ""Каламбур""";100,000;21 660,00
Листопад 2024;Djeco;DJ09231;"Djeco Грим для обличчя, палітра 6 кольорів ""Ніжність""";120,000;30 787,20
Листопад 2024;Djeco;DJ09232;"Djeco Грим для обличчя, палітра 6 кольорів ""Металік""";120,000;30 787,20
Листопад 2024;Djeco;DJ09330;"Djeco Набір для творчості ""Світ квітів""";90,000;97 664,40
Листопад 2024;Djeco;DJ09342;"Djeco Набір для творчості ""При місячному світлі""";6,000;5 482,44
Листопад 2024;Djeco;DJ09590;"Djeco Набір наліпок на тіло ""Космос""";150,000;21 339,00
Листопад 2024;Djeco;DJ09699;"DJECO Набір для розфарбовування ""Маленькі віконця Пупі""";250,000;35 565,00
Листопад 2024;Djeco;DJ09808;"Djeco Набір для творчості з дерев'яними намистинами ""Квіти""";96,000;32 860,80
Листопад 2024;Djeco;DJ09809;"Djeco Набір для творчості з дерев'яними намистинами ""Пташки""";104,000;35 599,20
Листопад 2024;Djeco;DJ09867;"Djeco Набір для творчості ""М'які собаки""";30,000;15 411,60
Листопад 2024;Djeco;DJ07922;"Djeco Набір Зроби сам ""Космічний калейдоскоп""";264,000;120 542,40
Листопад 2024;Djeco;DJ08195;"DJECO Настільна гра ""Сенсіко""";192,000;65 721,60
Листопад 2024;Djeco;DJ08268;"Djeco Настільна гра ""Батоннікс""";18,000;11 304,36
Листопад 2024;Djeco;DJ08581;"Djeco Настільна гра ""Кубологіка 9""";6,000;4110,84
Листопад 2024;Djeco;DJ09045;"Djeco Набір для творчості з наліпками ""Перукарня""";10,000;2 851,20
Листопад 2024;Djeco;DJ09230;"Djeco Грим для обличчя, палітра 6 кольорів ""Природа""";144,000;36 944,64
Листопад 2024;Djeco;DJ09386;"Djeco Набір для творчості ""Голова в квадраті""";8,000;3 195,36
Листопад 2024;Djeco;DJ09586;"Djeco Набір наліпок на тіло ""Фіона""";120,000;17071,20
Листопад 2024;Djeco;DJ09807;"Djeco Набір для творчості з дерев'яними намистинами ""Маленькі тварини""";96,000;32860,80
Листопад 2024;Djeco;DJ09810;"Djeco Набір для творчості з дерев'яними намистинами ""Метелики""";160,000;54768,00
Листопад 2024;Djeco;DJ07901;"Djeco Набір головних прикрас з мозаїкою Зроби сам ""Принцеса""";120,000;39700,80
Листопад 2024;Djeco;DJ07961;"Djeco Ловець снів Зроби сам ""Сова""";6,000;2 293,56
Листопад 2024;Djeco;DJ08132;"Djeco Набір настільних ігор ""Динозаври""";84,000;45 551,52
Листопад 2024;Djeco;DJ08451;"Djeco Настільна гра ""Поліссімо""";96,000;54 800,64
Листопад 2024;Djeco;DJ08560;"DJECO Настільна гра ""Маленький везунчик""";6,000;2396,52
Листопад 2024;Djeco;DJ08897;"Djeco Набір для творчості - мозаїка ""Білочка""";120,000;60271,20
Листопад 2024;Djeco;DJ08997;"Djeco Набір для творчості ""Світ для створення тварин""";30,000;20 554,20
Травень 2024;Djeco;DJ08586;"DJECO Настільна гра ""Готельна логіка""";6,000;4 796,64
Травень 2024;Djeco;DJ08664;Djeco Художній комплект колаж для найменших, 4 фігурки;198,000;113 026,32
Травень 2024;Djeco;DJ08958;"Djeco Художній комплект для малювання ""Безодня""";6,000;4 453,56
Травень 2024;Djeco;DJ09063;"Djeco Художній комплект для малювання водою ""Що заховано в саду?""";100,000;31 374,00
Травень 2024;Djeco;DJ09071;"Djeco Набір для творчості з наліпками, що переміщуються ""Тварини""";72,000;18 472,32
Травень 2024;Djeco;DJ09522;"Djeco Набір для творчості ""Райські пташки""";84,000;47 950,56
Травень 2024;Djeco;DJ08884;"Djeco Набір наліпок 160 шт ""Чаювання принцес""";250,000;22 710,00
Травень 2024;Djeco;DJ09579;"Djeco Набір наліпок на тіло ""Забавні маленькі картинки""";100,000;14226,00
Травень 2024;Djeco;DJ09598;"Djeco Набір тимчасових татуювань ""Діно клуб""";10,000;1422,60
Травень 2024;Djeco;DJ09839;"Djeco Набір для виготовлення прикрас ""Намистинки""";360,000;174657,60
Травень 2024;Djeco;DJ09888;"Djeco Набір для творчості ""Охайно, але весело""";144,000;57516,48
Травень 2024;Djeco;DJ08576;"Djeco Настільна гра ""Кубологіка 16""";12,000;8 221,68
Травень 2024;Djeco;DJ08595;"Djeco Настільна гра ""Піратський острів""";6,000;4 453,56
Травень 2024;Djeco;DJ08760;"Djeco Художній комплект орігамі ""Літаки""";20,000;3759,60
Травень 2024;Djeco;DJ08830;"Djeco Набір наліпок 160 шт ""Принцеса""";100,000;9 084,00
Травень 2024;Djeco;DJ08932;"Djeco Набір наліпок для аплікації ""Створи тварину""";200,000;43320,00
Травень 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";200,000;62 748,00
Травень 2024;Djeco;DJ09437;"Djeco Набір для творчості ""Ніч""";96,000;38344,32
Травень 2024;Djeco;DJ09507;"Djeco Художній комплект малювання блискітками ""Сяючі русалки""";48,000;24658,56
Травень 2024;Djeco;DJ09575;"Djeco Набір наліпок на тіло ""Єдиноріг""";300,000;42678,00
Травень 2024;Djeco;DJ09591;"Djeco Набір наліпок на тіло ""Щаслива весна""";200,000;28452,00
Травень 2024;Djeco;DJ00058;"Djeco Набір фігурних наліпок ""Птахи""";12,000;1913,04
Травень 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";120,000;109648,80
Травень 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";180,000;41 040,00
Травень 2024;Djeco;DJ09252;"Djeco Набір наліпок на тіло ""Чародійка""";10,000;1422,60
Травень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";200,000;18168,00
Травень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";60,000;54824,40
Травень 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";150,000;137061,00
Травень 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";60,000;41108,40
Травень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";84,000;47950,56
Травень 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";84,000;52 753,68
Травень 2024;Djeco;DJ09436;"Djeco Набір для творчості ""Сад""";120,000;47 930,40
Травень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";120,000;61 646,40
Травень 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";300,000;42 678,00
Травень 2024;Djeco;DJ08560;"DJECO Настільна гра ""Маленький везунчик""";6,000;2 396,52
Травень 2024;Djeco;DJ08842;"Djeco Набір наліпок 160 шт ""Маленькі друзі""";100,000;9 084,00
Травень 2024;Djeco;DJ08982;"Djeco Набір для творчості ""Комахи""";60,000;32536,80
Травень 2024;Djeco;DJ09332;"Djeco Набір для творчості ""Казкова скринька""";360,000;390657,60
Травень 2024;Djeco;DJ09425;"Djeco Набір для творчості - мозаїка ""Милі тваринки""";252,000;115 063,20
Травень 2024;Djeco;DJ09612;"Djeco Набір наліпок на тіло ""Ласощі""";100,000;14 226,00
Листопад 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";216,000;49 248,00
Листопад 2024;Djeco;DJ09381;"Djeco Художній комплект для малювання ""Балерина""";120,000;61646,40
