Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн
Січень 2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";14,000;6 018,48
Січень 2024;Djeco;DJ00014;"Djeco Набір для виготовлення браслетів дружби ""Веселка Куміхімо""";4,000;1 424,58
Січень 2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";23,000;10 031,40
Січень 2024;Djeco;DJ00017;"Djeco Набір для виготовлення браслетів дружби ""Вишні""";6,000;2 454,78
Січень 2024;Djeco;DJ00025;"DJECO Набір для виготовлення намиста ""Сріблясті бульбашки""";15,000;6 767,94
Січень 2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";16,000;7 229,76
Січень 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";16,000;8 055,24
Січень 2024;Djeco;DJ01663;"Djeco Розвиваюча гра ""Застібки""";6,000;3 871,80
Січень 2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";2,000;1 322,94
Січень 2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";1,000;530,64
Січень 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";10,000;7 134,54
Січень 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";23,000;4 801,86
Січень 2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";6,000;1 255,26
Січень 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";26,000;5 409,42
Січень 2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";33,000;9 895,89
Січень 2024;Djeco;DJ05099;"Djeco Гра ""Найкращі собаки""";16,000;4 758,76
Січень 2024;Djeco;DJ05101;"Djeco Гра ""Міні сім'я""";1,000;192,90
Січень 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";35,000;7 470,30
Січень 2024;Djeco;DJ05105;"Djeco Гра ""Містігрі""";2,000;282,60
Січень 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";33,000;6 782,34
Січень 2024;Djeco;DJ05115;"Djeco Гра ""Щаслива сімейка""";1,000;249,30
Січень 2024;Djeco;DJ05117;"Djeco Гра ""Побудуй замок""";45,000;8 968,86
Січень 2024;Djeco;DJ05120;"Djeco Гра ""Тіп Топ Хлоп""";22,000;4 438,39
Січень 2024;Djeco;DJ05123;"Djeco Гра ""Горила""";30,000;6 052,56
