source,mode,feats_added,runtime_sec,val_WAPE,val_MAPE_nz,val_RMSE,test_WAPE,test_MAPE_nz,test_RMSE,val_WAPE_delta,test_WAPE_delta,val_MAPE_delta,test_MAPE_delta,run_utc,feats_total,val_WAPE_loss,test_WAPE_loss
baseline,add_one,0.0,14.8,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:35:20+00:00,,,
holidays_ua,add_one,11.0,24.7,0.4795,0.5285,3.676,0.5078,0.5455,5.079,-0.0074,0.0056,0.0008,0.0133,2026-04-23T10:35:20+00:00,,,
baseline,add_one,0.0,14.2,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:40:46+00:00,,,
nbu_fx,add_one,7.0,24.0,0.4775,0.5422,3.722,0.5046,0.5818,4.9986,-0.0094,0.0024,0.0145,0.0496,2026-04-23T10:40:46+00:00,,,
baseline,add_one,0.0,13.5,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:42:39+00:00,,,
weather_ua,add_one,6.0,13.8,0.4904,0.535,3.7411,0.5145,0.5488,5.1611,0.0035,0.0123,0.0073,0.0166,2026-04-23T10:42:39+00:00,,,
baseline,add_one,0.0,13.3,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:43:55+00:00,,,
school_ua,add_one,6.0,18.0,0.4834,0.5258,3.7374,0.5132,0.5462,5.1887,-0.0035,0.011,-0.0019,0.014,2026-04-23T10:43:55+00:00,,,
baseline,add_one,0.0,13.5,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:45:40+00:00,,,
gtrends_ua,add_one,3.0,17.9,0.4791,0.5264,3.6369,0.5139,0.5456,5.1673,-0.0078,0.0117,-0.0013,0.0134,2026-04-23T10:45:40+00:00,,,
__all__,loo,,,0.4824,0.5289,,0.5113,0.5516,,,,,,2026-04-23T10:47:55+00:00,33.0,,
gtrends_ua,loo,,,0.4849,0.5383,,0.5151,0.5738,,,,,,2026-04-23T10:47:55+00:00,30.0,0.0025,0.0038
holidays_ua,loo,,,0.4812,0.528,,0.5174,0.5644,,,,,,2026-04-23T10:47:55+00:00,22.0,-0.0012,0.0061
nbu_fx,loo,,,0.4885,0.536,,0.5089,0.547,,,,,,2026-04-23T10:47:55+00:00,26.0,0.0061,-0.0024
school_ua,loo,,,0.4851,0.5375,,0.5099,0.5654,,,,,,2026-04-23T10:47:55+00:00,27.0,0.0027,-0.0014
weather_ua,loo,,,0.474,0.5314,,0.5093,0.5736,,,,,,2026-04-23T10:47:55+00:00,27.0,-0.0084,-0.002
baseline,add_one,0.0,20.7,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:51:45+00:00,,,
world_bank_ua,add_one,4.0,21.3,0.4837,0.5362,3.6794,0.5121,0.5518,5.1076,-0.0032,0.0099,0.0085,0.0196,2026-04-23T10:51:45+00:00,,,
baseline,add_one,0.0,15.2,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:53:33+00:00,,,
conflict_ua,add_one,4.0,30.5,0.4734,0.5446,3.6575,0.4963,0.5668,4.9549,-0.0135,-0.0059,0.0169,0.0346,2026-04-23T10:53:33+00:00,,,
baseline,add_one,0.0,16.6,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:55:06+00:00,,,
tmdb_movies,add_one,4.0,15.8,0.4867,0.5377,3.7101,0.5113,0.5448,5.1241,-0.0002,0.0091,0.01,0.0126,2026-04-23T10:55:06+00:00,,,
baseline,add_one,0.0,14.7,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:57:59+00:00,,,
imf_cpi,add_one,3.0,22.4,0.4826,0.5356,3.7162,0.5132,0.5691,5.1155,-0.0043,0.011,0.0079,0.0369,2026-04-23T10:57:59+00:00,,,
baseline,add_one,0.0,13.3,0.4869,0.5277,3.7201,0.5022,0.5322,5.0443,0.0,0.0,0.0,0.0,2026-04-23T10:59:19+00:00,,,
air_raids_ua,add_one,3.0,23.2,0.4783,0.529,3.6447,0.5151,0.5533,5.2122,-0.0086,0.0129,0.0013,0.0211,2026-04-23T10:59:19+00:00,,,
