feature,gain,split
rmean_12,267549138.84345245,1035
rmean_6,162722354.08325195,872
month,72641039.25123596,954
brand_total,59947252.38167572,858
rstd_3,45637080.29182434,1244
rmean_3,44688314.32848358,823
lag_12,44478278.413619995,888
lag_1,38521287.292396545,677
sku_age_months,34429158.42740631,910
lag_2,27431014.0730896,666
lag_1_Количество_orc,26796231.71977234,1448
month_cos,24166448.38510132,324
demand_density,19968738.23271942,1080
lag_1_Количество_ship,17684136.19306183,1029
РРЦ,10707562.649276733,1078
rcv_6,7633526.427734375,595
lag_3,7368006.1056518555,727
sku_share_brand,6614256.248306274,463
partner_total,6320330.869560242,1546
year,5798730.360137939,292
brand_active,5639429.081878662,926
inv_to_sales_orc,5349405.699127197,590
inv_to_sales_tt,5274938.743209839,891
rstd_6,4116186.6985702515,650
lag_6,2511621.616165161,454
month_sin,2034322.955230713,249
stockout_tt,1987266.2101135254,118
is_wartime,1575798.312637329,92
quarter,1250995.5722961426,37
lag_1_Выручка_sales,1091790.170036316,434
is_newyear,1082054.7522277832,44
is_march,307414.3514404297,12
stockout_orc_prev,145575.5028076172,29
price_change_flag,144454.13037109375,57
stockout_orc,142674.93785095215,73
is_summer,126852.85096740723,46
stockout_both,103951.97448730469,40
promo_discount_pct,49585.77696228027,42
is_new_sku,48651.91424560547,14
is_promo,9061.292175292969,8
is_sept,6148.81787109375,3
is_q4,2060.3700256347656,2
