feature,gain_clf,gain_reg,gain_total,source
rmean_6,1243505.7250509262,18889.49071288109,1262395.2157638073,internal
lag_1,36084.352252960205,939670.652513504,975755.0047664642,internal
rmean_12,306821.6809949875,164882.6504700184,471704.3314650059,internal
rmean_3,143007.06538391113,209210.6725885868,352217.73797249794,internal
volume_tier,261881.36269760132,201.73731136322021,262083.10000896454,internal
stockout_tt,177060.29159545898,1102.4491782188416,178162.74077367783,internal
month,10697.516273498535,118058.96373844147,128756.48001194,internal
lag_1_Количество_ship,26716.965565681458,77174.52911067009,103891.49467635155,internal
inv_to_sales_tt,63930.58154773712,23207.865434646606,87138.44698238373,internal
Группа_товара,34924.73480319977,51317.16985082626,86241.90465402603,internal
partner_total,33033.65135097504,38637.64478588104,71671.29613685608,internal
lag_max_3,437.656192779541,51055.643067121506,51493.29925990105,internal
РРЦ,26118.71701526642,9453.371956586838,35572.088971853256,internal
lag_1_Количество_orc,18291.27264213562,13649.726878643036,31940.999520778656,internal
sku_age_months,10770.416872024536,19440.02014398575,30210.437016010284,internal
uah_usd_yoy_pct,4750.871196746826,22309.720863819122,27060.59206056595,nbu_fx
brand_active,6530.935606956482,18414.804242372513,24945.739849328995,internal
month_cos,1897.43030834198,21496.970866680145,23394.401175022125,internal
sku_share_brand,9880.985175132751,12366.809730529785,22247.794905662537,internal
Канал,7193.72887802124,12709.6981112957,19903.42698931694,internal
demand_density,11091.02337360382,8379.856579780579,19470.8799533844,internal
stockout_both,16134.658909797668,192.34044981002808,16326.999359607697,internal
lag_min_3,11492.974820137024,3159.3745160102844,14652.349336147308,internal
days_to_st_nicholas,1478.834997177124,12711.737084150314,14190.572081327438,holidays_ua
brand_total,6153.8039808273315,8032.477239370346,14186.281220197678,internal
Тип_соглашения,8313.405919075012,5580.249274253845,13893.655193328857,internal
precip_mm,5165.970392227173,8511.520014762878,13677.490406990051,weather_ua
months_since_demand,9799.752131462097,3603.619053840637,13403.371185302734,internal
temp_mean_c,2454.4260034561157,9768.207402229309,12222.633405685425,weather_ua
days_to_easter,5279.246891975403,6652.231712341309,11931.478604316711,holidays_ua
sales_ship_ratio,2764.945508003235,7735.5067682266235,10500.452276229858,internal
temp_anomaly_c,3557.913116455078,6774.51989865303,10332.433015108109,weather_ua
trends_toys_general,2633.774585723877,7545.934854030609,10179.709439754486,gtrends_ua
rstd_6,2058.4866008758545,7426.859316825867,9485.345917701721,internal
