feature,gain_clf,gain_reg,gain_total
rmean_3,377782.2565398216,48504.47286391258,426286.7294037342
lag_max_3,147203.51653862,4710.05469250679,151913.57123112679
stockout_tt,105776.16065883636,227.58630979061127,106003.74696862698
lag_1,63526.35425949097,27653.934816002846,91180.28907549381
rmean_6,86777.07423019409,4086.5650548934937,90863.63928508759
rmean_12,69705.21775817871,15182.384624302387,84887.6023824811
was_censored,47698.444266319275,0.0,47698.444266319275
Группа_товара,27499.836089134216,16138.626976966858,43638.463066101074
inv_to_sales_tt,24852.71300315857,8358.723888754845,33211.436891913414
partner_total,21383.853734970093,9957.319499015808,31341.1732339859
lag_1_Количество_ship,17315.22011613846,10229.922698140144,27545.142814278603
demand_density,19036.434207439423,4731.867598056793,23768.301805496216
lag_1_Количество_orc,9846.59548997879,6801.432954251766,16648.028444230556
РРЦ,13079.484654426575,3348.054335832596,16427.53899025917
inv_to_sales_orc,10921.164385318756,4803.88131403923,15725.045699357986
sku_age_months,9614.576731204987,4533.712508916855,14148.289240121841
stockout_both,13732.836268424988,21.519529938697815,13754.355798363686
month,6881.0074191093445,6648.478271365166,13529.48569047451
intensity_mom_delta,10181.984293937683,2459.181969642639,12641.166263580322
sku_share_brand,7520.194702625275,4998.465163588524,12518.659866213799
lag_min_3,10245.394444942474,2090.762265443802,12336.156710386276
brand_active,4633.5109939575195,4118.39687538147,8751.90786933899
brand_total,4551.405282497406,3904.2642342448235,8455.66951674223
rstd_6,2668.030460357666,5077.749722123146,7745.780182480812
rcv_6,2594.53444814682,4886.640799283981,7481.175247430801
sales_ship_ratio,2838.322600841522,4310.603754520416,7148.9263553619385
stockout_orc,6925.540429592133,162.73006868362427,7088.270498275757
lag_1_Выручка_sales,2682.6075348854065,4384.618457555771,7067.225992441177
Тип_соглашения,6256.940082550049,405.74265015125275,6662.682732701302
sku_promo_sensitivity,2292.1288418769836,3946.9453133940697,6239.074155271053
demand_accel,2049.3902654647827,4069.4052188396454,6118.795484304428
uah_eur_mom_pct,2931.0733852386475,3048.5635895729065,5979.636974811554
volume_tier,5631.7698221206665,158.31830883026123,5790.088130950928
uah_usd_yoy_pct,3313.7170791625977,2310.0804855823517,5623.797564744949
days_to_easter,2788.542826652527,2619.8678588867188,5408.410685539246
lag_12,2059.1506066322327,3076.62538254261,5135.775989174843
demand_cv,2008.9121851921082,3089.119432926178,5098.031618118286
months_since_invasion,4265.082985401154,792.3812609910965,5057.46424639225
rstd_3,1036.0264987945557,3809.512060403824,4845.5385591983795
trends_toys_general,2543.858103275299,2242.075343608856,4785.933446884155
uah_usd_mom_pct,2339.96054315567,1908.0288791656494,4247.98942232132
yoy_ratio,938.0486598014832,3282.5757900476456,4220.624449849129
Канал,2708.914034843445,1509.8601138591766,4218.7741487026215
uah_eur_eom,2625.143699169159,1505.6429193019867,4130.786618471146
lag_2,1430.5308046340942,2689.8846311569214,4120.415435791016
yoy_diff,977.2372722625732,3113.4057986736298,4090.643070936203
demand_velocity,1104.6178278923035,2901.9196701049805,4006.537497997284
trends_board_games_puzzles,2214.79043674469,1674.5878165960312,3889.378253340721
lag_6,973.4652891159058,2872.5706481933594,3846.035937309265
trends_toy_brands,1890.6309733390808,1853.4023523330688,3744.0333256721497
month_cos,2352.114555835724,1061.6871398687363,3413.80169570446
partner_volume_tier,2939.4574151039124,419.9589788913727,3359.416393995285
conflict_intensity,2177.3028864860535,981.8351819515228,3159.1380684375763
months_until_next_promo,1025.7029256820679,2058.1228657364845,3083.8257914185524
nbu_policy_rate_diff_3m,1980.198989391327,1003.9965478181839,2984.195537209511
months_since_demand,2302.4770798683167,620.7516996860504,2923.228779554367
days_to_womens_day,1500.7988057136536,1321.492137670517,2822.2909433841705
lag_3,563.3302917480469,2218.940071940422,2782.270363688469
holiday_count,1502.780421257019,1179.1564190387726,2681.9368402957916
days_to_childrens_day,1567.727635383606,939.0696997642517,2506.7973351478577
nbu_policy_rate_eom,1200.7827997207642,1233.235491156578,2434.018290877342
month_sin,1444.3598985671997,650.9527683258057,2095.3126668930054
release_prior_month,1388.763876914978,690.991452217102,2079.75532913208
Бренд,1383.644268989563,692.0886704921722,2075.7329394817352
days_to_ny,1344.0145516395569,586.2351194620132,1930.2496711015701
wb_gdp_growth,1267.3337802886963,603.6495778560638,1870.9833581447601
uah_usd_eom,830.9638719558716,925.620986700058,1756.5848586559296
Сегмент_ABC,676.9924473762512,890.033861041069,1567.0263084173203
stockout_orc_prev,1378.8851289749146,113.7968100309372,1492.6819390058517
lag_range_3,344.95020961761475,1145.0685299634933,1490.018739581108
release_next_month,740.8446207046509,545.4430809020996,1286.2877016067505
price_change_flag,866.6233196258545,175.7177814245224,1042.341101050377
family_releases_influence,295.36169147491455,540.0689200162888,835.4306114912033
year,372.97322702407837,403.0200012922287,775.9932283163071
days_to_st_nicholas,423.5734004974365,161.48212015628815,585.0555206537247
promo_discount_pct,117.59912967681885,433.86911821365356,551.4682478904724
months_since_last_promo,233.2515697479248,273.3809108734131,506.6324806213379
major_holiday_in_month,229.86721849441528,226.96212947368622,456.8293479681015
is_new_sku,329.23370456695557,102.55148029327393,431.7851848602295
wb_pop_0_14,351.0056576728821,64.84831035137177,415.85396802425385
wb_cpi_inflation,270.01897954940796,122.09064054489136,392.1096200942993
quarter,290.895694732666,68.72970998287201,359.625404715538
post_promo_depletion_flag,104.81171035766602,220.87909042835236,325.6908007860184
trend_up_3m,95.75917959213257,208.1125795841217,303.8717591762543
family_releases_count,108.29327058792114,188.49850976467133,296.79178035259247
preholiday_nov,175.63910150527954,100.03670001029968,275.6758015155792
is_newyear,124.8681697845459,122.00182867050171,246.8699984550476
trend_down_3m,60.72352123260498,154.65209925174713,215.3756204843521
wb_fertility,82.62059116363525,126.09634006023407,208.71693122386932
is_summer,75.93368911743164,92.86907970905304,168.80276882648468
promo_duration_months,81.72949028015137,80.09945964813232,161.8289499282837
is_dec,56.4709997177124,80.16683948040009,136.6378391981125
is_sept,87.52892065048218,41.87942957878113,129.4083502292633
promo_depth_pct_current,32.62249946594238,42.61217021942139,75.23466968536377
is_wartime,34.171600341796875,37.734779477119446,71.90637981891632
is_promo,7.318120002746582,43.45890998840332,50.7770299911499
easter_month_flag,21.941200256347656,23.5384703874588,45.47967064380646
is_march,23.621100425720215,20.0625,43.683600425720215
war_active,25.650649070739746,6.921209931373596,32.57185900211334
is_q4,16.83340072631836,6.054680109024048,22.888080835342407
preholiday_dec,0.0,0.0,0.0
