feature,gain_clf,gain_reg,gain_total
rmean_3,20133.87185204029,7799.316686809063,27933.188538849354
Группа_товара,2235.362184882164,10506.78537890315,12742.147563785315
rmean_6,7927.834046602249,3684.3065751791,11612.14062178135
rmean_12,7178.420995235443,4226.079571565613,11404.500566801056
inv_to_sales_tt,6890.029133498669,1946.0895250951871,8836.118658593856
was_censored,7100.703731775284,0.0,7100.703731775284
partner_total,1895.3515501618385,3333.909459158778,5229.261009320617
lag_1_Количество_ship,1032.5170806646347,4127.5693536400795,5160.086434304714
demand_density,2956.5055178403854,2114.4519609063864,5070.957478746772
inv_to_sales_orc,2404.6270763874054,1791.0591315478086,4195.686207935214
stockout_tt,3642.751802802086,0.0,3642.751802802086
lag_1_Количество_orc,1378.0058364868164,2138.5276307146996,3516.533467201516
lag_1,1447.919769346714,1942.711147159338,3390.630916506052
cohort_demand_lag1,1151.0536386966705,1875.7857484463602,3026.8393871430308
rstd_6,873.8152277469635,2151.757812410593,3025.5730401575565
month,884.2976689338684,1899.1641021296382,2783.4617710635066
sku_share_brand,912.4987641572952,1828.4079237356782,2740.9066878929734
price_vs_rrc,1312.0841859579086,1376.3660326749086,2688.4502186328173
sku_age_months,985.297698199749,1691.4719266984612,2676.76962489821
sku_promo_sensitivity,1017.5779955387115,1478.1007482036948,2495.6787437424064
rcv_6,941.47972458601,1494.2290537704248,2435.708778356435
sku_price_elasticity,864.414020895958,1517.8284331611358,2382.2424540570937
months_until_next_promo,684.1124435067177,1584.2487740702927,2268.3612175770104
РРЦ,1269.223400592804,849.7945264205337,2119.0179270133376
lag_1_Выручка_sales,581.1237188577652,1480.7881060913205,2061.9118249490857
demand_cv,609.7282757163048,1354.501847394742,1964.2301231110469
rstd_3,417.4203758239746,1497.4170671254396,1914.8374429494143
days_to_easter,593.4485975503922,1225.2396287322044,1818.6882262825966
uah_eur_mom_pct,702.2432096004486,1076.130921639502,1778.3741312399507
brand_active,508.1089607477188,1199.3311334066093,1707.440094154328
lag_max_3,384.3590122461319,1316.6363420188427,1700.9953542649746
brand_total,549.3171001672745,1107.240426748991,1656.5575269162655
cohort_stockout_share_lag1,559.2132096290588,1096.315367336385,1655.5285769654438
demand_accel,494.32015120983124,1095.5923130512238,1589.912464261055
months_since_invasion,496.4639490842819,1092.5399700291455,1589.0039191134274
yoy_ratio,358.71575021743774,1219.191470645368,1577.9072208628058
uah_eur_eom,554.7567900419235,910.9969630166888,1465.7537530586123
lag_12,318.9365108013153,1108.755624614656,1427.6921354159713
sales_ship_ratio,317.6976215839386,1109.3569312542677,1427.0545528382063
intensity_mom_delta,966.3856576681137,434.7681881971657,1401.1538458652794
lag_2,448.9393093585968,876.8168156370521,1325.7561249956489
lag_6,460.02417916059494,862.4733819030225,1322.4975610636175
price_lag3,465.63091933727264,831.8715940788388,1297.5025134161115
trends_toys_general,349.87081956863403,946.1524938326329,1296.023313401267
uah_usd_yoy_pct,556.3040488958359,726.3671558983624,1282.6712047941983
trends_board_games_puzzles,359.6935632824898,771.307797845453,1131.0013611279428
demand_velocity,330.6161906719208,796.843419469893,1127.4596101418138
trends_toy_brands,361.93903052806854,683.3220858946443,1045.2611164227128
yoy_diff,261.4474945664406,778.6726152300835,1040.120109796524
release_prior_month,335.2619491815567,656.8078646808863,992.069813862443
conflict_intensity,559.4870909452438,424.828610483557,984.3157014288008
lag_min_3,378.39175522327423,597.1316852122545,975.5234404355288
lag_3,221.9297696352005,625.3739729821682,847.3037426173687
days_to_womens_day,274.8722634911537,555.3892406076193,830.261504098773
uah_usd_mom_pct,376.525621175766,447.40656211972237,823.9321832954884
cohort_size,329.3350285887718,485.9362545758486,815.2712831646204
price_lag1,248.53598749637604,566.2289096862078,814.7648971825838
price_vs_brand_median,212.11995029449463,570.5283645540476,782.6483148485422
days_to_ny,203.85614013671875,578.4043154418468,782.2604555785656
wb_gdp_growth,423.14616107940674,350.9428163468838,774.0889774262905
nbu_policy_rate_diff_3m,331.86633908748627,432.3944846317172,764.2608237192035
holiday_count,189.58214950561523,489.1191642731428,678.701313778758
stockout_orc,625.7232629060745,47.95114004611969,673.6744029521942
nbu_policy_rate_eom,238.07112908363342,404.9328632168472,643.0039923004806
promo_discount_pct,106.0441302061081,513.7371169924736,619.7812471985817
month_cos,106.43533968925476,498.67871963232756,605.1140593215823
days_to_childrens_day,193.01992917060852,399.8074176199734,592.8273467905819
cannibalisation_pressure,288.2232391834259,303.4455792158842,591.6688183993101
partner_volume_tier,230.5123871564865,337.4728689491749,567.9852561056614
release_next_month,198.0566200017929,306.99525302648544,505.05187302827835
uah_usd_eom,104.47254967689514,384.40262600779533,488.8751756846905
Сегмент_ABC,32.83899986743927,455.6785927116871,488.51759257912636
days_to_st_nicholas,247.98747968673706,237.45134255290031,485.4388222396374
month_sin,135.05663013458252,269.96944303810596,405.0260731726885
lag_range_3,107.368199467659,282.0055577903986,389.3737572580576
family_releases_influence,115.85876047611237,269.3348331153393,385.19359359145164
months_since_demand,258.41431725025177,109.51888354122639,367.93320079147816
price_change_3m_pct,83.01670038700104,230.7502799332142,313.7669803202152
is_newyear,62.535380363464355,223.1030676662922,285.63844802975655
stockout_both,273.8717303276062,0.0,273.8717303276062
year,79.93208980560303,180.14986722916365,260.0819570347667
months_since_last_promo,125.20925974845886,122.73145294189453,247.9407126903534
quarter,30.793930768966675,155.11995884776115,185.91388961672783
family_releases_count,47.290679931640625,136.7548504769802,184.04553040862083
price_vs_channel_median,34.15975046157837,138.3229487389326,172.48269920051098
volume_tier,4.352399945259094,163.3033628463745,167.6557627916336
wb_fertility,59.27964973449707,99.26545536518097,158.54510509967804
major_holiday_in_month,45.18717002868652,110.74110122025013,155.92827124893665
post_promo_depletion_flag,37.57235050201416,112.00778704881668,149.58013755083084
is_dec,0.0,135.59738019108772,135.59738019108772
Бренд,41.64104962348938,72.06991988420486,113.71096950769424
promo_depth_pct_current,10.721699714660645,101.7563756108284,112.47807532548904
is_promo,2.3723700046539307,95.11026984453201,97.48263984918594
price_change_flag,67.82756960391998,28.051897048950195,95.87946665287018
wb_pop_0_14,34.771289706230164,46.305663246661425,81.07695295289159
trend_down_3m,37.41863012313843,38.062776029109955,75.48140615224838
is_summer,22.91228973865509,38.70402571558952,61.616315454244614
stockout_orc_prev,30.860899925231934,23.241239964962006,54.10213989019394
Тип_соглашения,54.03392970561981,0.0,54.03392970561981
wb_cpi_inflation,20.94639003276825,31.560142800211906,52.506532832980156
is_q4,3.6716198921203613,41.54379081726074,45.2154107093811
trend_up_3m,17.935370087623596,22.213217854499817,40.14858794212341
preholiday_nov,22.088059902191162,14.299596011638641,36.3876559138298
promo_duration_months,9.03754985332489,17.932924211025238,26.970474064350128
preholiday_dec,11.262299537658691,8.93952989578247,20.201829433441162
is_wartime,6.580600023269653,11.961212933063507,18.54181295633316
war_active,5.722559928894043,10.38253602385521,16.105095952749252
is_sept,7.5612897872924805,2.1680660247802734,9.729355812072754
is_march,7.884629726409912,0.9021070003509521,8.786736726760864
is_new_sku,3.427199959754944,4.430259943008423,7.857459902763367
easter_month_flag,0.0,3.9500709772109985,3.9500709772109985
Канал,0.0,0.0,0.0
