feature,gain_clf,gain_reg,gain_total
rmean_3,17231.61597418785,7149.324717137963,24380.940691325814
stockout_tt,20128.8551902771,0.0,20128.8551902771
rmean_12,4013.2451791763306,6216.081862472754,10229.327041649085
lag_1_Количество_ship,1589.2703790664673,3994.473282834515,5583.743661900982
rmean_6,3351.082060933113,1767.9716778083239,5119.053738741437
Группа_товара,1551.896979689598,3290.8312143087387,4842.728193998337
was_censored,4599.578013896942,0.0,4599.578013896942
partner_total,1878.0002530813217,1875.3957374058664,3753.395990487188
inv_to_sales_tt,2520.592520713806,1113.8961186523084,3634.4886393661145
demand_density,2091.2932411432266,1435.8899880809477,3527.1832292241743
lag_1,191.04029083251953,3088.047439582646,3279.0877304151654
lag_1_Количество_orc,972.9870508909225,1679.5895289876498,2652.5765798785724
inv_to_sales_orc,1322.6601614952087,1173.8760072197183,2496.536168714927
lag_max_3,273.57437205314636,2125.057128611952,2398.6315006650984
rstd_6,769.3507198095322,1604.2436494543217,2373.594369263854
cohort_demand_lag1,746.7564392089844,1238.2997241704725,1985.0561633794568
sku_age_months,821.6017698049545,1066.106695943512,1887.7084657484666
price_vs_rrc,719.4149191379547,1149.0164658227004,1868.4313849606551
months_until_next_promo,664.4887917041779,1169.6250172257423,1834.1138089299202
sku_price_elasticity,654.3402397632599,1101.1745384205133,1755.5147781837732
month,604.0243411064148,1077.2760048285127,1681.3003459349275
rcv_6,606.6186009645462,1061.5549780279398,1668.173578992486
sku_promo_sensitivity,608.4796797037125,994.4026409648359,1602.8823206685483
РРЦ,521.3641608953476,1060.5264645032585,1581.890625398606
sku_share_brand,399.99232935905457,1103.1881015650579,1503.1804309241124
brand_active,473.1222984790802,956.113081520889,1429.2353799999692
brand_total,500.9552114009857,919.9970810580999,1420.9522924590856
sales_ship_ratio,525.721936583519,793.8755271229893,1319.5974637065083
demand_cv,367.5761913061142,907.8237858550856,1275.3999771611998
cohort_stockout_share_lag1,467.09253799915314,807.7974602930481,1274.8899982922012
uah_eur_mom_pct,527.3361303806305,673.7086784094572,1201.0448087900877
lag_1_Выручка_sales,327.7514111995697,844.7550147338188,1172.5064259333885
rstd_3,305.2300205230713,783.3696090421872,1088.5996295652585
price_lag3,368.1729997396469,707.2974108727649,1075.4704106124118
lag_12,135.99319982528687,915.1804907526821,1051.173690577969
months_since_invasion,352.64155995845795,686.124907284975,1038.766467243433
trends_toys_general,301.6396806240082,676.0878141708672,977.7274947948754
trends_toy_brands,315.01348865032196,646.7117435745895,961.7252322249115
demand_accel,279.20945143699646,679.3110776487738,958.5205290857702
yoy_ratio,163.40822982788086,727.5490111600375,890.9572409879183
intensity_mom_delta,481.09339904785156,291.0770222991705,772.170421347022
uah_eur_eom,246.9979190826416,523.249320089817,770.2472391724586
price_vs_brand_median,219.51082062721252,543.6945482660085,763.205368893221
cohort_size,283.9803000688553,478.7330715917051,762.7133716605604
Бренд,265.71585059165955,487.5813709720969,753.2972215637565
price_lag1,281.2541196346283,466.86842740885913,748.1225470434874
uah_usd_yoy_pct,346.71550011634827,393.9345939680934,740.6500940844417
trends_board_games_puzzles,257.54419028759,415.27800019970164,672.8221904872917
days_to_easter,225.16068053245544,439.50918326782994,664.6698638002854
conflict_intensity,220.7674605846405,414.2649930920452,635.0324536766857
yoy_diff,80.01049041748047,538.0903879329562,618.1008783504367
uah_usd_mom_pct,125.1552404165268,486.43090803176165,611.5861484482884
demand_velocity,118.67228925228119,479.1043851673603,597.7766744196415
cannibalisation_pressure,235.22328877449036,355.83662451803684,591.0599132925272
days_to_womens_day,219.97346711158752,356.1933339163661,576.1668010279536
month_cos,156.897629737854,406.1505582779646,563.0481880158186
lag_6,156.91740012168884,397.55003096163273,554.4674310833216
lag_2,73.74376034736633,435.2506577298045,508.99441807717085
