feature,gain_clf,gain_reg,gain_total
rmean_3,91031.7991528511,59916.93603652716,150948.73518937826
rmean_12,34755.34837555885,13278.5882589221,48033.93663448095
lag_max_3,30554.148513555527,8884.604204654694,39438.75271821022
lag_1,2130.287075996399,34729.406733214855,36859.693809211254
Группа_товара,4510.557809829712,16208.880332231522,20719.438142061234
partner_total,8565.33606171608,8596.353802800179,17161.68986451626
stockout_tt,14271.090950489044,274.2468374967575,14545.337787985802
rmean_6,3342.006231069565,10516.88227802515,13858.888509094715
inv_to_sales_tt,5902.967835426331,5688.664460539818,11591.632295966148
lag_1_Количество_ship,2971.4188418388367,8274.027408242226,11245.446250081062
lag_1_Количество_orc,3878.798663377762,3926.6976130008698,7805.496276378632
stockout_both,7761.163678646088,11.029672265052795,7772.19335091114
demand_density,3949.234435558319,3784.258807837963,7733.493243396282
month,1538.9973385334015,5848.801564216614,7387.798902750015
lag_min_3,3801.4897599220276,2386.078173160553,6187.567933082581
was_censored,6117.0584552288055,0.0,6117.0584552288055
sku_age_months,2475.4147276878357,3629.6349744796753,6105.049702167511
inv_to_sales_orc,2539.200093984604,3201.8271141648293,5741.027208149433
sku_share_brand,1842.0439734458923,3624.715328156948,5466.75930160284
price_vs_rrc,1592.7419216632843,3200.117733836174,4792.859655499458
РРЦ,3059.0996992588043,1506.960678756237,4566.060378015041
cohort_demand_lag1,1640.2937796115875,2812.7093906998634,4453.003170311451
rstd_6,1284.2483508586884,2906.542413711548,4190.790764570236
months_until_next_promo,979.6183650493622,2944.230080127716,3923.8484451770782
brand_active,1590.6432900428772,2286.905830144882,3877.5491201877594
brand_total,1378.521969795227,2248.6867285370827,3627.2086983323097
sku_price_elasticity,1065.0368039608002,2454.7780933380127,3519.814897298813
months_since_invasion,1355.9407677650452,2153.745683968067,3509.6864517331123
rcv_6,1100.3379940986633,2356.606386244297,3456.9443803429604
Тип_соглашения,2097.197380542755,1222.9729878902435,3320.1703684329987
intensity_mom_delta,1471.0782537460327,1657.270170211792,3128.3484239578247
lag_12,627.0363395214081,2324.628407537937,2951.6647470593452
sku_promo_sensitivity,1088.7473402023315,1787.0454451441765,2875.792785346508
lag_1_Выручка_sales,940.9892604351044,1875.6501787304878,2816.639439165592
rstd_3,588.0079293251038,2218.969578385353,2806.977507710457
demand_cv,868.3569215536118,1882.845199227333,2751.202120780945
cohort_stockout_share_lag1,959.1212317943573,1725.5034160614014,2684.6246478557587
sales_ship_ratio,290.7772991657257,2383.0747649669647,2673.8520641326904
uah_eur_mom_pct,673.602281332016,1997.0627125501633,2670.6649938821793
days_to_easter,659.0100808143616,1863.0157451629639,2522.0258259773254
yoy_diff,379.74963188171387,2002.5938829779625,2382.3435148596764
demand_accel,672.5541090965271,1670.3147693872452,2342.8688784837723
trends_toy_brands,976.7078733444214,1360.1764105558395,2336.884283900261
price_lag3,882.4063515663147,1266.733549296856,2149.1399008631706
trends_board_games_puzzles,964.2400951385498,1163.7962408661842,2128.036336004734
uah_eur_eom,673.6276497840881,1428.6460320949554,2102.2736818790436
month_cos,457.09605884552,1548.7421699762344,2005.8382288217545
yoy_ratio,344.6032416820526,1645.663655757904,1990.2668974399567
lag_6,430.7103476524353,1506.313470363617,1937.0238180160522
trends_toys_general,668.2498223781586,1258.5879442691803,1926.8377666473389
demand_velocity,326.38263988494873,1528.104288816452,1854.4869287014008
lag_2,357.167799949646,1281.9616984724998,1639.1294984221458
cannibalisation_pressure,673.1807806491852,961.9256700277328,1635.106450676918
uah_usd_mom_pct,546.0413918495178,1019.0113835930824,1565.0527754426003
uah_usd_yoy_pct,558.9847800731659,941.9573746323586,1500.9421547055244
days_to_womens_day,495.78975892066956,1003.3907316923141,1499.1804906129837
price_vs_brand_median,421.80050134658813,1065.881055176258,1487.6815565228462
cohort_size,428.5087993144989,988.6775786280632,1417.186377942562
lag_3,249.80777025222778,1098.708036661148,1348.5158069133759
partner_volume_tier,298.1750795841217,1041.7374753952026,1339.9125549793243
price_lag1,502.10433077812195,828.6143769025803,1330.7187076807022
nbu_policy_rate_diff_3m,556.5719110965729,733.8179225921631,1290.389833688736
months_since_last_promo,333.6507613658905,949.1505331397057,1282.8012945055962
nbu_policy_rate_eom,375.60973930358887,786.4038166999817,1162.0135560035706
months_since_demand,812.7875893115997,323.65237218141556,1136.4399614930153
holiday_count,280.8430178165436,815.4213442206383,1096.2643620371819
uah_usd_eom,270.13447976112366,762.1745778918266,1032.3090576529503
Сегмент_ABC,54.745699882507324,939.3439790606499,994.0896789431572
conflict_intensity,354.8887906074524,630.9103934764862,985.7991840839386
days_to_ny,359.5217182636261,591.9092760682106,951.4309943318367
days_to_childrens_day,394.43200039863586,521.5228499770164,915.9548503756523
release_prior_month,366.3781707286835,505.68780142068863,872.0659721493721
post_promo_depletion_flag,167.19100165367126,661.3104702234268,828.5014718770981
price_change_3m_pct,159.1413607597351,640.6944420337677,799.8358027935028
lag_range_3,158.45476984977722,620.173480451107,778.6282503008842
release_next_month,356.3375611305237,420.43376660346985,776.7713277339935
year,66.30206966400146,685.9317997694016,752.233869433403
days_to_st_nicholas,154.02755784988403,569.2583517432213,723.2859095931053
month_sin,180.42802906036377,493.2439621090889,673.6719911694527
family_releases_influence,154.5928783416748,498.3608286976814,652.9537070393562
