feature,gain_clf,gain_reg,gain_total
rmean_3,14409.027898073196,607.5442704642192,15016.572168537416
lag_max_3,7204.043707609177,101.81575660407543,7305.859464213252
rmean_12,5625.70770072937,1037.3195210171398,6663.02722174651
stockout_tt,4906.193902850151,63.0228376686573,4969.216740518808
lag_1_Количество_orc,2875.365645647049,525.1104257693514,3400.4760714164004
sku_share_brand,2730.7733323574066,459.22404428757727,3189.997376644984
partner_total,2471.1509294509888,350.38747814297676,2821.5384075939655
inv_to_sales_tt,2205.235971093178,543.9256450748071,2749.161616167985
demand_density,2129.2457971572876,407.1035471409559,2536.3493442982435
was_censored,2128.735295534134,0.0,2128.735295534134
lag_1_Количество_ship,1757.3180816173553,333.81259171897545,2091.130673336331
months_since_invasion,1670.0388733148575,152.26825873367488,1822.3071320485324
Группа_товара,1085.553619146347,594.9540987610817,1680.5077179074287
lag_1,817.8613703250885,730.788473367691,1548.6498436927795
sku_age_months,903.5162575244904,350.20213946001604,1253.7183969845064
sales_ship_ratio,922.5688253641129,268.53214859589934,1191.1009739600122
cohort_demand_lag1,812.185409784317,317.74472304061055,1129.9301328249276
rcv_6,786.4777834415436,270.2257943879813,1056.7035778295249
inv_to_sales_orc,607.6889494657516,405.535962624941,1013.2249120906927
rmean_6,797.9690382480621,203.0491148820147,1001.0181531300768
sku_price_elasticity,677.2643402814865,317.4271341213025,994.691474402789
rstd_6,553.0219509601593,329.020020163618,882.0419711237773
brand_total,641.3623081445694,233.8767547616735,875.2390629062429
sku_promo_sensitivity,573.5327988862991,299.392578789033,872.9253776753321
months_until_next_promo,532.0234394073486,298.12550742924213,830.1489468365908
brand_active,595.7421007156372,184.75822356622666,780.5003242818639
demand_cv,499.5176485776901,220.75532003026456,720.2729686079547
РРЦ,542.0991606712341,166.30599325709048,708.4051539283246
uah_eur_mom_pct,531.0563223361969,175.6800207644701,706.736343100667
price_vs_rrc,486.84278082847595,219.53720132261515,706.3799821510911
conflict_intensity,542.4545606374741,104.72860880941153,647.1831694468856
lag_1_Выручка_sales,397.4098867177963,247.47269376087934,644.8825804786757
rstd_3,394.42762994766235,227.1089497068897,621.536579654552
intensity_mom_delta,537.1311638355255,83.9929904714227,621.1241543069482
months_since_demand,474.5527982711792,50.05169852823019,524.6044967994094
month,301.7782692909241,216.41562415659428,518.1938934475183
demand_accel,278.5307800769806,225.92685868777335,504.45763876475394
cohort_stockout_share_lag1,321.10757970809937,161.33891788544133,482.4464975935407
price_lag3,276.51645064353943,188.8856884688139,465.4021391123533
cohort_size,314.9296101331711,145.79679110646248,460.72640123963356
trends_board_games_puzzles,324.0409686565399,128.07475800067186,452.1157266572118
lag_6,232.0966798067093,206.50663652736694,438.6033163340762
uah_eur_eom,245.23238933086395,184.03557722456753,429.2679665554315
trends_toy_brands,291.3684706687927,136.7404950549826,428.1089657237753
yoy_ratio,228.41868019104004,163.43342516943812,391.85210536047816
uah_usd_yoy_pct,295.2112786769867,92.18754318729043,387.3988218642771
lag_12,135.83943915367126,242.75372494757175,378.593164101243
lag_2,236.7150685787201,115.56394107360393,352.279009652324
nbu_policy_rate_diff_3m,225.43987011909485,113.05501088500023,338.4948810040951
Тип_соглашения,273.85227942466736,63.187439918518066,337.0397193431854
trends_toys_general,208.30680072307587,127.24649939127266,335.55330011434853
days_to_easter,206.00504875183105,102.64045685157183,308.64550560340285
stockout_both,281.293580532074,4.573340028524399,285.8669205605984
lag_3,151.75921952724457,122.83940530009568,274.59862482734025
yoy_diff,109.80823910236359,151.3299492765218,261.1381883788854
price_lag1,143.53416085243225,113.8587880730629,257.39294892549515
price_vs_brand_median,162.54357933998108,93.0344011336565,255.57798047363758
days_to_womens_day,178.51168990135193,73.43039643764496,251.9420863389969
cannibalisation_pressure,184.9545407295227,66.68046675622463,251.63500748574734
uah_usd_mom_pct,143.72149002552032,100.31675131991507,244.03824134543538
demand_velocity,121.44510042667389,117.0779479155317,238.52304834220558
lag_min_3,171.657781124115,56.4021324031055,228.0599135272205
stockout_orc_prev,209.6586194038391,9.437626011669636,219.09624541550875
release_next_month,118.59512984752655,75.67118014395237,194.26630999147892
month_cos,109.77076089382172,78.69765863195062,188.46841952577233
days_to_childrens_day,137.6098908185959,50.23708163946867,187.84697245806456
