feature,gain_clf,gain_reg,gain_total
rmean_3,20133.87185204029,2365.9150868952274,22499.78693893552
rmean_6,7927.834046602249,928.7367739975452,8856.570820599794
rmean_12,7178.420995235443,1363.624941751361,8542.045936986804
inv_to_sales_tt,6890.029133498669,1053.1555950343609,7943.18472853303
was_censored,7100.703731775284,0.0,7100.703731775284
Группа_товара,2235.362184882164,2103.7830951809883,4339.145280063152
demand_density,2956.5055178403854,1119.7489638328552,4076.2544816732407
stockout_tt,3642.751802802086,1.0692299604415894,3643.8210327625275
inv_to_sales_orc,2404.6270763874054,911.1688813269138,3315.7959577143192
partner_total,1895.3515501618385,957.2351550161839,2852.5867051780224
lag_1_Количество_orc,1378.0058364868164,998.3677537441254,2376.3735902309418
lag_1_Количество_ship,1032.5170806646347,1181.3196872770786,2213.8367679417133
cohort_demand_lag1,1151.0536386966705,958.7447428703308,2109.7983815670013
lag_1,1447.919769346714,551.8630691468716,1999.7828384935856
price_vs_rrc,1312.0841859579086,657.2710648775101,1969.3552508354187
sku_promo_sensitivity,1017.5779955387115,878.9308161437511,1896.5088116824627
rstd_6,873.8152277469635,1006.9162831157446,1880.731510862708
sku_age_months,985.297698199749,834.4290239810944,1819.7267221808434
РРЦ,1269.223400592804,476.93886500597,1746.162265598774
rcv_6,941.47972458601,800.6019870936871,1742.081711679697
sku_share_brand,912.4987641572952,762.6337843537331,1675.1325485110283
sku_price_elasticity,864.414020895958,784.3313250988722,1648.7453459948301
months_until_next_promo,684.1124435067177,885.2522995322943,1569.364743039012
month,884.2976689338684,585.9252738654613,1470.2229427993298
lag_1_Выручка_sales,581.1237188577652,751.3740649223328,1332.497783780098
rstd_3,417.4203758239746,804.781800955534,1222.2021767795086
intensity_mom_delta,966.3856576681137,218.01089641451836,1184.396554082632
demand_cv,609.7282757163048,557.3366686999798,1167.0649444162846
demand_accel,494.32015120983124,667.2799394726753,1161.6000906825066
cohort_stockout_share_lag1,559.2132096290588,576.9006512761116,1136.1138609051704
days_to_easter,593.4485975503922,462.49020387232304,1055.9388014227152
uah_eur_mom_pct,702.2432096004486,350.59109503030777,1052.8343046307564
brand_total,549.3171001672745,408.18657268583775,957.5036728531122
yoy_ratio,358.71575021743774,570.7679041773081,929.4836543947458
months_since_invasion,496.4639490842819,426.4512505531311,922.915199637413
lag_6,460.02417916059494,437.48824086785316,897.5124200284481
brand_active,508.1089607477188,364.3400494456291,872.4490101933479
price_lag3,465.63091933727264,387.3229187130928,852.9538380503654
uah_eur_eom,554.7567900419235,279.072033315897,833.8288233578205
sales_ship_ratio,317.6976215839386,495.36035043001175,813.0579720139503
lag_2,448.9393093585968,353.1680473983288,802.1073567569256
lag_max_3,384.3590122461319,408.55887719988823,792.9178894460201
uah_usd_yoy_pct,556.3040488958359,228.09295803308487,784.3970069289207
lag_12,318.9365108013153,459.98267954587936,778.9191903471947
demand_velocity,330.6161906719208,420.835407525301,751.4515981972218
conflict_intensity,559.4870909452438,123.930345505476,683.4174364507198
stockout_orc,625.7232629060745,28.360980808734894,654.0842437148094
trends_toy_brands,361.93903052806854,291.7062752842903,653.6453058123589
trends_toys_general,349.87081956863403,298.1051012277603,647.9759207963943
yoy_diff,261.4474945664406,363.6565455198288,625.1040400862694
lag_min_3,378.39175522327423,242.80438214540482,621.196137368679
lag_3,221.9297696352005,366.22907814383507,588.1588477790356
cohort_size,329.3350285887718,258.4724027812481,587.8074313700199
trends_board_games_puzzles,359.6935632824898,227.70835292339325,587.401916205883
uah_usd_mom_pct,376.525621175766,182.0285243690014,558.5541455447674
price_lag1,248.53598749637604,275.51056119799614,524.0465486943722
release_prior_month,335.2619491815567,179.1609199643135,514.4228691458702
wb_gdp_growth,423.14616107940674,77.9193369448185,501.06549802422523
nbu_policy_rate_diff_3m,331.86633908748627,168.41847674548626,500.2848158329725
days_to_womens_day,274.8722634911537,191.2937315106392,466.1659950017929
price_vs_brand_median,212.11995029449463,224.66333481669426,436.7832851111889
cannibalisation_pressure,288.2232391834259,131.27707789838314,419.50031708180904
nbu_policy_rate_eom,238.07112908363342,113.63222423195839,351.7033533155918
days_to_ny,203.85614013671875,141.37250220775604,345.2286423444748
release_next_month,198.0566200017929,137.18359676003456,335.24021676182747
holiday_count,189.58214950561523,135.95134139060974,325.533490896225
partner_volume_tier,230.5123871564865,72.23725345730782,302.7496406137943
months_since_demand,258.41431725025177,38.895941853523254,297.310259103775
days_to_childrens_day,193.01992917060852,104.15561723709106,297.1755464076996
days_to_st_nicholas,247.98747968673706,30.468956142663956,278.456435829401
promo_discount_pct,106.0441302061081,170.57390469312668,276.6180348992348
stockout_both,273.8717303276062,0.0,273.8717303276062
uah_usd_eom,104.47254967689514,149.4865621626377,253.95911183953285
price_change_3m_pct,83.01670038700104,155.78521871566772,238.80191910266876
months_since_last_promo,125.20925974845886,103.19777375459671,228.40703350305557
lag_range_3,107.368199467659,106.10148483514786,213.46968430280685
family_releases_influence,115.85876047611237,96.98761409521103,212.8463745713234
month_cos,106.43533968925476,103.68893212080002,210.12427181005478
month_sin,135.05663013458252,71.97715538740158,207.0337855219841
year,79.93208980560303,87.92101711034775,167.85310691595078
Сегмент_ABC,32.83899986743927,72.7261723279953,105.56517219543457
is_newyear,62.535380363464355,42.36335998773575,104.8987403512001
family_releases_count,47.290679931640625,44.884363919496536,92.17504385113716
major_holiday_in_month,45.18717002868652,45.357077211141586,90.54424723982811
post_promo_depletion_flag,37.57235050201416,37.96279990673065,75.53515040874481
trend_down_3m,37.41863012313843,36.74040764570236,74.15903776884079
wb_fertility,59.27964973449707,14.703886866569519,73.98353660106659
price_change_flag,67.82756960391998,3.916749954223633,71.74431955814362
Бренд,41.64104962348938,24.854382187128067,66.49543181061745
price_vs_channel_median,34.15975046157837,23.654714822769165,57.814465284347534
Тип_соглашения,54.03392970561981,0.0,54.03392970561981
stockout_orc_prev,30.860899925231934,20.98927491903305,51.850174844264984
wb_pop_0_14,34.771289706230164,15.702160984277725,50.47345069050789
promo_depth_pct_current,10.721699714660645,35.02202993631363,45.743729650974274
