feature,gain_clf,gain_reg,gain_total
stockout_tt,20128.8551902771,2.539330005645752,20131.394520282745
rmean_3,17231.61597418785,1864.1246971488,19095.74067133665
rmean_12,4013.2451791763306,1978.685508325696,5991.930687502027
was_censored,4599.578013896942,0.0,4599.578013896942
rmean_6,3351.082060933113,505.3805892020464,3856.4626501351595
inv_to_sales_tt,2520.592520713806,673.6523852944374,3194.2449060082436
demand_density,2091.2932411432266,774.7697014808655,2866.062942624092
lag_1_Количество_ship,1589.2703790664673,1079.0995767712593,2668.3699558377266
partner_total,1878.0002530813217,738.1289849579334,2616.129238039255
Группа_товара,1551.896979689598,622.6178135573864,2174.5147932469845
inv_to_sales_orc,1322.6601614952087,680.8347291052341,2003.494890600443
lag_1_Количество_orc,972.9870508909225,891.0955262333155,1864.082577124238
rstd_6,769.3507198095322,723.8939089477062,1493.2446287572384
sku_age_months,821.6017698049545,648.9565511718392,1470.5583209767938
cohort_demand_lag1,746.7564392089844,649.6208262592554,1396.3772654682398
sku_price_elasticity,654.3402397632599,696.0486431419849,1350.3888829052448
price_vs_rrc,719.4149191379547,586.4267731010914,1305.841692239046
rcv_6,606.6186009645462,681.8189885243773,1288.4375894889235
months_until_next_promo,664.4887917041779,608.1441150009632,1272.632906705141
sku_promo_sensitivity,608.4796797037125,605.8853574544191,1214.3650371581316
sku_share_brand,399.99232935905457,606.2565678656101,1006.2488972246647
РРЦ,521.3641608953476,436.1962335407734,957.560394436121
month,604.0243411064148,334.44684451818466,938.4711856245995
brand_active,473.1222984790802,431.9906736314297,905.1129721105099
cohort_stockout_share_lag1,467.09253799915314,434.1269832253456,901.2195212244987
sales_ship_ratio,525.721936583519,362.9974410533905,888.7193776369095
brand_total,500.9552114009857,377.87013655900955,878.8253479599953
lag_1_Выручка_sales,327.7514111995697,529.2161822319031,856.9675934314728
price_lag3,368.1729997396469,435.06623739004135,803.2392371296883
rstd_3,305.2300205230713,495.62240359187126,800.8524241149426
uah_eur_mom_pct,527.3361303806305,261.2927438020706,788.6288741827011
lag_1,191.04029083251953,550.4075577557087,741.4478485882282
demand_cv,367.5761913061142,364.0308246910572,731.6070159971714
demand_accel,279.20945143699646,439.16596737504005,718.3754188120365
months_since_invasion,352.64155995845795,357.7375714927912,710.3791314512491
lag_max_3,273.57437205314636,382.54828065633774,656.1226527094841
intensity_mom_delta,481.09339904785156,135.62883296608925,616.7222320139408
trends_toy_brands,315.01348865032196,279.08910673856735,594.1025953888893
trends_toys_general,301.6396806240082,250.62678310275078,552.266463726759
yoy_ratio,163.40822982788086,386.9706234782934,550.3788533061743
cohort_size,283.9803000688553,234.57119435071945,518.5514944195747
price_vs_brand_median,219.51082062721252,288.2015851289034,507.7124057561159
uah_eur_eom,246.9979190826416,256.23294550180435,503.23086458444595
uah_usd_yoy_pct,346.71550011634827,155.61667394638062,502.3321740627289
price_lag1,281.2541196346283,217.02527791261673,498.279397547245
lag_12,135.99319982528687,359.46265864372253,495.4558584690094
lag_6,156.91740012168884,321.90209701657295,478.8194971382618
trends_board_games_puzzles,257.54419028759,204.98138871788979,462.5255790054798
cannibalisation_pressure,235.22328877449036,180.92110815644264,416.144396930933
days_to_easter,225.16068053245544,175.10109132528305,400.2617718577385
demand_velocity,118.67228925228119,267.2181619480252,385.8904512003064
Бренд,265.71585059165955,119.46521604061127,385.1810666322708
days_to_womens_day,219.97346711158752,150.26574113965034,370.23920825123787
volume_tier,368.64315390586853,1.0684700310230255,369.71162393689156
conflict_intensity,220.7674605846405,141.86022797226906,362.62768855690956
yoy_diff,80.01049041748047,258.453786611557,338.4642770290375
nbu_policy_rate_diff_3m,185.2677698135376,143.22932636737823,328.49709618091583
uah_usd_mom_pct,125.1552404165268,199.54411894083023,324.699359357357
release_prior_month,221.31366729736328,93.73829162120819,315.0519589185715
months_since_demand,252.14285922050476,51.276335805654526,303.4191950261593
days_to_childrens_day,182.6106699705124,115.49185466766357,298.10252463817596
lag_2,73.74376034736633,201.4128588438034,275.15661919116974
lag_3,88.383460521698,183.1136003434658,271.4970608651638
release_next_month,141.86992967128754,123.83534246683121,265.70527213811874
month_cos,156.897629737854,108.0525269806385,264.9501567184925
nbu_policy_rate_eom,113.09837019443512,120.51151415705681,233.60988435149193
days_to_ny,117.37632966041565,109.37454082071781,226.75087048113346
price_change_3m_pct,96.7201898097992,107.87147717922926,204.59166698902845
partner_volume_tier,166.01392102241516,31.563265055418015,197.57718607783318
uah_usd_eom,89.19824051856995,104.34849473834038,193.54673525691032
holiday_count,103.7354291677475,88.24152824282646,191.97695741057396
stockout_orc,154.05180144309998,14.413848876953125,168.4656503200531
