feature,gain_clf,gain_reg,gain_total
rmean_3,91031.7991528511,15575.622175753117,106607.42132860422
rmean_12,34755.34837555885,3802.1512628793716,38557.499638438225
lag_max_3,30554.148513555527,819.9081603884697,31374.056673943996
stockout_tt,14271.090950489044,68.14093905687332,14339.231889545918
partner_total,8565.33606171608,2830.36926394701,11395.70532566309
lag_1,2130.287075996399,9140.973572731018,11271.260648727417
Группа_товара,4510.557809829712,4015.1785470843315,8525.736356914043
inv_to_sales_tt,5902.967835426331,2562.0581815838814,8465.026017010212
stockout_both,7761.163678646088,2.7248839735984802,7763.888562619686
was_censored,6117.0584552288055,0.0,6117.0584552288055
lag_1_Количество_orc,3878.798663377762,2118.592645764351,5997.391309142113
demand_density,3949.234435558319,1873.3962639570236,5822.630699515343
rmean_6,3342.006231069565,2193.4132244586945,5535.419455528259
lag_1_Количество_ship,2971.4188418388367,2368.0822321772575,5339.501074016094
lag_min_3,3801.4897599220276,585.8576772212982,4387.347437143326
sku_age_months,2475.4147276878357,1894.0068514347076,4369.421579122543
inv_to_sales_orc,2539.200093984604,1789.308585524559,4328.508679509163
РРЦ,3059.0996992588043,757.6897810101509,3816.7894802689552
cohort_demand_lag1,1640.2937796115875,1774.213931441307,3414.5077110528946
sku_share_brand,1842.0439734458923,1500.713449537754,3342.7574229836464
price_vs_rrc,1592.7419216632843,1643.7429030537605,3236.484824717045
month,1538.9973385334015,1677.5166321396828,3216.5139706730843
rstd_6,1284.2483508586884,1675.9625921845436,2960.210943043232
rcv_6,1100.3379940986633,1471.7964953184128,2572.134489417076
brand_active,1590.6432900428772,918.731509745121,2509.374799787998
months_until_next_promo,979.6183650493622,1521.154293179512,2500.772658228874
Тип_соглашения,2097.197380542755,395.61710155010223,2492.8144820928574
sku_promo_sensitivity,1088.7473402023315,1375.1710814237595,2463.918421626091
sku_price_elasticity,1065.0368039608002,1353.206378042698,2418.243182003498
brand_total,1378.521969795227,1000.069153368473,2378.5911231637
months_since_invasion,1355.9407677650452,951.9686134457588,2307.909381210804
lag_1_Выручка_sales,940.9892604351044,1254.63758122921,2195.6268416643143
intensity_mom_delta,1471.0782537460327,562.7799120545387,2033.8581658005714
demand_accel,672.5541090965271,1317.4972354769707,1990.0513445734978
cohort_stockout_share_lag1,959.1212317943573,969.4360598325729,1928.5572916269302
demand_cv,868.3569215536118,1004.4120886325836,1872.7690101861954
rstd_3,588.0079293251038,1277.9541164636612,1865.962045788765
price_lag3,882.4063515663147,826.6144562959671,1709.0208078622818
lag_12,627.0363395214081,1049.730335175991,1676.7666746973991
trends_toy_brands,976.7078733444214,578.3245652318001,1555.0324385762215
sales_ship_ratio,290.7772991657257,1234.3841181993484,1525.1614173650742
lag_6,430.7103476524353,1012.9304721355438,1443.6408197879791
uah_eur_mom_pct,673.602281332016,740.2001866698265,1413.8024680018425
yoy_ratio,344.6032416820526,1055.3499833345413,1399.953225016594
trends_board_games_puzzles,964.2400951385498,430.34190034866333,1394.5819954872131
yoy_diff,379.74963188171387,957.0325204730034,1336.7821523547173
days_to_easter,659.0100808143616,637.7629570960999,1296.7730379104614
demand_velocity,326.38263988494873,954.3698814511299,1280.7525213360786
uah_eur_eom,673.6276497840881,510.9579239487648,1184.585573732853
trends_toys_general,668.2498223781586,497.6426384449005,1165.892460823059
lag_2,357.167799949646,764.6474772691727,1121.8152772188187
price_lag1,502.10433077812195,590.5030356645584,1092.6073664426804
cannibalisation_pressure,673.1807806491852,407.7596305012703,1080.9404111504555
price_vs_brand_median,421.80050134658813,658.3644845485687,1080.1649858951569
uah_usd_mom_pct,546.0413918495178,462.7085253596306,1008.7499172091484
lag_3,249.80777025222778,746.6018611192703,996.4096313714981
cohort_size,428.5087993144989,565.0303175449371,993.539116859436
months_since_demand,812.7875893115997,152.95738303661346,965.7449723482132
days_to_womens_day,495.78975892066956,411.4851989746094,907.2749578952789
nbu_policy_rate_diff_3m,556.5719110965729,320.00007528066635,876.5719863772392
uah_usd_yoy_pct,558.9847800731659,294.72550600767136,853.7102860808372
months_since_last_promo,333.6507613658905,399.9221810102463,733.5729423761368
month_cos,457.09605884552,248.32766515016556,705.4237239956856
price_change_3m_pct,159.1413607597351,494.4563928246498,653.5977535843849
release_prior_month,366.3781707286835,275.5471501946449,641.9253209233284
release_next_month,356.3375611305237,284.43468576669693,640.7722468972206
days_to_ny,359.5217182636261,262.75329196453094,622.275010228157
nbu_policy_rate_eom,375.60973930358887,245.37459021806717,620.984329521656
days_to_childrens_day,394.43200039863586,203.59223914146423,598.0242395401001
conflict_intensity,354.8887906074524,199.21567505598068,554.1044656634331
uah_usd_eom,270.13447976112366,278.51819598674774,548.6526757478714
partner_volume_tier,298.1750795841217,249.3407682776451,547.5158478617668
stockout_orc,512.6215903759003,25.22540521621704,537.8469955921173
holiday_count,280.8430178165436,250.365880548954,531.2088983654976
lag_range_3,158.45476984977722,327.02575784921646,485.4805276989937
post_promo_depletion_flag,167.19100165367126,216.7288099527359,383.91981160640717
family_releases_influence,154.5928783416748,176.17829298973083,330.77117133140564
promo_discount_pct,89.0191900730133,219.7373262643814,308.7565163373947
month_sin,180.42802906036377,121.91832208633423,302.346351146698
wb_pop_0_14,282.59634280204773,14.609360039234161,297.2057028412819
Сегмент_ABC,54.745699882507324,240.09814131259918,294.8438411951065
year,66.30206966400146,196.01587587594986,262.3179455399513
promo_duration_months,138.34316039085388,100.12651109695435,238.46967148780823
stockout_orc_prev,202.7596914768219,30.98557609319687,233.74526757001877
days_to_st_nicholas,154.02755784988403,71.26222628355026,225.2897841334343
wb_gdp_growth,105.48380017280579,104.58767527341843,210.0714754462242
major_holiday_in_month,101.7987310886383,84.58366429805756,186.38239538669586
Бренд,28.68983030319214,147.5912606716156,176.28109097480774
is_newyear,138.64975357055664,17.68228316307068,156.33203673362732
price_vs_channel_median,55.75313949584961,91.3119900226593,147.0651295185089
trend_down_3m,59.31339931488037,86.00047999620438,145.31387931108475
family_releases_count,50.23107981681824,80.48296916484833,130.71404898166656
volume_tier,116.55147790908813,9.033602893352509,125.58508080244064
