feature,gain_clf,gain_reg,gain_total
rmean_3,232392.2983121872,22911.4226860404,255303.7209982276
rmean_12,28963.13753414154,8026.012001514435,36989.149535655975
lag_1,24272.530965805054,11511.829346299171,35784.360312104225
stockout_tt,35451.91797733307,122.85327088832855,35574.7712482214
lag_max_3,26735.291137218475,2982.413022041321,29717.704159259796
was_censored,24659.214362621307,0.0,24659.214362621307
Группа_товара,11813.575163841248,8276.959262013435,20090.534425854683
lag_min_3,17537.126617908478,1248.3196977972984,18785.446315705776
rmean_6,12912.224980831146,4072.7576538920403,16984.982634723186
inv_to_sales_tt,12936.132110118866,3748.862732410431,16684.994842529297
partner_total,10621.932966709137,5264.225313723087,15886.158280432224
lag_1_Количество_ship,8873.724242210388,5732.766941010952,14606.49118322134
demand_density,9246.470057964325,2914.733664572239,12161.203722536564
lag_1_Количество_orc,5396.030738353729,3083.440743327141,8479.47148168087
inv_to_sales_orc,4748.173065185547,2317.0430616140366,7065.216126799583
month,3540.559081554413,2850.068054318428,6390.627135872841
intensity_mom_delta,5284.487421989441,981.6666268706322,6266.154048860073
rstd_6,3696.487109184265,2352.6702550053596,6049.157364189625
sku_age_months,3462.422719478607,2553.5094118714333,6015.93213135004
stockout_both,5509.233883857727,12.041579961776733,5521.275463819504
cohort_demand_lag1,2471.9234018325806,2781.320120513439,5253.24352234602
РРЦ,4022.1552624702454,889.6607565283775,4911.816018998623
price_vs_rrc,2275.608076572418,2417.185118198395,4692.793194770813
sku_share_brand,2736.030502796173,1921.0190055966377,4657.049508392811
months_since_invasion,3403.860830783844,808.5479508042336,4212.4087815880775
rcv_6,1865.5940189361572,2149.8524280786514,4015.4464470148087
Тип_соглашения,2730.437292098999,796.2188993692398,3526.656191468239
brand_active,1708.7493152618408,1415.1738212108612,3123.923136472702
sales_ship_ratio,1335.3803701400757,1667.6175758838654,3002.997946023941
stockout_orc,2919.8403997421265,43.03042012453079,2962.8708198666573
brand_total,1360.602119922638,1541.4865314364433,2902.0886513590813
sku_promo_sensitivity,958.4260125160217,1840.4782430529594,2798.904255568981
sku_price_elasticity,837.3197493553162,1932.2377128601074,2769.5574622154236
months_until_next_promo,878.7034292221069,1806.2882010936737,2684.9916303157806
lag_12,968.8275933265686,1563.0793446302414,2531.90693795681
cohort_size,1240.5872898101807,1215.3897687196732,2455.977058529854
days_to_easter,1293.6004757881165,1083.2375519275665,2376.838027715683
cohort_stockout_share_lag1,878.6164908409119,1460.6155180335045,2339.2320088744164
demand_accel,662.0632181167603,1661.3252680897713,2323.3884862065315
demand_cv,671.8026990890503,1646.8462032675743,2318.6489023566246
uah_eur_mom_pct,1030.0967297554016,1206.6697006821632,2236.766430437565
price_lag3,866.9078035354614,1356.9906684160233,2223.8984719514847
lag_1_Выручка_sales,506.18405961990356,1572.0404549837112,2078.224514603615
volume_tier,1979.9451413154602,17.740360260009766,1997.68550157547
rstd_3,295.5990500450134,1699.4182621836662,1995.0173122286797
uah_usd_yoy_pct,1268.7934279441833,679.2026999592781,1947.9961279034615
conflict_intensity,1449.3803482055664,392.96058917045593,1842.3409373760223
trends_toys_general,994.3747119903564,840.1857628822327,1834.560474872589
yoy_diff,444.5624666213989,1342.5668669342995,1787.1293335556984
yoy_ratio,397.17331552505493,1372.2192273139954,1769.3925428390503
lag_2,690.8940415382385,1070.9123970270157,1761.8064385652542
month_cos,913.8076539039612,834.4409274458885,1748.2485813498497
trends_board_games_puzzles,929.4575443267822,748.5946111083031,1678.0521554350853
demand_velocity,381.5930094718933,1209.2610023617744,1590.8540118336678
trends_toy_brands,725.4813585281372,825.60805529356,1551.0894138216972
price_vs_brand_median,649.8907008171082,834.5522614717484,1484.4429622888565
lag_6,416.1601891517639,1060.3324199318886,1476.4926090836525
uah_eur_eom,726.8599510192871,721.5982975959778,1448.458248615265
days_to_womens_day,730.4924330711365,689.7486116886139,1420.2410447597504
