feature,gain_clf,gain_reg,gain_total
rmean_3,182212.19923830032,42027.294807732105,224239.49404603243
rmean_12,28311.490822076797,17619.178510069847,45930.669332146645
lag_1,15702.096148967743,24856.81946861744,40558.91561758518
stockout_tt,31125.008072137833,408.0693190097809,31533.077391147614
lag_max_3,21235.14451122284,8199.746674895287,29434.891186118126
Группа_товара,9735.957830667496,12899.112537622452,22635.070368289948
was_censored,20374.40966653824,0.0,20374.40966653824
partner_total,9099.935168981552,8080.485190927982,17180.420359909534
inv_to_sales_tt,11099.66843366623,5035.268398821354,16134.936832487583
lag_1_Количество_ship,6543.340870141983,9542.854565620422,16086.195435762405
rmean_6,8580.624788284302,7457.132705748081,16037.757494032383
lag_min_3,10820.233193397522,2372.5888637304306,13192.822057127953
demand_density,7350.3657903671265,4064.736016869545,11415.101807236671
lag_1_Количество_orc,4410.911556959152,3690.7982157468796,8101.709772706032
month,3023.4275467395782,4625.679739892483,7649.107286632061
rstd_6,3711.810234308243,3545.492349267006,7257.302583575249
inv_to_sales_orc,4212.039859056473,2877.67695581913,7089.716814875603
sku_age_months,2952.234624862671,3565.9919975996017,6518.226622462273
sku_share_brand,3174.790733575821,3054.070520937443,6228.861254513264
stockout_both,5622.253526687622,14.311955273151398,5636.5654819607735
cohort_demand_lag1,2195.1244094371796,3392.4576310515404,5587.58204048872
price_vs_rrc,2043.1454372406006,3406.961119413376,5450.106556653976
РРЦ,3739.1455323696136,1652.7317773103714,5391.877309679985
intensity_mom_delta,3406.0861101150513,1437.4102656841278,4843.496375799179
months_since_invasion,3114.2518355846405,1565.6439497470856,4679.895785331726
rcv_6,1915.3894736766815,2691.511350750923,4606.900824427605
sales_ship_ratio,1221.2434935569763,2423.6298748254776,3644.873368382454
brand_active,1440.5454666614532,2148.256291270256,3588.8017579317093
brand_total,1226.6791217327118,2303.3277958631516,3530.0069175958633
lag_12,926.0334796905518,2465.1961294412613,3391.229609131813
demand_cv,674.1555304527283,2676.990249633789,3351.1457800865173
sku_promo_sensitivity,1075.0750906467438,2244.426417827606,3319.50150847435
months_until_next_promo,831.8301601409912,2487.2303479909897,3319.060508131981
sku_price_elasticity,976.1767699718475,2318.6379274725914,3294.814697444439
Тип_соглашения,2157.0064306259155,1097.7514400482178,3254.7578706741333
rstd_3,529.0628304481506,2391.3284556269646,2920.391286075115
cohort_size,1026.074806213379,1781.3483844995499,2807.4231907129288
lag_1_Выручка_sales,600.7487831115723,2184.729478895664,2785.4782620072365
demand_accel,701.7878077030182,2053.0893320441246,2754.877139747143
cohort_stockout_share_lag1,819.8493304252625,1830.059717953205,2649.9090483784676
month_cos,694.436131477356,1928.2471194267273,2622.6832509040833
yoy_diff,389.46235752105713,2124.9998690485954,2514.4622265696526
days_to_easter,918.1451785564423,1554.8321912288666,2472.977369785309
price_lag3,642.2359790802002,1706.1425690054893,2348.3785480856895
stockout_orc,2188.182032108307,100.831876039505,2289.013908147812
uah_eur_mom_pct,784.3218080997467,1483.4270758032799,2267.7488839030266
yoy_ratio,356.0169804096222,1841.9263542890549,2197.943334698677
lag_6,494.9164113998413,1691.1215335726738,2186.037944972515
demand_velocity,455.1976914405823,1713.8398119807243,2169.0375034213066
