feature,gain_clf,gain_reg,gain_total
rmean_3,388778.6600494385,34138.49212825298,422917.15217769146
stockout_tt,57666.534861564636,164.28858923912048,57830.82345080376
lag_1,40402.50848579407,14243.627365767956,54646.13585156202
rmean_6,47394.47498226166,5222.112275838852,52616.58725810051
rmean_12,40687.17358160019,9036.780770301819,49723.95435190201
was_censored,37720.20384311676,0.0,37720.20384311676
lag_max_3,32476.268926620483,4111.119732439518,36587.38865906
Группа_товара,19042.249480724335,10444.527584910393,29486.777065634727
partner_total,17811.445121765137,6371.820388674736,24183.265510439873
inv_to_sales_tt,18222.01891374588,4420.029180288315,22642.048094034195
volume_tier,22360.321994304657,9.790020108222961,22370.11201441288
lag_1_Количество_ship,13993.13080406189,7788.054331541061,21781.18513560295
demand_density,16053.510551452637,3152.1396288871765,19205.650180339813
lag_min_3,15554.696464538574,1114.5527406930923,16669.249205231667
stockout_both,11599.373041152954,17.720240116119385,11617.093281269073
lag_1_Количество_orc,7981.638191699982,3295.313079595566,11276.951271295547
РРЦ,8793.022404670715,1172.4438897371292,9965.466294407845
intensity_mom_delta,8526.944547176361,1359.5584119558334,9886.502959132195
month,6082.1106696128845,3729.083806872368,9811.194476485252
inv_to_sales_orc,7141.327402591705,2135.3362551927567,9276.663657784462
sku_age_months,6407.979021549225,2628.425371825695,9036.40439337492
sku_share_brand,5215.145773887634,2134.174410700798,7349.320184588432
cohort_demand_lag1,4422.874554157257,2896.0479568243027,7318.92251098156
price_vs_rrc,3736.0471782684326,2708.9101960659027,6444.957374334335
Тип_соглашения,4424.351597309113,916.0000492334366,5340.351646542549
stockout_orc,5075.468245506287,57.61144018173218,5133.079685688019
brand_active,3200.332756996155,1910.6397323608398,5110.972489356995
brand_total,2441.440963745117,1973.8983590602875,4415.339322805405
months_since_invasion,3783.2348127365112,549.1947699785233,4332.4295827150345
rstd_6,1992.3257875442505,2338.4420491456985,4330.767836689949
days_to_easter,2346.7262930870056,1599.6332377195358,3946.3595308065414
rcv_6,1984.780122756958,1946.1913406848907,3930.9714634418488
sales_ship_ratio,2245.390112876892,1681.8434298038483,3927.2335426807404
uah_usd_yoy_pct,2517.242898464203,1209.1726423501968,3726.4155408143997
uah_eur_mom_pct,2009.9292469024658,1587.3889580368996,3597.3182049393654
cohort_size,2018.2542662620544,1408.6942479610443,3426.9485142230988
sku_price_elasticity,1476.2155799865723,1909.6779260635376,3385.89350605011
demand_cv,1847.8338565826416,1532.844787478447,3380.6786440610886
cohort_stockout_share_lag1,1658.5128054618835,1639.7059397697449,3298.2187452316284
demand_accel,1474.7830424308777,1703.6479752659798,3178.4310176968575
sku_promo_sensitivity,1504.198221206665,1666.3761290311813,3170.5743502378464
conflict_intensity,2494.364296913147,583.2268707752228,3077.5911676883698
lag_1_Выручка_sales,1389.9385175704956,1608.319240450859,2998.2577580213547
lag_12,1325.8171801567078,1645.5792866945267,2971.3964668512344
trends_toys_general,1774.7075486183167,1178.3894127607346,2953.096961379051
rstd_3,917.8298397064209,1765.4848090410233,2683.314648747444
month_cos,1338.427785873413,1276.8883949518204,2615.3161808252335
price_lag3,1272.082767009735,1325.2916805744171,2597.374447584152
trends_board_games_puzzles,1684.797255039215,892.9863700866699,2577.783625125885
uah_usd_mom_pct,1603.259554862976,958.2605808973312,2561.5201357603073
Канал,1542.732048034668,735.0098073482513,2277.7418553829193
months_until_next_promo,1021.7559776306152,1230.7042609453201,2252.4602385759354
yoy_diff,673.2940473556519,1566.367359638214,2239.661406993866
cannibalisation_pressure,1358.624098777771,862.1774219274521,2220.801520705223
uah_eur_eom,1431.549099445343,773.740639925003,2205.289739370346
months_since_demand,1783.4465799331665,357.3682245016098,2140.8148044347763
yoy_ratio,635.6460409164429,1388.3558312654495,2024.0018721818924
lag_6,932.5145697593689,1090.1471217870712,2022.6616915464401
lag_2,950.6182494163513,1060.054595530033,2010.6728449463844
days_to_womens_day,1129.5853524208069,840.6691494584084,1970.2545018792152
demand_velocity,684.1251883506775,1270.252120733261,1954.3773090839386
trends_toy_brands,913.5452060699463,939.8698095083237,1853.41501557827
price_vs_brand_median,800.3082118034363,928.3688608407974,1728.6770726442337
price_change_3m_pct,771.8799018859863,855.9581804275513,1627.8380823135376
release_prior_month,1196.147002696991,417.9177384376526,1614.0647411346436
holiday_count,1092.785171508789,506.3956307172775,1599.1808022260666
nbu_policy_rate_diff_3m,1027.99094247818,549.0347708463669,1577.0257133245468
days_to_childrens_day,1030.0976400375366,478.9989708662033,1509.09661090374
price_lag1,555.9478578567505,767.4024885892868,1323.3503464460373
Бренд,903.4837369918823,376.63566064834595,1280.1193976402283
month_sin,968.2569665908813,299.81863021850586,1268.0755968093872
price_vs_channel_median,564.0371732711792,668.9680408239365,1233.0052140951157
lag_3,314.1547408103943,909.0311985015869,1223.1859393119812
wb_gdp_growth,802.0819373130798,387.6720780134201,1189.7540153265
nbu_policy_rate_eom,677.3816046714783,493.7158282995224,1171.0974329710007
partner_volume_tier,734.5468950271606,402.76876080036163,1137.3156558275223
Сегмент_ABC,612.388267993927,479.9089814424515,1092.2972494363785
days_to_ny,692.2166123390198,391.781147480011,1083.9977598190308
stockout_orc_prev,988.3870487213135,34.5106201171875,1022.897668838501
release_next_month,681.8793792724609,340.26948618888855,1022.1488654613495
uah_usd_eom,671.6839213371277,275.82358956336975,947.5075109004974
wb_pop_0_14,905.20458984375,24.435779929161072,929.6403697729111
days_to_st_nicholas,594.8176283836365,194.31049931049347,789.12812769413
family_releases_influence,309.6159691810608,300.5255410671234,610.1415102481842
price_change_flag,517.3739910125732,86.84441030025482,604.2184013128281
lag_range_3,146.48787021636963,371.1422736644745,517.6301438808441
months_since_last_promo,264.4470181465149,228.29311084747314,492.74012899398804
promo_discount_pct,127.556640625,329.3955911397934,456.9522317647934
year,221.7788791656494,214.7459887266159,436.5248678922653
is_dec,218.6897029876709,200.19615960121155,418.88586258888245
is_new_sku,307.71967935562134,24.7596298456192,332.47930920124054
major_holiday_in_month,204.92702865600586,115.36170971393585,320.2887383699417
is_newyear,69.89060926437378,230.91573870182037,300.80634796619415
quarter,97.59204244613647,175.21382057666779,272.80586302280426
family_releases_count,127.1694884300232,119.64617991447449,246.81566834449768
post_promo_depletion_flag,31.51526975631714,194.89818000793457,226.4134497642517
wb_cpi_inflation,133.89861011505127,45.17485022544861,179.07346034049988
trend_up_3m,58.18156051635742,96.10106027126312,154.28262078762054
promo_duration_months,94.17743062973022,50.11830031871796,144.29573094844818
preholiday_nov,80.81845998764038,45.24955940246582,126.0680193901062
wb_fertility,57.35530948638916,64.07776010036469,121.43306958675385
is_summer,72.66077995300293,39.40050983428955,112.06128978729248
trend_down_3m,24.92945098876953,72.210480093956,97.13993108272552
promo_depth_pct_current,30.643839359283447,58.80500018596649,89.44883954524994
is_promo,6.961750030517578,66.0961903333664,73.05794036388397
is_wartime,8.203370094299316,32.96017932891846,41.16354942321777
is_march,22.763850212097168,12.398460030555725,35.16231024265289
is_q4,23.200700759887695,5.639780044555664,28.84048080444336
is_sept,18.00819969177246,9.162369966506958,27.17056965827942
war_active,19.75078010559082,6.839919924736023,26.590700030326843
easter_month_flag,0.0,8.451019883155823,8.451019883155823
preholiday_dec,0.0,0.0,0.0
