feature,gain_clf,gain_reg,gain_total
stock_tt_lag_1,458127.49679636955,13452.971039533615,471580.46783590317
sales_qty_rmean_3_lag1,97181.10583734512,33177.052144765854,130358.15798211098
rmean_3,92945.61365938187,15543.34749186039,108488.96115124226
lag_max_3,100778.16309213638,2348.038044810295,103126.20113694668
wm_avg_qty_per_day_lag1_3mavg,81838.41788649559,7645.241259932518,89483.65914642811
inv_to_sales_tt,52943.49149894714,6878.759451270103,59822.25095021725
stockout_tt,56560.443567276,1159.2560753822327,57719.699642658234
Группа_товара,27443.326468229294,21873.833073735237,49317.15954196453
was_censored,40105.84589982033,0.0,40105.84589982033
wm_avg_qty_per_day_lag1,33140.70321416855,4348.086784601212,37488.78999876976
lag_1,28291.63197851181,4795.210536241531,33086.84251475334
stock_tt_lag_2,19479.509284973145,4940.530478596687,24420.039763569832
partner_total,15696.481226682663,7949.059287071228,23645.54051375389
rmean_12,11346.66124844551,6485.7523502111435,17832.413598656654
sales_qty_lag_1,5750.058141708374,10111.920682191849,15861.978823900223
demand_density,11916.488405704498,3870.307857632637,15786.796263337135
wm_first_week_share_lag1_3mavg,11011.320872306824,3216.0025013685226,14227.323373675346
lag_1_Количество_ship,4919.704466819763,7653.878046989441,12573.582513809204
month,6161.768947601318,6202.24631023407,12364.015257835388
РРЦ,10385.600570678711,1906.772681236267,12292.373251914978
inv_to_sales_orc,8512.437242031097,3749.4421503543854,12261.879392385483
intensity_mom_delta,10116.01644897461,2030.0686745643616,12146.085123538971
sales_qty_rmean_12_lag1,5358.499755859375,5725.336464643478,11083.836220502853
wm_weekend_share_lag1_3mavg,9894.496780395508,961.6512265205383,10856.148006916046
cohort_demand_lag1,4916.349792480469,5073.684542298317,9990.034334778786
wm_first_week_share_lag1,8487.231873512268,1458.2621067762375,9945.493980288506
tt_to_orc_ratio_lag1,5191.177128791809,4478.865699887276,9670.042828679085
sales_share_of_brand_lag1,4719.832653999329,4813.0510395765305,9532.883693575859
sales_lead_signal_lag1,4312.1646320819855,5081.420693397522,9393.585325479507
wm_bc_last_week_share_lag1,4607.726937294006,4550.282077431679,9158.009014725685
stockout_both,9040.575650691986,28.60483992099762,9069.180490612984
stock_tt_lag_3,3949.533718109131,5089.667389392853,9039.201107501984
stock_orc_depletion_lag1,4321.871735095978,4522.835778355598,8844.707513451576
wm_bc_weekly_cv_lag1,4537.06249666214,4269.928567409515,8806.991064071655
sell_through_ratio_lag1,5848.754621505737,2698.0110491514206,8546.765670657158
