feature,gain_clf,gain_reg,gain_total
stock_tt_lag_1,134989.64684033394,3882.783040225506,138872.42988055944
rmean_3,43571.52982902527,4944.035136163235,48515.5649651885
wm_avg_qty_per_day_lag1_3mavg,33687.32499074936,1902.7161728143692,35590.04116356373
sales_qty_rmean_3_lag1,21592.091521024704,13021.92697328329,34614.018494307995
lag_max_3,28605.272501945496,366.52586537599564,28971.79836732149
inv_to_sales_tt,16570.71053171158,1396.6416865587234,17967.3522182703
was_censored,14073.188478946686,0.0,14073.188478946686
Группа_товара,7137.835613965988,5732.13330334425,12869.968917310238
rmean_12,6742.01948261261,2221.5507940649986,8963.570276677608
stockout_tt,7670.217091321945,318.93392062187195,7989.151011943817
stock_tt_lag_2,6528.93222951889,1291.3799369335175,7820.312166452408
wm_max_day_share_lag1_3mavg,6349.197028875351,757.7960653305054,7106.993094205856
lag_1,5327.196865797043,1580.382428765297,6907.57929456234
wm_weekly_cv_lag1_3mavg,5956.085247993469,726.0410024523735,6682.126250445843
partner_total,4064.406033039093,1730.3717685341835,5794.7778015732765
sales_qty_rmean_12_lag1,2168.6903150081635,2975.1128528118134,5143.803167819977
wm_first_week_share_lag1_3mavg,3814.7303280830383,929.4199303388596,4744.150258421898
demand_density,3509.928016424179,1044.8639038205147,4554.791920244694
sales_qty_lag_1,1059.213660478592,3284.8526081442833,4344.066268622875
lag_1_Количество_ship,1891.1811895370483,2367.5416793227196,4258.722868859768
inv_to_sales_orc,3320.7462663650513,757.6815316677094,4078.4277980327606
wm_first_week_share_lag1,3680.94579911232,345.50436240434647,4026.4501615166664
month,1904.726999759674,2043.6172442436218,3948.344244003296
stockout_both,3934.8368525505066,1.2629200220108032,3936.0997725725174
РРЦ,2939.1459040641785,469.43277513980865,3408.578679203987
intensity_mom_delta,2836.7803916931152,457.5436722636223,3294.3240639567375
wm_avg_qty_per_day_lag1,1770.9617042541504,1050.2070099115372,2821.1687141656876
wm_n_shipments_lag1,2644.5480024814606,169.1795067191124,2813.727509200573
sku_age_months,1582.9399933815002,1200.9924040436745,2783.9323974251747
tt_to_orc_ratio_lag1,1635.7814962863922,938.1540116667747,2573.935507953167
sell_through_ratio_lag1,1994.7711386680603,537.7370185852051,2532.5081572532654
months_since_invasion,1050.777089357376,1477.8808156251907,2528.657904982567
sales_share_of_brand_lag1,1406.6621708869934,1099.7159440517426,2506.378114938736
stock_tt_lag_3,1074.4482064247131,1303.9924752116203,2378.4406816363335
cohort_demand_lag1,1270.6397068500519,1082.9253025650978,2353.5650094151497
Тип_соглашения,2153.4683997631073,116.74910891056061,2270.217508673668
wm_mid_week_share_lag1,1843.7862679958344,377.32370322942734,2221.1099712252617
sku_share_brand,1685.3069167137146,500.83240669965744,2186.139323413372
stock_orc_depletion_lag1,1159.823869228363,990.0480815172195,2149.8719507455826
sales_lead_signal_lag1,969.5876312255859,1105.2998922467232,2074.887523472309
price_vs_rrc,927.1588139533997,1119.3661740422249,2046.5249879956245
recv_qty_rmean_6_lag1,1048.7338480949402,894.1279829144478,1942.861831009388
stock_tt_velocity_lag1,1237.000734090805,670.9378654956818,1907.9385995864868
wm_bc_last_week_share_lag1,1105.4342091083527,779.797659933567,1885.2318690419197
lag_min_3,1445.7298829555511,360.0686978697777,1805.7985808253288
months_until_next_promo,720.0302886962891,1036.070716559887,1756.101005256176
sales_qty_rmean_6_lag1,270.05188632011414,1462.17087829113,1732.2227646112442
wm_bc_weekly_cv_lag1,927.7225022315979,771.92056453228,1699.6430667638779
rmean_6,909.7344489097595,724.2177521586418,1633.9522010684013
wm_bc_first_week_share_lag1,823.6897897720337,749.0368230938911,1572.7266128659248
wm_mid_week_share_lag1_3mavg,671.3574659824371,883.8476216197014,1555.2050876021385
sell_through_ratio_lag2,648.0786988735199,884.3205128908157,1532.3992117643356
sku_promo_sensitivity,714.625372171402,805.3208311796188,1519.9462033510208
sku_price_elasticity,631.6824586391449,875.3831054568291,1507.065564095974
stock_orc_lag_3,673.6858797073364,802.778909444809,1476.4647891521454
sales_yoy_ratio_lag1,428.87939858436584,1045.7637637257576,1474.6431623101234
stockout_orc,1423.1456532478333,27.671711146831512,1450.8173643946648
rstd_6,577.2456610202789,859.6615561246872,1436.9072171449661
lag_1_Количество_orc,740.363249540329,611.9643225073814,1352.3275720477104
months_since_demand,1268.1816236972809,39.085048139095306,1307.2666718363762
stock_orc_lag_2,560.7543089389801,708.2453106045723,1268.9996195435524
