feature,gain_clf,gain_reg,gain_total
rmean_3,82893.98309326172,23334.785894155502,106228.76898741722
stock_tt_lag_1,82441.1970565319,7484.546166419983,89925.74322295189
sales_qty_rmean_3_lag1,68794.22864580154,619.5332013368607,69413.7618471384
wm_first_week_share_lag1,28478.256314754486,1271.0817499160767,29749.338064670563
Группа_товара,16154.579694747925,9908.820870280266,26063.40056502819
rmean_12,14180.705904483795,8878.285275697708,23058.991180181503
inv_to_sales_tt,17499.096466064453,3781.241510629654,21280.337976694107
wm_avg_qty_per_day_lag1_3mavg,14680.999186038971,4472.258475661278,19153.25766170025
was_censored,18852.246446609497,0.0,18852.246446609497
stockout_tt,16393.20684480667,237.69243919849396,16630.899284005165
partner_total,6890.16231918335,4385.963149189949,11276.125468373299
demand_density,7916.841633319855,3166.530998826027,11083.372632145882
inv_to_sales_orc,7815.627840518951,2927.8857011795044,10743.513541698456
stock_tt_lag_2,6889.217583656311,3040.5450431108475,9929.762626767159
sales_qty_rmean_12_lag1,6805.739161968231,2474.3267900943756,9280.065952062607
wm_first_week_share_lag1_3mavg,6209.524182319641,2553.7428275346756,8763.267009854317
wm_avg_qty_per_day_lag1,5316.420884132385,2855.935112953186,8172.355997085571
sales_qty_rmean_6_lag1,6832.064253807068,1046.833691239357,7878.897945046425
wm_n_shipments_lag1,6862.176480293274,518.6476707458496,7380.8241510391235
sales_lead_signal_lag1,3595.8793683052063,3610.368238091469,7206.247606396675
cohort_demand_lag1,3319.9023180007935,3853.0111006498337,7172.913418650627
wm_mid_week_share_lag1,5747.360384941101,1385.6430906057358,7133.003475546837
stock_orc_depletion_lag1,3510.85463142395,3215.4153212308884,6726.269952654839
tt_to_orc_ratio_lag1,3760.487956047058,2922.601377606392,6683.08933365345
sales_share_of_brand_lag1,3516.658784866333,3023.1118050813675,6539.7705899477005
wm_bc_last_week_share_lag1,3609.9578771591187,2821.9479303359985,6431.905807495117
wm_bc_weekly_cv_lag1,3507.3365502357483,2790.6765320301056,6298.013082265854
wm_weekly_cv_lag1,4578.917853355408,1424.8067405223846,6003.724593877792
lag_1_Количество_ship,2336.4104766845703,3567.8599404096603,5904.270417094231
stock_orc_lag_3,2935.5528750419617,2933.9128996133804,5869.465774655342
price_vs_rrc,3161.533977985382,2516.7056049108505,5678.239582896233
rstd_6,2506.1171226501465,2941.7039382457733,5447.82106089592
rmean_6,1328.4580283164978,4039.1746530532837,5367.6326813697815
sku_price_elasticity,2477.636135816574,2851.558517217636,5329.19465303421
wm_bc_first_week_share_lag1,2543.735963821411,2776.3512564897537,5320.087220311165
stock_tt_lag_3,2692.402509212494,2556.3968497514725,5248.799358963966
lag_1_Количество_orc,2564.00803899765,2650.7085510492325,5214.716590046883
sell_through_ratio_lag2,2136.440128326416,3028.8301433324814,5165.270271658897
rcv_6,2124.650761604309,2990.7630673646927,5115.413828969002
sell_through_ratio_lag1,3268.0834398269653,1820.0801104307175,5088.163550257683
stock_orc_lag_2,2302.1273050308228,2702.124725341797,5004.25203037262
wm_max_day_share_lag1_3mavg,2639.6034989356995,2356.6230120658875,4996.226511001587
sku_promo_sensitivity,2442.7751231193542,2545.4920321702957,4988.26715528965
recv_qty_rmean_6_lag1,2281.981149673462,2652.3336633443832,4934.314813017845
sku_share_brand,2610.440043449402,2034.1836304664612,4644.623673915863
lag_1,1969.7753643989563,2661.182783603668,4630.9581480026245
month,2224.4299421310425,2029.7825013399124,4254.212443470955
recv_qty_rmean_3_lag1,2243.0548977851868,1977.2918176651,4220.346715450287
sales_yoy_ratio_lag1,1320.8583450317383,2880.6282612085342,4201.4866062402725
demand_cv,1851.0728211402893,2338.4692208766937,4189.542042016983
sku_age_months,2024.3374409675598,2140.552721261978,4164.890162229538
wm_mid_week_share_lag1_3mavg,1379.8789801597595,2769.239748239517,4149.118728399277
sales_qty_growth_lag1,1331.3909802436829,2672.562792301178,4003.953772544861
rstd_3,1668.514178276062,2312.1466341018677,3980.6608123779297
lag_1_Выручка_sales,1395.8756222724915,2437.7861598730087,3833.6617821455
wm_weekly_cv_lag1_3mavg,1494.0185885429382,2325.9192732572556,3819.937861800194
РРЦ,2627.112506389618,1051.6137498617172,3678.726256251335
months_until_next_promo,1751.8344650268555,1913.1637209653854,3664.998185992241
demand_accel,1368.9915399551392,2278.462128996849,3647.453668951988
wm_n_shipments_lag1_3mavg,2474.8845081329346,1151.2004519701004,3626.084960103035
wm_last_week_share_lag1_3mavg,1027.9943795204163,2553.761639356613,3581.7560188770294
Тип_соглашения,3313.5845351219177,264.0288393497467,3577.6133744716644
lag_min_3,2086.8114075660706,1476.4391790628433,3563.250586628914
brand_total,1874.7656054496765,1556.9282799959183,3431.693885445595
cohort_stockout_share_lag1,1533.140480041504,1797.9330394268036,3331.0735194683075
price_lag3,1566.1137480735779,1750.950471162796,3317.064219236374
stock_tt_velocity_lag1,1568.011070728302,1660.629843711853,3228.640914440155
lag_12,1377.6967420578003,1839.2542355060577,3216.950977563858
recv_to_ship_ratio_lag1,1239.0393352508545,1846.4804812669754,3085.51981651783
yoy_ratio,900.086359500885,2058.1356707811356,2958.2220302820206
cohort_size,1352.9885449409485,1569.3959784507751,2922.3845233917236
recv_qty_growth_lag1,1623.7242770195007,1277.2788984775543,2901.003175497055
months_since_invasion,1953.2380871772766,913.905960559845,2867.1440477371216
brand_active,1464.5505819320679,1384.55988073349,2849.110462665558
sales_ship_ratio,1020.6990742683411,1604.3835761547089,2625.08265042305
demand_velocity,860.1972732543945,1668.2040024995804,2528.401275753975
uah_eur_mom_pct,1431.726315498352,1057.1113404035568,2488.837655901909
months_since_demand,2078.3440470695496,294.4456993341446,2372.789746403694
sales_qty_lag_1,1863.2819547653198,504.6519227027893,2367.933877468109
wm_max_day_share_lag1,905.3711929321289,1452.655421257019,2358.026614189148
wm_n_shipping_days_lag1_3mavg,2070.4313588142395,217.08499956130981,2287.5163583755493
lag_6,670.256712436676,1614.4527901411057,2284.7095025777817
sales_qty_lag_13,812.421555519104,1363.3579899072647,2175.7795454263687
yoy_diff,701.4850473403931,1450.716038107872,2152.201085448265
wm_last_week_share_lag1,813.5637164115906,1337.0363208055496,2150.60003721714
wm_peak_week_lag1_3mavg,907.5164976119995,1174.337190747261,2081.8536883592606
price_lag1,880.6022396087646,1118.0215108394623,1998.623750448227
lag_2,756.8149781227112,1175.967797756195,1932.7827758789062
price_vs_brand_median,749.6323580741882,1121.7545709609985,1871.3869290351868
days_of_supply_orc_lag1,586.6037611961365,1254.7544977664948,1841.3582589626312
price_vs_channel_median,919.4206776618958,916.2650320529938,1835.6857097148895
recv_qty_lag_6,858.712963104248,941.3858889341354,1800.0988520383835
lag_max_3,716.1488914489746,1080.1202021837234,1796.269093632698
release_prior_month,1015.4220261573792,698.5925419330597,1714.0145680904388
trends_toys_general,894.861132144928,734.1700595617294,1629.0311917066574
lag_3,473.9895896911621,1125.704183936119,1599.6937736272812
cannibalisation_pressure,695.6791257858276,807.0475801229477,1502.7267059087753
intensity_mom_delta,958.7536473274231,532.1246609687805,1490.8783082962036
recv_qty_lag_3,752.9364771842957,727.0413007736206,1479.9777779579163
trends_toy_brands,748.7550582885742,712.447240114212,1461.2022984027863
