feature,gain_clf,gain_reg,gain_total
rmean_3,109904.33228135109,17720.021162867546,127624.35344421864
stock_tt_lag_1,85836.2434232235,6375.343878865242,92211.58730208874
sales_qty_rmean_3_lag1,48515.79188966751,7963.031252503395,56478.823142170906
Группа_товара,16557.39011979103,8181.340065956116,24738.730185747147
wm_avg_qty_per_day_lag1_3mavg,20748.432037115097,3379.098654270172,24127.53069138527
inv_to_sales_tt,16734.564866781235,3006.785099864006,19741.34996664524
rmean_12,12055.801486730576,6700.032386183739,18755.833872914314
was_censored,18200.411919116974,0.0,18200.411919116974
wm_first_week_share_lag1,15061.210535049438,827.496768951416,15888.707304000854
stockout_tt,13437.28895664215,299.02673149108887,13736.31568813324
partner_total,8201.461362600327,3435.7808998823166,11637.242262482643
wm_n_shipments_lag1_3mavg,10535.30937743187,835.0975189208984,11370.406896352768
demand_density,8814.507484436035,2550.2268199920654,11364.7343044281
sales_qty_rmean_12_lag1,9187.320220947266,2139.781495809555,11327.10171675682
stock_tt_lag_2,8941.900448322296,2276.9939688444138,11218.89441716671
wm_max_day_share_lag1_3mavg,7907.149735212326,1778.2719402313232,9685.42167544365
inv_to_sales_orc,6692.429478645325,2160.565940618515,8852.99541926384
wm_weekend_share_lag1_3mavg,6900.133292675018,226.8379409313202,7126.9712336063385
tt_to_orc_ratio_lag1,4836.410986423492,2101.350100159645,6937.7610865831375
sales_share_of_brand_lag1,3937.7477855682373,2930.9829057455063,6868.730691313744
wm_first_week_share_lag1_3mavg,4706.382411956787,1904.9302829504013,6611.312694907188
stock_orc_depletion_lag1,4278.414288759232,2320.307573080063,6598.721861839294
cohort_demand_lag1,3837.3182475566864,2701.9448858499527,6539.263133406639
wm_bc_weekly_cv_lag1,4145.515120506287,2148.107805967331,6293.622926473618
stock_orc_lag_3,3943.735664129257,2183.749354362488,6127.485018491745
wm_bc_last_week_share_lag1,3752.8062043190002,2272.1291731595993,6024.9353774786
sales_lead_signal_lag1,3361.48193860054,2424.659037590027,5786.140976190567
lag_1,2671.057331085205,3081.446920633316,5752.504251718521
lag_1_Количество_ship,2748.024817466736,2984.4573417901993,5732.482159256935
wm_weekly_cv_lag1,4629.55256652832,1044.5105327367783,5674.063099265099
lag_min_3,3735.6149525642395,1631.6731221675873,5367.288074731827
stock_tt_lag_3,3423.4003331661224,1895.3762307167053,5318.776563882828
rcv_6,3158.7892141342163,2117.5251420736313,5276.314356207848
wm_bc_first_week_share_lag1,3279.8093225955963,1951.5444785356522,5231.3538011312485
sku_price_elasticity,3059.135646343231,2099.639617085457,5158.775263428688
recv_qty_rmean_6_lag1,3013.631103038788,2015.9821062088013,5029.613209247589
price_vs_rrc,2809.188966035843,2212.8565212488174,5022.04548728466
wm_avg_qty_per_day_lag1,2837.534375190735,2169.4618793725967,5006.996254563332
rstd_6,2657.3644325733185,2243.644910931587,4901.009343504906
sku_share_brand,3361.0031983852386,1532.0858887434006,4893.089087128639
wm_mid_week_share_lag1,3759.085693836212,1128.2145800590515,4887.300273895264
lag_1_Количество_orc,3302.523886680603,1521.4079201221466,4823.93180680275
wm_weekly_cv_lag1_3mavg,2984.608550786972,1764.3666789531708,4748.975229740143
stock_orc_lag_2,2846.5290875434875,1865.6275265216827,4712.15661406517
sell_through_ratio_lag2,2494.234045982361,2160.546092391014,4654.780138373375
month,2587.52872133255,2000.8430993556976,4588.371820688248
Тип_соглашения,4125.660460948944,195.39757919311523,4321.058040142059
rmean_6,1625.9946641921997,2623.3764802217484,4249.371144413948
sku_promo_sensitivity,2576.264965772629,1617.810086607933,4194.075052380562
sell_through_ratio_lag1,2969.1189250946045,1219.0273319482803,4188.146257042885
sales_yoy_ratio_lag1,1982.2460510730743,2186.6642974615097,4168.910348534584
РРЦ,3226.5893585681915,730.3378291130066,3956.927187681198
sku_age_months,2542.7269880771637,1391.615561246872,3934.3425493240356
recv_qty_rmean_3_lag1,2391.2418687343597,1399.6927115917206,3790.9345803260803
demand_cv,2396.4160766601562,1370.1054031848907,3766.521479845047
rstd_3,1875.4090399742126,1761.3860681056976,3636.7951080799103
lag_1_Выручка_sales,1823.6990189552307,1746.9401000738144,3570.639119029045
sales_qty_growth_lag1,1528.0306987762451,2021.8382023572922,3549.8689011335373
months_until_next_promo,1953.235244512558,1566.4593329429626,3519.6945774555206
demand_accel,1889.9203021526337,1412.0036488771439,3301.9239510297775
cohort_size,1966.9096553325653,1236.8824174404144,3203.7920727729797
price_lag3,1949.0354237556458,1215.4531018733978,3164.4885256290436
stockout_orc,3082.7032628059387,62.47729969024658,3145.1805624961853
wm_mid_week_share_lag1_3mavg,1190.2716972827911,1948.3639512062073,3138.6356484889984
brand_active,1932.784329175949,1157.5187810659409,3090.30311024189
wm_last_week_share_lag1_3mavg,1309.1783592700958,1748.7698912620544,3057.9482505321503
recv_to_ship_ratio_lag1,1469.4063897132874,1553.6376301050186,3023.044019818306
cohort_stockout_share_lag1,1499.969789981842,1488.2003803253174,2988.1701703071594
stock_tt_velocity_lag1,1577.6218962669373,1279.1482927799225,2856.7701890468597
brand_total,1866.2091493606567,981.3878892660141,2847.597038626671
months_since_demand,2488.114300966263,255.37619996070862,2743.4905009269714
lag_12,1391.9782752990723,1319.155211687088,2711.1334869861603
recv_qty_growth_lag1,1544.3368203639984,1159.6790500879288,2704.015870451927
months_since_invasion,1899.6123430728912,549.0679181814194,2448.6802612543106
yoy_ratio,843.8551516532898,1490.8034307956696,2334.6585824489594
wm_peak_week_lag1_3mavg,1262.9106211662292,976.3263417482376,2239.236962914467
demand_velocity,1081.79914021492,1141.8220690488815,2223.6212092638016
sales_ship_ratio,1069.4344856739044,1108.2399879693985,2177.674473643303
lag_6,988.785276889801,1182.3328909873962,2171.1181678771973
uah_eur_mom_pct,1228.8922505378723,854.2460504770279,2083.1383010149
sales_qty_rmean_6_lag1,800.5555500984192,1189.9517443180084,1990.5072944164276
recv_qty_lag_6,1219.2872495651245,742.62340092659,1961.9106504917145
sales_qty_lag_13,933.3002214431763,996.6060816049576,1929.9063030481339
yoy_diff,717.4056451320648,1154.8049614429474,1872.2106065750122
price_lag1,1067.7770507335663,803.1473900079727,1870.924440741539
price_vs_channel_median,1036.2846200466156,653.4271413087845,1689.7117613554
trends_toys_general,1120.3491518497467,545.9558990001678,1666.3050508499146
wm_max_day_share_lag1,558.0335643291473,1063.1586406230927,1621.19220495224
recv_qty_lag_3,1020.4814674854279,597.888550400734,1618.3700178861618
lag_2,667.386830329895,892.2440820932388,1559.6309124231339
days_to_easter,1023.2003529071808,523.6228008270264,1546.8231537342072
price_vs_brand_median,870.6914587020874,667.256639122963,1537.9480978250504
release_prior_month,955.8653230667114,571.3672310113907,1527.232554078102
lag_3,558.2990322113037,961.294860959053,1519.5938931703568
days_of_supply_orc_lag1,622.5453360080719,792.852240562439,1415.3975765705109
cannibalisation_pressure,789.2336909770966,620.2908018827438,1409.5244928598404
trends_toy_brands,835.9703068733215,543.8894901275635,1379.859797000885
trends_board_games_puzzles,879.3158988952637,448.7102800607681,1328.0261789560318
wm_last_week_share_lag1,478.17678928375244,840.586470246315,1318.7632595300674
lag_max_3,498.40666937828064,703.7557170391083,1202.162386417389
intensity_mom_delta,770.237596988678,366.31480038166046,1136.5523973703384
uah_usd_mom_pct,799.994108915329,315.4142600297928,1115.4083689451218
uah_eur_eom,668.0597105026245,447.09329056739807,1115.1530010700226
price_change_3m_pct,486.70220279693604,617.8835798501968,1104.5857826471329
month_cos,580.9979591369629,478.931409239769,1059.9293683767319
days_to_ny,635.9655570983887,356.1313900947571,992.0969471931458
days_to_womens_day,655.090279340744,318.14875042438507,973.2390297651291
Канал,710.1250450611115,233.6140594482422,943.7391045093536
sales_qty_lag_1,504.009991645813,436.29045021533966,940.3004418611526
uah_usd_yoy_pct,746.4245138168335,158.23759043216705,904.6621042490005
recv_qty_lag_2,538.1610028743744,354.5472398996353,892.7082427740097
stock_orc_lag_1,525.545750617981,339.07648980617523,864.6222404241562
days_to_childrens_day,476.7284679412842,369.0816888809204,845.8101568222046
Сегмент_ABC,518.6269459724426,303.871120095253,822.4980660676956
release_next_month,459.3024582862854,313.430029630661,772.7324879169464
months_since_last_promo,506.1720733642578,255.95170080661774,762.1237741708755
wm_n_shipments_lag1,294.4352297782898,445.959099650383,740.3943294286728
holiday_count,470.3657741546631,266.60695028305054,736.9727244377136
wm_peak_week_lag1,371.41269087791443,339.66680932044983,711.0795001983643
conflict_intensity,399.2406692504883,264.00697124004364,663.2476404905319
nbu_policy_rate_diff_3m,458.19123792648315,160.1547510623932,618.3459889888763
month_sin,338.3043999671936,257.12511134147644,595.42951130867
sales_qty_lag_12,261.053338766098,330.133829832077,591.187168598175
family_releases_influence,338.0766603946686,215.2156697511673,553.2923301458359
lag_range_3,265.0425395965576,277.72428047657013,542.7668200731277
uah_usd_eom,393.94460344314575,137.61765098571777,531.5622544288635
recv_qty_lag_1,327.90101289749146,191.81970953941345,519.7207224369049
sales_qty_lag_6,219.04610013961792,260.2695200443268,479.3156201839447
days_to_st_nicholas,364.1065881252289,112.93708920478821,477.0436773300171
promo_discount_pct,138.38337993621826,334.2145105600357,472.59789049625397
post_promo_depletion_flag,252.37542867660522,177.2180507183075,429.5934793949127
sales_qty_lag_2,201.6005299091339,216.65224969387054,418.25277960300446
months_until_back_to_school,184.2147397994995,171.89809024333954,356.11283004283905
major_holiday_in_month,273.5276916027069,75.79032015800476,349.31801176071167
wm_n_shipping_days_lag1_3mavg,194.81643962860107,153.72545051574707,348.54189014434814
school_in_session,231.45719170570374,108.04123032093048,339.4984220266342
stock_orc_buildup_flag_lag1,243.26464891433716,86.09280014038086,329.357449054718
year,124.36991906166077,199.50767946243286,323.8775985240936
partner_volume_tier,209.79152917861938,112.78703963756561,322.578568816185
Бренд,137.61442065238953,179.79680109024048,317.41122174263
sales_qty_lag_3,152.21254014968872,161.65820002555847,313.8707401752472
quarter,202.48060941696167,76.3391398191452,278.8197492361069
family_releases_count,152.30740022659302,100.38460958003998,252.692009806633
trend_down_3m,171.13760018348694,79.36996984481812,250.50757002830505
stockout_both,218.9432611465454,17.58791983127594,236.53118097782135
trend_up_3m,97.78841066360474,68.37155997753143,166.15997064113617
promo_duration_months,107.08855104446411,38.47003984451294,145.55859088897705
wm_n_shipping_days_lag1,65.38182020187378,73.71798002719879,139.09980022907257
nbu_policy_rate_eom,112.33637881278992,18.631380081176758,130.96775889396667
is_summer,65.62524843215942,55.92129075527191,121.54653918743134
wb_fertility,57.382970333099365,61.359480023384094,118.74245035648346
is_newyear,51.352399826049805,60.44837927818298,111.80077910423279
price_change_flag,51.28154945373535,49.4576598405838,100.73920929431915
is_dec,34.614498138427734,33.622230529785156,68.23672866821289
preholiday_nov,31.772350072860718,31.792410016059875,63.56476008892059
is_promo,16.790949821472168,44.24671959877014,61.03766942024231
promo_depth_pct_current,26.026949882507324,28.275309801101685,54.30225968360901
is_q4,23.971099853515625,15.966260433197021,39.93736028671265
wm_weekend_share_lag1,0.0,39.2327401638031,39.2327401638031
volume_tier,12.457560062408447,15.33290982246399,27.790469884872437
wb_pop_0_14,26.53279972076416,0.0,26.53279972076416
easter_month_flag,16.136249780654907,2.082629919052124,18.21887969970703
stockout_orc_prev,0.0,12.69255006313324,12.69255006313324
wb_gdp_growth,5.330860137939453,7.005730032920837,12.33659017086029
is_new_sku,10.310380220413208,1.8584699630737305,12.168850183486938
is_sept,7.493879795074463,3.050179958343506,10.544059753417969
is_march,8.6593599319458,0.0,8.6593599319458
wb_cpi_inflation,5.932640075683594,2.5426299571990967,8.47527003288269
spring_school_break,6.077879905700684,0.0,6.077879905700684
back_to_school_month,0.0,1.936020016670227,1.936020016670227
