feature,gain_clf,gain_reg,gain_total
stock_tt_lag_1,52697.36402773857,3392.5799860954285,56089.944013834
rmean_3,38960.734253168106,12231.089654684067,51191.82390785217
sales_qty_rmean_3_lag1,30756.42314362526,1162.0361542701721,31918.45929789543
rmean_12,10111.335132837296,4850.062958776951,14961.398091614246
wm_avg_qty_per_day_lag1_3mavg,12586.145992040634,1940.1966485381126,14526.342640578747
Группа_товара,8322.843488454819,4967.955797195435,13290.799285650253
inv_to_sales_tt,11152.146947145462,1687.5291476845741,12839.676094830036
wm_first_week_share_lag1,11202.846613168716,548.6874600052834,11751.534073174
was_censored,11432.84896183014,0.0,11432.84896183014
stockout_tt,9264.772040843964,91.11695945262909,9355.889000296593
stock_tt_lag_2,6360.062389373779,1425.2445392012596,7785.306928575039
sales_qty_rmean_12_lag1,5198.89066195488,2133.125414967537,7332.016076922417
wm_avg_qty_per_day_lag1,5344.185508966446,1324.8890408277512,6669.074549794197
wm_mid_week_share_lag1,5759.408522129059,620.7678886651993,6380.176410794258
partner_total,4246.974585771561,1852.9838139414787,6099.958399713039
demand_density,4340.390482187271,1549.9970251321793,5890.38750731945
inv_to_sales_orc,3880.693677663803,1298.361738562584,5179.055416226387
wm_first_week_share_lag1_3mavg,3101.773638486862,1137.0916186571121,4238.865257143974
lag_1_Количество_ship,1880.2396535873413,1927.448642373085,3807.6882959604263
tt_to_orc_ratio_lag1,2333.8295891284943,1376.7357815504074,3710.5653706789017
lag_1,1293.0267362594604,2337.900686621666,3630.9274228811264
stock_orc_depletion_lag1,2202.9554104804993,1353.2126789689064,3556.1680894494057
cohort_demand_lag1,1786.808303117752,1612.129293680191,3398.937596797943
sales_share_of_brand_lag1,1830.4325277805328,1409.8794784545898,3240.3120062351227
sales_lead_signal_lag1,1792.6009392738342,1425.5270681381226,3218.128007411957
price_vs_rrc,1775.9150578975677,1384.6662801504135,3160.5813380479813
rstd_6,1668.5154926776886,1399.3838193416595,3067.899312019348
wm_bc_weekly_cv_lag1,1943.8677711486816,1070.0595045685768,3013.9272757172585
stock_orc_lag_3,1802.4266228675842,1204.4259808659554,3006.8526037335396
recv_qty_rmean_6_lag1,1734.1656708717346,1210.0531377196312,2944.218808591366
lag_min_3,2015.2425291538239,913.1469671726227,2928.3894963264465
wm_bc_last_week_share_lag1,1784.6078639030457,1139.3025677204132,2923.910431623459
sku_price_elasticity,1506.3647434711456,1211.1125743985176,2717.4773178696632
rmean_6,945.077639579773,1765.2521327137947,2710.3297722935677
stock_tt_lag_3,1578.6682708263397,1104.338421702385,2683.0066925287247
wm_bc_first_week_share_lag1,1508.4930212497711,1167.2532101273537,2675.746231377125
sell_through_ratio_lag2,1143.035616159439,1501.4337966442108,2644.46941280365
wm_weekly_cv_lag1,2006.8801889419556,581.0497313737869,2587.9299203157425
rcv_6,1280.6947927474976,1263.20285987854,2543.8976526260376
sku_share_brand,1648.0412142276764,881.1275230646133,2529.1687372922897
lag_1_Количество_orc,1466.0810158252716,1056.108177781105,2522.1891936063766
sku_promo_sensitivity,1314.1951270103455,1166.4942421913147,2480.68936920166
sku_age_months,1326.2368211746216,1123.7298374176025,2449.966658592224
sell_through_ratio_lag1,1607.0031661987305,790.9139883518219,2397.9171545505524
stock_orc_lag_2,1327.5483088493347,1065.604080915451,2393.1523897647858
wm_max_day_share_lag1_3mavg,1249.6555559635162,1133.6718989610672,2383.3274549245834
stockout_orc,2258.7087314128876,38.4692497253418,2297.1779811382294
sales_yoy_ratio_lag1,1007.1467456817627,1280.628193974495,2287.7749396562576
wm_mid_week_share_lag1_3mavg,992.2822813987732,1235.088899731636,2227.3711811304092
recv_qty_rmean_3_lag1,1277.4923264980316,904.2540093660355,2181.746335864067
lag_1_Выручка_sales,1105.9136400222778,1055.400282919407,2161.3139229416847
sales_qty_growth_lag1,886.2588329315186,1252.074912071228,2138.3337450027466
wm_weekly_cv_lag1_3mavg,991.8183417320251,1091.4308432340622,2083.2491849660873
demand_cv,1054.7134313583374,998.6173395514488,2053.330770909786
months_until_next_promo,970.5985872745514,1032.098019361496,2002.6966066360474
rstd_3,873.2515392303467,1066.2420437335968,1939.4935829639435
РРЦ,1362.267287492752,568.5250858664513,1930.7923733592033
demand_accel,913.6903290748596,948.3634830117226,1862.0538120865822
price_lag3,1045.1014454364777,806.6771179437637,1851.7785633802414
month,855.6992864608765,972.5073469281197,1828.2066333889961
wm_last_week_share_lag1_3mavg,585.1714479923248,1229.5192287564278,1814.6906767487526
cohort_stockout_share_lag1,1007.5954525470734,784.8901141285896,1792.485566675663
cohort_size,995.5433111190796,752.2036484479904,1747.74695956707
brand_total,1030.4823505878448,586.9856301546097,1617.4679807424545
recv_qty_growth_lag1,962.2436611652374,612.272036254406,1574.5156974196434
lag_12,723.4204008579254,844.1478281021118,1567.5682289600372
recv_to_ship_ratio_lag1,657.4364371299744,894.0733595490456,1551.50979667902
Тип_соглашения,1389.0673978328705,133.2074600458145,1522.274857878685
brand_active,948.3631145954132,540.8449583053589,1489.208072900772
lag_6,634.118979215622,801.0111305713654,1435.1301097869873
stock_tt_velocity_lag1,790.6530768871307,607.3219959139824,1397.9750728011131
wm_n_shipments_lag1,1097.3579952716827,265.17019963264465,1362.5281949043274
wm_n_shipping_days_lag1,1238.491134405136,68.34281969070435,1306.8339540958405
yoy_ratio,420.8227868080139,885.7891507744789,1306.6119375824928
sales_ship_ratio,639.355019569397,644.2286995649338,1283.5837191343307
months_since_demand,1182.1759314537048,66.11510980129242,1248.2910412549973
demand_velocity,550.1160485744476,676.643029332161,1226.7590779066086
ext_ukrstat_births_births_yoy_pct,543.1287727355957,580.9473301172256,1124.0761028528214
wm_peak_week_lag1_3mavg,569.6003477573395,535.8906794786453,1105.4910272359848
yoy_diff,398.73559641838074,662.950975894928,1061.6865723133087
wm_n_shipments_lag1_3mavg,503.80964946746826,543.551830291748,1047.3614797592163
lag_max_3,624.0616025924683,405.4368485212326,1029.4984511137009
wm_max_day_share_lag1,276.36309027671814,748.3630192279816,1024.7261095046997
price_vs_channel_median,555.0762836933136,460.3721103668213,1015.4483940601349
price_vs_brand_median,490.07127046585083,498.0976107120514,988.1688811779022
ext_ukrstat_rti_retail_trade_idx_yoy_pct,600.4968984127045,353.4807993173599,953.9776977300644
sales_qty_lag_13,361.80656027793884,586.1690535545349,947.9756138324738
recv_qty_lag_6,523.8749780654907,422.4766066670418,946.3515847325325
price_lag1,450.6813597679138,488.778779566288,939.4601393342018
lag_3,409.68199610710144,516.2420318722725,925.9240279793739
lag_2,357.40118765830994,557.773442864418,915.174630522728
days_of_supply_orc_lag1,428.85269045829773,467.96929013729095,896.8219805955887
uah_usd_mom_pct,564.8244299888611,235.08621978759766,799.9106497764587
wm_last_week_share_lag1,233.12568998336792,565.4587713479996,798.5844613313675
months_since_invasion,369.57790899276733,421.76320934295654,791.3411183357239
sales_qty_lag_1,486.1177635192871,298.7263822555542,784.8441457748413
months_since_last_promo,418.8688814640045,346.06258231401443,764.931463778019
price_change_3m_pct,281.59928011894226,432.1004799604416,713.6997600793839
cannibalisation_pressure,333.17535042762756,376.982745885849,710.1580963134766
ext_airraid_oblast_airraid_alerts_count_month,482.46780133247375,219.80831402540207,702.2761153578758
recv_qty_lag_3,431.3329679965973,270.41443771123886,701.7474057078362
uah_eur_mom_pct,451.54091215133667,242.26078081130981,693.8016929626465
release_prior_month,448.76205039024353,236.06407010555267,684.8261204957962
ext_ukrstat_rti_retail_trade_idx,351.05142998695374,332.1327760219574,683.1842060089111
sales_qty_rmean_6_lag1,367.1103115081787,306.3587280511856,673.4690395593643
intensity_mom_delta,404.22587990760803,207.2234696149826,611.4493495225906
ext_ukrstat_indprod_indprod_idx,293.7642984390259,279.17108035087585,572.9353787899017
ext_ukrstat_births_births_total,373.53118109703064,197.78644001483917,571.3176211118698
ext_airraid_oblast_airraid_total_hours_month,341.0636224746704,222.6077401638031,563.6713626384735
ext_wiki_pageviews_wiki_pv_toys_total,364.95619773864746,181.07160872220993,546.0278064608574
stock_orc_lag_1,299.30365085601807,232.20582234859467,531.5094732046127
promo_discount_pct,204.99502849578857,326.47151029109955,531.4665387868881
days_to_easter,319.7440540790558,195.7745499610901,515.5186040401459
ext_nbu_cci_cci_present,241.8417317867279,262.8327099084854,504.6744416952133
ext_wiki_pageviews_wiki_pv_brands_total,325.47165083885193,161.33399975299835,486.8056505918503
ext_wiki_pageviews_wiki_pv_yoy_pct,310.7100398540497,170.45117104053497,481.16121089458466
recv_qty_lag_2,257.86020159721375,218.1553497314453,476.01555132865906
ext_wiki_pageviews_wiki_pv_franchises_total,294.1794493198395,180.60737991333008,474.78682923316956
Канал,334.73701882362366,136.43535995483398,471.17237877845764
month_cos,256.5413796901703,213.84620988368988,470.38758957386017
recv_qty_lag_1,280.5206472873688,189.7525895833969,470.2732368707657
trends_toy_brands,258.0127992630005,188.51609086990356,446.52889013290405
uah_eur_eom,272.2072603702545,173.59869801998138,445.8059583902359
ext_iom_idp_idp_returns_count_month,228.25839734077454,172.26972997188568,400.5281273126602
Сегмент_ABC,198.0584704875946,166.73187053203583,364.79034101963043
trends_toys_general,189.45129823684692,174.94455993175507,364.395858168602
days_to_womens_day,219.12358951568604,145.08803045749664,364.2116199731827
lag_range_3,129.48596024513245,216.48393964767456,345.969899892807
ext_ukrstat_rti_retail_trade_food_idx,201.6539807319641,140.43619918823242,342.09017992019653
wm_peak_week_lag1,154.6154501438141,187.2286206483841,341.8440707921982
conflict_intensity,232.94179010391235,106.48940587043762,339.43119597435
sales_qty_lag_12,158.81327867507935,180.4384491443634,339.25172781944275
release_next_month,191.24939036369324,101.60121989250183,292.85061025619507
ext_ukrstat_indprod_indprod_idx_yoy_pct,230.73143076896667,61.69860005378723,292.4300308227539
trends_board_games_puzzles,176.47625041007996,112.61175072193146,289.0880011320114
sales_qty_lag_6,117.00124883651733,159.31919026374817,276.3204391002655
uah_usd_eom,152.00653982162476,124.2906905412674,276.29723036289215
uah_usd_yoy_pct,210.11233067512512,58.86890983581543,268.98124051094055
Бренд,180.62939310073853,83.78947055339813,264.41886365413666
nbu_policy_rate_diff_3m,155.16295838356018,108.94700002670288,264.10995841026306
ext_ukrstat_rti_retail_trade_nonfood_idx,176.59168100357056,75.96500015258789,252.55668115615845
sales_qty_lag_2,128.9233100414276,119.1908198595047,248.1141299009323
month_sin,192.38649034500122,51.730000138282776,244.116490483284
days_to_ny,127.07152009010315,115.23828995227814,242.3098100423813
holiday_count,125.05383014678955,98.40555989742279,223.45939004421234
partner_volume_tier,124.29482078552246,99.04332065582275,223.33814144134521
post_promo_depletion_flag,55.6086106300354,166.09047901630402,221.69908964633942
family_releases_influence,134.62312054634094,73.11099982261658,207.73412036895752
sales_qty_lag_3,56.104769468307495,143.07432055473328,199.17909002304077
price_change_flag,134.1077013015747,61.07184064388275,195.17954194545746
year,57.47554874420166,118.64330112934113,176.11884987354279
promo_duration_months,91.17292952537537,66.76604998111725,157.93897950649261
quarter,129.97557973861694,24.179540038108826,154.15511977672577
days_to_childrens_day,105.3845386505127,42.75396001338959,148.13849866390228
stock_orc_buildup_flag_lag1,116.62704992294312,29.968349814414978,146.5953997373581
wm_n_shipping_days_lag1_3mavg,49.425048828125,90.59006977081299,140.015118598938
