feature,gain_clf,gain_reg,gain_total
rmean_3,108891.78238606453,18576.324468255043,127468.10685431957
stock_tt_lag_1,86934.02042126656,8816.537499904633,95750.55792117119
sales_qty_rmean_3_lag1,50979.655552864075,6624.51594722271,57604.171500086784
wm_avg_qty_per_day_lag1_3mavg,36580.25254821777,5724.4155604839325,42304.668108701706
Группа_товара,19311.76384806633,13856.731875061989,33168.49572312832
rmean_12,20033.964397192,10723.047013282776,30757.011410474777
inv_to_sales_tt,22171.630830287933,5674.739351034164,27846.370181322098
was_censored,17898.302411079407,0.0,17898.302411079407
partner_total,8931.781116724014,6130.956443190575,15062.737559914589
demand_density,9579.953969717026,5000.6601704359055,14580.614140152931
stock_tt_lag_2,8307.437134504318,4317.979576230049,12625.416710734367
inv_to_sales_orc,7445.111894369125,4699.888831019402,12145.000725388527
wm_first_week_share_lag1,8502.57598900795,1891.8692725896835,10394.445261597633
stockout_tt,10146.644615650177,226.28603792190552,10372.930653572083
cohort_demand_lag1,4903.723555803299,5405.316703438759,10309.040259242058
stock_orc_depletion_lag1,5277.337576389313,4831.503053665161,10108.840630054474
wm_first_week_share_lag1_3mavg,5988.361237049103,3992.026602745056,9980.387839794159
sales_lead_signal_lag1,3804.217195749283,5578.304088950157,9382.52128469944
tt_to_orc_ratio_lag1,4814.398299455643,4398.394638538361,9212.792937994003
sales_share_of_brand_lag1,4290.308926820755,4241.592380642891,8531.901307463646
wm_max_day_share_lag1_3mavg,4449.634135246277,3980.8556591272354,8430.489794373512
stock_orc_lag_3,4099.6526708602905,4324.226417660713,8423.879088521004
wm_n_shipments_lag1_3mavg,6697.597548007965,1646.0780888795853,8343.67563688755
wm_bc_weekly_cv_lag1,4269.4774379730225,3939.391451716423,8208.868889689445
wm_bc_last_week_share_lag1,3746.3902459144592,4196.538910269737,7942.9291561841965
sales_qty_rmean_12_lag1,4835.16104722023,2996.996292591095,7832.157339811325
rstd_6,3190.7591786384583,4530.198932647705,7720.958111286163
recv_qty_rmean_6_lag1,3569.174962759018,4078.3630517721176,7647.538014531136
sku_price_elasticity,3334.517298936844,4305.202721714973,7639.720020651817
rcv_6,3031.5787732601166,4575.00777387619,7606.586547136307
lag_1_Количество_orc,3706.3865230083466,3839.8865563869476,7546.273079395294
sell_through_ratio_lag2,2613.6126611232758,4779.4995374679565,7393.112198591232
wm_bc_first_week_share_lag1,3569.530466079712,3734.635972380638,7304.16643846035
wm_avg_qty_per_day_lag1,3259.5604226589203,4030.221471428871,7289.781894087791
price_vs_rrc,2869.9666833877563,4284.922996997833,7154.88968038559
stock_orc_lag_2,2971.624669313431,4150.261263132095,7121.885932445526
stock_tt_lag_3,3237.9982266426086,3783.1235147714615,7021.12174141407
sku_promo_sensitivity,3087.6002440452576,3904.4092758893967,6992.009519934654
demand_cv,2616.7950615882874,3871.5802475214005,6488.375309109688
lag_1_Количество_ship,2630.2338678836823,3847.323268055916,6477.557135939598
wm_weekly_cv_lag1_3mavg,2579.9262096881866,3895.3703817129135,6475.2965914011
sku_share_brand,3424.298206090927,2987.383491873741,6411.681697964668
sales_yoy_ratio_lag1,1855.084466934204,4524.914420604706,6379.99888753891
sales_qty_growth_lag1,1803.3088541030884,4539.165065526962,6342.473919630051
rstd_3,2293.858845472336,3960.025670647621,6253.884516119957
wm_mid_week_share_lag1_3mavg,1645.030285358429,4583.32790017128,6228.358185529709
sell_through_ratio_lag1,3372.115157365799,2794.5400969982147,6166.655254364014
lag_1,2313.9867305755615,3779.2658311128616,6093.252561688423
rmean_6,2313.549929857254,3697.075959444046,6010.6258893013
wm_n_shipments_lag1,5081.472619056702,925.6935483217239,6007.166167378426
demand_accel,2041.8502333164215,3854.347657442093,5896.197890758514
lag_1_Выручка_sales,1988.4938652515411,3897.3529546260834,5885.8468198776245
wm_last_week_share_lag1_3mavg,1449.5996589660645,4153.403408408165,5603.003067374229
recv_qty_rmean_3_lag1,2470.541089773178,2827.5131319761276,5298.054221749306
sku_age_months,2617.6813764572144,2674.6152980327606,5292.296674489975
РРЦ,3537.075980901718,1686.4161024093628,5223.492083311081
months_until_next_promo,2224.198888540268,2940.2585215568542,5164.457410097122
recv_to_ship_ratio_lag1,1855.9943070411682,2900.542840242386,4756.537147283554
cohort_stockout_share_lag1,1896.8285212516785,2839.0067336559296,4735.835254907608
wm_weekly_cv_lag1,2291.326570749283,2253.924488902092,4545.251059651375
cohort_size,2077.039436340332,2440.2623958587646,4517.301832199097
price_lag3,2029.5198040008545,2430.228339076042,4459.748143076897
yoy_ratio,1109.2458972930908,3234.1247792243958,4343.370676517487
wm_mid_week_share_lag1,1780.8366606235504,2435.9528118371964,4216.789472460747
demand_velocity,1339.9924924373627,2824.562042236328,4164.554534673691
stock_tt_velocity_lag1,1222.4609456062317,2690.1824898719788,3912.6434354782104
lag_12,1369.4454264640808,2521.1659178733826,3890.6113443374634
wm_max_day_share_lag1,1033.7709102630615,2802.2698409557343,3836.040751218796
sales_ship_ratio,1253.5835173130035,2550.2271996736526,3803.810716986656
brand_total,1837.2391793727875,1942.4834909439087,3779.722670316696
lag_6,1116.4406683444977,2647.203513622284,3763.6441819667816
recv_qty_growth_lag1,1767.836927652359,1974.6367802619934,3742.4737079143524
month,1950.0251913070679,1761.664886713028,3711.690078020096
lag_min_3,1269.5208115577698,2328.0345591306686,3597.5553706884384
Тип_соглашения,3098.9788887500763,347.94727885723114,3446.9261676073074
brand_active,1399.2751224040985,2046.138858795166,3445.4139811992645
yoy_diff,999.3612749576569,2426.700489759445,3426.061764717102
sales_qty_lag_13,965.4955677986145,2353.443142771721,3318.9387105703354
lag_max_3,1177.4211010932922,2065.2381802797318,3242.659281373024
wm_peak_week_lag1_3mavg,1270.7678067684174,1860.4411160945892,3131.2089228630066
price_vs_brand_median,1146.8270263671875,1786.8562330007553,2933.683259367943
wm_weekend_share_lag1_3mavg,2372.698853492737,444.39909958839417,2817.097953081131
wm_last_week_share_lag1,665.8758492469788,2095.4093297719955,2761.2851790189743
lag_2,819.2121784687042,1846.1842694282532,2665.3964478969574
price_lag1,970.5329909324646,1679.897740483284,2650.4307314157486
ext_ukrstat_births_births_yoy_pct,1294.5525064468384,1282.911647439003,2577.4641538858414
lag_3,626.636910200119,1941.6291617155075,2568.2660719156265
recv_qty_lag_6,1161.5209338665009,1397.67795920372,2559.198893070221
months_since_demand,2184.3268139362335,279.1129803657532,2463.4397943019867
days_of_supply_orc_lag1,667.2550013065338,1753.6572088003159,2420.9122101068497
recv_qty_lag_3,1136.5385642051697,1265.3461995124817,2401.8847637176514
uah_eur_mom_pct,1123.9345495700836,1186.7875010967255,2310.722050666809
stockout_orc,2178.1267557144165,124.70594990253448,2302.832705616951
cannibalisation_pressure,977.9615375995636,1298.1451296806335,2276.106667280197
ext_ukrstat_rti_retail_trade_idx_yoy_pct,1247.330192565918,929.1277109384537,2176.4579035043716
ext_wiki_pageviews_wiki_pv_toys_total,1312.225305557251,758.9069602489471,2071.132265806198
price_vs_channel_median,751.1716487407684,1304.0434529781342,2055.2151017189026
ext_wiki_pageviews_wiki_pv_franchises_total,1235.2914543151855,655.5618497133255,1890.853304028511
ext_airraid_oblast_airraid_alerts_count_month,1007.0528833866119,880.2449194192886,1887.2978028059006
price_change_3m_pct,486.7932629585266,1245.5589201450348,1732.3521831035614
ext_wiki_pageviews_wiki_pv_brands_total,822.6853656768799,799.2945086956024,1621.9798743724823
ext_airraid_oblast_airraid_total_hours_month,809.6232631206512,798.8895990848541,1608.5128622055054
ext_nbu_cci_cci_present,857.6742706298828,746.3988884687424,1604.0731590986252
stock_orc_lag_1,739.5486581325531,843.9027704000473,1583.4514285326004
days_to_easter,763.1073117256165,806.6982898712158,1569.8056015968323
ext_wiki_pageviews_wiki_pv_yoy_pct,735.2714536190033,832.2708604335785,1567.5423140525818
trends_toys_general,851.4518468379974,687.3837597370148,1538.8356065750122
ext_ukrstat_indprod_indprod_idx,741.7892808914185,727.7232077121735,1469.512488603592
ext_ukrstat_rti_retail_trade_idx,612.173442363739,828.8721795082092,1441.0456218719482
intensity_mom_delta,766.3129589557648,652.7659989595413,1419.078957915306
trends_toy_brands,669.5864794254303,740.765119433403,1410.3515988588333
months_since_invasion,796.1335821151733,491.3723702430725,1287.5059523582458
trends_board_games_puzzles,587.1577687263489,675.6364201307297,1262.7941888570786
release_prior_month,574.0178921222687,682.2240458726883,1256.241937994957
uah_usd_mom_pct,819.8734483718872,392.3903099298477,1212.263758301735
recv_qty_lag_2,486.938050031662,711.2419887781143,1198.1800388097763
ext_iom_idp_idp_returns_count_month,550.1026613712311,628.450999379158,1178.553660750389
uah_eur_eom,538.3912115097046,637.8420016765594,1176.233213186264
Канал,800.2228178977966,301.84442031383514,1102.0672382116318
days_to_ny,635.1728429794312,463.87060844898224,1099.0434514284134
sales_qty_rmean_6_lag1,339.88840079307556,756.6718907356262,1096.5602915287018
days_to_womens_day,495.90372943878174,574.1240112781525,1070.0277407169342
lag_range_3,267.55986857414246,791.8656426668167,1059.4255112409592
month_cos,538.6263823509216,510.0844097137451,1048.7107920646667
recv_qty_lag_1,492.7594473361969,548.9306497573853,1041.6900970935822
ext_ukrstat_births_births_total,451.6531403064728,584.1716504096985,1035.8247907161713
wm_peak_week_lag1,340.9236922264099,689.2133382558823,1030.1370304822922
Сегмент_ABC,404.8446695804596,526.9193993806839,931.7640689611435
days_to_childrens_day,545.9898715019226,375.10936975479126,921.0992412567139
months_since_last_promo,499.5039613246918,390.5347800254822,890.038741350174
release_next_month,407.315771818161,471.7969297170639,879.1127015352249
sales_qty_lag_6,183.2266492843628,566.4864406585693,749.7130899429321
sales_qty_lag_3,232.46738982200623,502.05142855644226,734.5188183784485
holiday_count,364.69031977653503,352.80444955825806,717.4947693347931
sales_qty_lag_2,228.43501019477844,445.90489983558655,674.339910030365
sales_qty_lag_12,150.84487128257751,509.8047115802765,660.649582862854
sales_qty_lag_1,238.91861200332642,420.6429218053818,659.5615338087082
ext_ukrstat_rti_retail_trade_food_idx,337.95643639564514,287.5210003852844,625.4774367809296
ext_ukrstat_indprod_indprod_idx_yoy_pct,372.0777335166931,252.5447714328766,624.6225049495697
ext_ukrstat_rti_retail_trade_nonfood_idx,284.58554100990295,335.3601003885269,619.9456413984299
promo_discount_pct,176.63197088241577,418.33078038692474,594.9627512693405
nbu_policy_rate_diff_3m,286.66621804237366,300.4074807167053,587.073698759079
family_releases_influence,162.48069167137146,402.58988058567047,565.0705722570419
uah_usd_yoy_pct,280.01555037498474,273.1275097131729,553.1430600881577
conflict_intensity,228.5010209083557,322.8198906183243,551.32091152668
Бренд,252.52046060562134,276.2814700603485,528.8019306659698
month_sin,190.05292105674744,333.3588284254074,523.4117494821548
wm_n_shipping_days_lag1_3mavg,160.0241379737854,347.0087788105011,507.0329167842865
partner_volume_tier,275.8930928707123,180.81860089302063,456.7116937637329
stock_orc_buildup_flag_lag1,248.23213052749634,202.27602899074554,450.5081595182419
months_until_back_to_school,223.14943933486938,217.84210014343262,440.991539478302
post_promo_depletion_flag,197.9017198085785,233.67258954048157,431.57430934906006
days_to_st_nicholas,262.695481300354,130.81649029254913,393.51197159290314
ext_ukrstat_births_births_per_1000,149.31603908538818,198.8749498128891,348.1909888982773
trend_up_3m,94.95309972763062,238.10899114608765,333.06209087371826
wm_weekend_share_lag1,188.80900287628174,134.7491604089737,323.55816328525543
major_holiday_in_month,181.58588123321533,138.94474947452545,320.5306307077408
uah_usd_eom,137.36895895004272,180.42366003990173,317.79261898994446
trend_down_3m,132.8368284702301,175.07052993774414,307.90735840797424
school_in_session,165.74243879318237,133.4215202331543,299.16395902633667
wm_n_shipping_days_lag1,84.43790030479431,179.84971976280212,264.28762006759644
family_releases_count,81.47430109977722,165.58434987068176,247.05865097045898
quarter,127.45339846611023,114.75734996795654,242.21074843406677
stockout_both,189.86981058120728,30.247140049934387,220.11695063114166
ext_orthodox_calendar_days_to_orthodox_easter,45.11852049827576,140.96665978431702,186.08518028259277
promo_duration_months,89.8287296295166,80.11018919944763,169.93891882896423
ext_airraid_oblast_airraid_high_intensity_oblasts,55.32325029373169,91.46265006065369,146.78590035438538
price_change_flag,93.20479846000671,28.25828993320465,121.46308839321136
nbu_policy_rate_eom,74.04661083221436,28.61455988883972,102.66117072105408
year,22.62803030014038,77.27183020114899,99.89986050128937
wb_fertility,23.24648952484131,76.33274018764496,99.57922971248627
is_promo,0.0,90.29404067993164,90.29404067993164
is_summer,35.00111961364746,51.02236044406891,86.02348005771637
preholiday_nov,29.625360012054443,39.95108997821808,69.57644999027252
is_dec,0.0,69.02006936073303,69.02006936073303
ext_nbu_cci_inflation_expectations_12m_pct,66.06719088554382,0.0,66.06719088554382
is_newyear,21.91122055053711,43.50386035442352,65.41508090496063
promo_depth_pct_current,31.200770378112793,32.45249032974243,63.653260707855225
wb_pop_0_14,40.064159870147705,4.872470021247864,44.93662989139557
ext_orthodox_calendar_is_lent_month,36.34567880630493,0.0,36.34567880630493
volume_tier,0.0,30.888399600982666,30.888399600982666
summer_break,28.11019992828369,2.5188100337982178,30.62900996208191
wb_gdp_growth,5.446959972381592,20.1176198720932,25.564579844474792
ext_nbu_cci_cci_overall,4.011000156402588,16.513490200042725,20.524490356445312
ext_iom_idp_idp_total_count,15.26669979095459,0.0,15.26669979095459
is_new_sku,5.959400177001953,6.504220008850098,12.46362018585205
ext_airraid_oblast_airraid_avg_duration_min,6.458240032196045,4.841010093688965,11.29925012588501
stockout_orc_prev,0.0,8.888130068778992,8.888130068778992
is_march,0.0,7.384999752044678,7.384999752044678
easter_month_flag,0.0,6.644969940185547,6.644969940185547
is_sept,0.0,5.161099910736084,5.161099910736084
is_q4,0.0,4.7296600341796875,4.7296600341796875
wb_cpi_inflation,0.0,3.6778500080108643,3.6778500080108643
spring_school_break,0.0,0.0,0.0
ext_orthodox_calendar_is_orthodox_easter_month,0.0,0.0,0.0
ext_orthodox_calendar_is_orthodox_christmas_month,0.0,0.0,0.0
winter_school_break,0.0,0.0,0.0
back_to_school_month,0.0,0.0,0.0
ext_orthodox_calendar_is_st_nicholas_month,0.0,0.0,0.0
is_wartime,0.0,0.0,0.0
ext_iom_idp_idp_western_oblasts_pct,0.0,0.0,0.0
ext_blackout_dtek_blackout_severity_index,0.0,0.0,0.0
ext_blackout_dtek_blackout_avg_hours_per_day,0.0,0.0,0.0
preholiday_dec,0.0,0.0,0.0
war_active,0.0,0.0,0.0
ext_nbu_cci_cci_expectations,0.0,0.0,0.0
ext_blackout_dtek_blackout_pct_population_affected,0.0,0.0,0.0
