feature,gain_clf,gain_reg,gain_total
rmean_3,182212.19923830032,73904.63732415438,256116.8365624547
rmean_12,28311.490822076797,29680.70992064476,57992.20074272156
lag_1,15702.096148967743,39872.004961669445,55574.10111063719
Группа_товара,9735.957830667496,26200.02770125866,35935.985531926155
lag_max_3,21235.14451122284,12893.00982671976,34128.1543379426
stockout_tt,31125.008072137833,543.1189604997635,31668.127032637596
lag_1_Количество_ship,6543.340870141983,15822.499483942986,22365.84035408497
partner_total,9099.935168981552,12170.640102803707,21270.57527178526
was_censored,20374.40966653824,0.0,20374.40966653824
rmean_6,8580.624788284302,10427.098271787167,19007.72306007147
inv_to_sales_tt,11099.66843366623,7267.592311501503,18367.260745167732
lag_min_3,10820.233193397522,3108.3001652359962,13928.533358633518
demand_density,7350.3657903671265,5256.44913071394,12606.814921081066
month,3023.4275467395782,8899.128370642662,11922.55591738224
lag_1_Количество_orc,4410.911556959152,4872.338774383068,9283.25033134222
sku_age_months,2952.234624862671,5591.653528511524,8543.888153374195
rstd_6,3711.810234308243,4346.739620387554,8058.549854695797
inv_to_sales_orc,4212.039859056473,3492.1610808372498,7704.2009398937225
sku_share_brand,3174.790733575821,3705.5987207889557,6880.389454364777
cohort_demand_lag1,2195.1244094371796,4059.6981707811356,6254.822580218315
price_vs_rrc,2043.1454372406006,3939.993820846081,5983.139258086681
months_since_invasion,3114.2518355846405,2694.6188428997993,5808.87067848444
intensity_mom_delta,3406.0861101150513,2294.6180047392845,5700.704114854336
stockout_both,5622.253526687622,18.868018805980682,5641.121545493603
РРЦ,3739.1455323696136,1836.9479504823685,5576.093482851982
lag_12,926.0334796905518,3668.795431613922,4594.828911304474
rcv_6,1915.3894736766815,2570.7831494808197,4486.172623157501
brand_total,1226.6791217327118,3088.707606971264,4315.386728703976
sales_ship_ratio,1221.2434935569763,3071.288847565651,4292.532341122627
months_until_next_promo,831.8301601409912,3414.9265422821045,4246.756702423096
Тип_соглашения,2157.0064306259155,1940.8642635941505,4097.870694220066
brand_active,1440.5454666614532,2632.711247742176,4073.2567144036293
month_cos,694.436131477356,2945.400005340576,3639.836136817932
sku_price_elasticity,976.1767699718475,2554.3806046247482,3530.5573745965958
demand_cv,674.1555304527283,2726.2272463440895,3400.382776796818
sku_promo_sensitivity,1075.0750906467438,2254.9265273809433,3330.001618027687
rstd_3,529.0628304481506,2633.9389451146126,3163.001775562763
days_to_easter,918.1451785564423,2173.848599076271,3091.9937776327133
yoy_diff,389.46235752105713,2647.2511682510376,3036.7135257720947
cohort_size,1026.074806213379,1993.410992026329,3019.485798239708
uah_eur_mom_pct,784.3218080997467,2196.0749117136,2980.396719813347
cohort_stockout_share_lag1,819.8493304252625,2096.9797220230103,2916.8290524482727
lag_1_Выручка_sales,600.7487831115723,2227.004196703434,2827.7529798150063
demand_accel,701.7878077030182,2100.4092368483543,2802.1970445513725
trends_toys_general,849.8757979869843,1908.7665412425995,2758.6423392295837
price_lag3,642.2359790802002,1915.4222962260246,2557.658275306225
yoy_ratio,356.0169804096222,2184.4140709638596,2540.4310513734818
uah_eur_eom,755.5941700935364,1782.5280618667603,2538.1222319602966
trends_toy_brands,792.3622965812683,1661.0523326992989,2453.414629280567
uah_usd_yoy_pct,901.7833514213562,1482.1751472353935,2383.9584986567497
trends_board_games_puzzles,934.2075488567352,1411.0808808207512,2345.2884296774864
stockout_orc,2188.182032108307,137.874056994915,2326.056089103222
demand_velocity,455.1976914405823,1762.7847861647606,2217.982477605343
lag_2,507.9887776374817,1655.372579216957,2163.361356854439
lag_6,494.9164113998413,1656.9287794232368,2151.845190823078
price_vs_brand_median,699.4880208969116,1377.482891857624,2076.9709127545357
volume_tier,1606.5099120140076,319.3276862502098,1925.8375982642174
uah_usd_mom_pct,664.0424218177795,1255.5279408693314,1919.570362687111
days_to_womens_day,533.7795703411102,1347.999865591526,1881.7794359326363
release_prior_month,785.9253072738647,1019.4595454931259,1805.3848527669907
