feature,gain_clf,gain_reg,gain_total
rmean_3,204457.84808039665,8941.827707469463,213399.67578786612
sales_qty_rmean_3_lag1,54602.682181835175,23061.309167563915,77663.99134939909
stockout_tt,44427.37396192551,147.87573993206024,44575.24970185757
lag_1,21894.736424922943,2627.907144665718,24522.64356958866
Группа_товара,13291.259206295013,10674.16530740261,23965.424513697624
wm_n_shipments_lag1,23050.85699391365,526.2961416840553,23577.153135597706
inv_to_sales_tt,19125.114824533463,3950.298666238785,23075.413490772247
was_censored,23046.563915014267,0.0,23046.563915014267
rmean_12,14586.95759010315,4638.146214067936,19225.103804171085
partner_total,9523.97569656372,5457.613504767418,14981.589201331139
lag_max_3,13824.934135198593,1015.9096750617027,14840.843810260296
Тип_соглашения,14158.786401748657,357.59098970890045,14516.377391457558
wm_avg_qty_per_day_lag1_3mavg,7734.206067800522,4134.932486593723,11869.138554394245
sales_qty_rmean_12_lag1,7573.337263584137,3783.9110271930695,11357.248290777206
demand_density,7380.921853303909,3255.168721318245,10636.090574622154
sales_qty_lag_1,6103.042208194733,4179.861491084099,10282.903699278831
wm_first_week_share_lag1,9043.716395616531,989.1081871390343,10032.824582755566
lag_1_Количество_ship,4703.004140377045,5139.106642305851,9842.110782682896
wm_avg_qty_per_day_lag1,6575.355891227722,2446.0335861444473,9021.38947737217
sales_qty_rmean_6_lag1,6502.507574558258,2407.8983692526817,8910.40594381094
inv_to_sales_orc,6025.864143133163,2684.7633271217346,8710.627470254898
lag_min_3,6829.749792814255,1160.8757604956627,7990.625553309917
sales_lead_signal_lag1,4414.6806609630585,3395.451523721218,7810.132184684277
sell_through_ratio_lag1,5155.626389741898,2079.7268100976944,7235.353199839592
month,3339.746434688568,3818.135477721691,7157.881912410259
rmean_6,4622.810651540756,1909.6044556498528,6532.415107190609
lag_1_Количество_orc,2912.2146801948547,3188.5836866497993,6100.798366844654
sell_through_ratio_lag2,2831.8731985092163,3263.650347352028,6095.523545861244
cohort_demand_lag1,2683.503610610962,3199.733375608921,5883.236986219883
sku_age_months,2854.1547362804413,2781.5274859666824,5635.682222247124
wm_first_week_share_lag1_3mavg,3119.665730714798,2504.717616915703,5624.383347630501
intensity_mom_delta,4598.593683719635,955.1063945889473,5553.700078308582
stockout_both,5047.34823179245,25.451329946517944,5072.799561738968
wm_bc_last_week_share_lag1,2319.3282096385956,2627.432477414608,4946.760687053204
sales_share_of_brand_lag1,2221.96156334877,2578.052872300148,4800.014435648918
РРЦ,3648.734057188034,1124.7449197769165,4773.478976964951
wm_n_shipping_days_lag1,4602.753647327423,120.22058045864105,4722.974227786064
wm_bc_weekly_cv_lag1,1937.4686069488525,2680.380537688732,4617.849144637585
price_vs_rrc,1833.2035744190216,2468.720013797283,4301.923588216305
wm_bc_first_week_share_lag1,1819.312152147293,2407.350352704525,4226.662504851818
sales_yoy_ratio_lag1,977.3570494651794,3191.9124223589897,4169.269471824169
sku_share_brand,2287.224442958832,1664.787269949913,3952.011712908745
sku_price_elasticity,1264.9424703121185,2546.3678157925606,3811.310286104679
wm_weekly_cv_lag1_3mavg,1699.3979077339172,2073.1840893030167,3772.581997036934
wm_max_day_share_lag1_3mavg,1552.6844403743744,2211.018956243992,3763.7033966183662
sku_promo_sensitivity,1251.2507319450378,2323.1499379873276,3574.4006699323654
wm_mid_week_share_lag1_3mavg,1010.8477749824524,2462.85482943058,3473.7026044130325
months_until_next_promo,1098.433683872223,2358.150162756443,3456.583846628666
rcv_6,1072.3166198730469,2364.7510430812836,3437.0676629543304
wm_mid_week_share_lag1,2170.8199298381805,1261.691766500473,3432.5116963386536
rstd_6,1214.1376576423645,2189.3720212578773,3403.509678900242
months_since_invasion,1897.5189487934113,1436.108885884285,3333.6278346776962
sales_qty_growth_lag1,746.7083787918091,2320.907482981682,3067.615861773491
wm_last_week_share_lag1_3mavg,703.8447265625,2133.9438318014145,2837.7885583639145
demand_cv,849.946207523346,1916.5703974962234,2766.5166050195694
stockout_orc,2650.668698310852,86.19934952259064,2736.8680478334427
demand_accel,776.8062176704407,1921.2857822179794,2698.09199988842
price_lag3,907.0044641494751,1779.8745688199997,2686.879032969475
brand_total,1058.2402594089508,1624.9911012649536,2683.2313606739044
cohort_size,1230.43079996109,1438.5554807782173,2668.9862807393074
lag_1_Выручка_sales,756.9103634357452,1902.8294745087624,2659.7398379445076
wm_max_day_share_lag1,1221.2387111186981,1422.5163142681122,2643.7550253868103
brand_active,1232.459180355072,1345.2270978689194,2577.6862782239914
rstd_3,675.3593597412109,1872.5683681368828,2547.9277278780937
sales_ship_ratio,1018.7662906646729,1482.3923939466476,2501.1586846113205
uah_eur_mom_pct,1082.630181312561,1383.0600984096527,2465.6902797222137
cohort_stockout_share_lag1,651.3246812820435,1651.2064220905304,2302.531103372574
months_since_demand,2027.8268485069275,226.0870006084442,2253.9138491153717
days_to_easter,894.4211206436157,1336.3114449977875,2230.732565641403
sales_qty_lag_13,508.04564809799194,1530.0226780176163,2038.0683261156082
lag_12,525.9050586223602,1483.4099541306496,2009.3150127530098
yoy_ratio,341.5176818370819,1586.7968938350677,1928.3145756721497
uah_eur_eom,860.8530287742615,1047.9025163054466,1908.755545079708
uah_usd_yoy_pct,1088.6534497737885,806.0349951982498,1894.6884449720383
yoy_diff,446.9319305419922,1389.0024500489235,1835.9343805909157
lag_6,455.36796045303345,1340.9579729437828,1796.3259333968163
demand_velocity,371.01530027389526,1407.0643377304077,1778.079638004303
trends_toy_brands,688.9182710647583,1067.1975039243698,1756.115774989128
