feature,gain_clf,gain_reg,gain_total
rmean_3,191643.43818545341,24863.48015654087,216506.9183419943
lag_max_3,66171.76698803902,4499.044859945774,70670.81184798479
stockout_tt,39368.62636041641,151.22145998477936,39519.84782040119
lag_1,30725.63500547409,7400.514490008354,38126.149495482445
rmean_6,25319.988632678986,5022.5545518398285,30342.543184518814
inv_to_sales_tt,23442.4918320179,4236.18303000927,27678.67486202717
rmean_12,15807.495059728622,9266.572024643421,25074.067084372044
Группа_товара,13434.538919210434,10610.329114437103,24044.868033647537
was_censored,23298.23797607422,0.0,23298.23797607422
wm_n_shipments_lag1,19177.44159936905,501.8616824746132,19679.303281843662
Тип_соглашения,16177.286495447159,279.87999975681305,16457.166495203972
partner_total,9169.14814710617,5656.474953353405,14825.623100459576
lag_1_Количество_ship,7451.808734893799,5393.882163286209,12845.690898180008
demand_density,9294.45075583458,3542.2407797574997,12836.69153559208
wm_avg_qty_per_day_lag1_3mavg,7849.141508340836,4272.226012229919,12121.367520570755
wm_avg_qty_per_day_lag1,8202.467938899994,2825.1565388441086,11027.624477744102
wm_first_week_share_lag1,9203.351851463318,1099.5622413754463,10302.914092838764
lag_min_3,7700.241380929947,1559.0518482923508,9259.293229222298
inv_to_sales_orc,5591.720010519028,2832.5324674248695,8424.252477943897
month,3167.982442378998,3619.6891991496086,6787.671641528606
sku_age_months,3453.2566816806793,3077.962066590786,6531.218748271465
wm_first_week_share_lag1_3mavg,4003.1311078071594,2484.5869106650352,6487.718018472195
lag_1_Количество_orc,3027.7831315994263,3256.7997240424156,6284.582855641842
cohort_demand_lag1,2579.3115932941437,3591.9725753068924,6171.284168601036
wm_weekly_cv_lag1_3mavg,3592.6108396053314,2115.8329017162323,5708.443741321564
intensity_mom_delta,4639.5756821632385,875.3379513025284,5514.913633465767
stockout_both,5381.273236274719,20.630290031433105,5401.903526306152
sku_share_brand,2788.288100719452,2377.4381735920906,5165.7262743115425
wm_bc_weekly_cv_lag1,2153.7750086784363,2930.8055304288864,5084.580539107323
РРЦ,3827.398199558258,1233.725429713726,5061.123629271984
price_vs_rrc,2272.897670030594,2752.4803000688553,5025.377970099449
wm_n_shipping_days_lag1,4863.095128536224,145.2338278889656,5008.32895642519
wm_bc_last_week_share_lag1,2245.64000582695,2678.5183482170105,4924.158354043961
wm_bc_first_week_share_lag1,2016.0979883670807,2611.481394171715,4627.5793825387955
sales_ship_ratio,2301.5493824481964,2276.8715876936913,4578.420970141888
rstd_6,1456.6502521038055,2911.8164343833923,4368.466686487198
sku_promo_sensitivity,1361.2306809425354,2496.7655858397484,3857.996266782284
rcv_6,1231.225992679596,2512.740827202797,3743.966819882393
sku_price_elasticity,1072.631683588028,2650.3039804697037,3722.9356640577316
months_since_invasion,1898.373869419098,1809.2691120505333,3707.642981469631
wm_max_day_share_lag1_3mavg,1361.5719196796417,2322.447030723095,3684.0189504027367
wm_mid_week_share_lag1_3mavg,1115.9054584503174,2560.694747567177,3676.600206017494
months_until_next_promo,1137.383103132248,2407.8525243401527,3545.2356274724007
stockout_orc,3334.5247526168823,59.67498064041138,3394.1997332572937
lag_1_Выручка_sales,944.9184968471527,2327.495315492153,3272.413812339306
demand_cv,1071.5899500846863,2109.843775689602,3181.433725774288
demand_accel,819.4564397335052,2241.9276797771454,3061.3841195106506
brand_active,1565.8615753650665,1469.9782198667526,3035.839795231819
brand_total,1341.5156724452972,1667.4098878502846,3008.925560295582
rstd_3,746.0955862998962,2202.519145965576,2948.6147322654724
wm_last_week_share_lag1_3mavg,755.423171043396,2143.3336639404297,2898.7568349838257
lag_12,814.7765736579895,1882.96560639143,2697.7421800494194
cohort_size,1188.2127904891968,1483.452681839466,2671.665472328663
cohort_stockout_share_lag1,912.0563561916351,1753.7416558861732,2665.7980120778084
uah_eur_mom_pct,1337.310763835907,1246.9850339889526,2584.2957978248596
price_lag3,759.8569715023041,1746.608752131462,2506.465723633766
wm_mid_week_share_lag1,1167.4639730453491,1293.838615477085,2461.3025885224342
yoy_ratio,599.8916525840759,1838.2999695539474,2438.1916221380234
days_to_easter,1127.632533788681,1290.624022245407,2418.256556034088
wm_max_day_share_lag1,974.0997760295868,1439.919495344162,2414.019271373749
uah_usd_yoy_pct,1429.7494661808014,831.5202314853668,2261.269697666168
yoy_diff,462.66870045661926,1733.2773308753967,2195.946031332016
lag_6,615.2316102981567,1562.320764183998,2177.552374482155
lag_2,809.7142610549927,1360.5270054340363,2170.241266489029
months_since_demand,1768.77831864357,271.19562143087387,2039.9739400744438
demand_velocity,446.92567920684814,1505.5304180383682,1952.4560972452164
trends_toys_general,840.7144002914429,989.106017947197,1829.8204182386398
price_vs_brand_median,638.8831813335419,1135.2075305581093,1774.0907118916512
uah_eur_eom,770.797768831253,956.0829612612724,1726.8807300925255
wm_peak_week_lag1_3mavg,636.7009134292603,1079.255214035511,1715.9561274647713
wm_weekly_cv_lag1,301.5818212032318,1317.8669537901878,1619.4487749934196
release_prior_month,1119.7965095043182,469.70744317770004,1589.5039526820183
trends_toy_brands,610.1274507045746,952.9377796649933,1563.0652303695679
wm_n_shipments_lag1_3mavg,411.1553907394409,1119.0048674941063,1530.1602582335472
trends_board_games_puzzles,611.8646795749664,901.8779625892639,1513.7426421642303
price_vs_channel_median,446.9241216182709,997.0183399915695,1443.9424616098404
wm_last_week_share_lag1,261.7192397117615,1180.7327070236206,1442.451946735382
price_lag1,410.76320934295654,1028.2254958748817,1438.9887052178383
volume_tier,1348.4690437316895,49.74925971031189,1398.2183034420013
month_cos,654.9671406745911,712.467946767807,1367.435087442398
cannibalisation_pressure,560.1733591556549,803.9855354428291,1364.158894598484
uah_usd_mom_pct,617.9424796104431,745.9229272007942,1363.8654068112373
conflict_intensity,799.4665219783783,558.4462873339653,1357.9128093123436
lag_3,224.9243199825287,1049.3029061555862,1274.227226138115
price_change_3m_pct,370.9698886871338,878.4550119042397,1249.4249005913734
partner_volume_tier,958.079966545105,269.86954694986343,1227.9495134949684
days_to_womens_day,541.0066392421722,673.5375174283981,1214.5441566705704
nbu_policy_rate_diff_3m,495.4785099029541,549.3585497736931,1044.8370596766472
days_to_ny,556.5664579868317,472.0878995656967,1028.6543575525284
release_next_month,451.5713002681732,540.2995885014534,991.8708887696266
Канал,584.0953760147095,322.98994398117065,907.0853199958801
days_to_childrens_day,494.839230298996,395.8196260333061,890.6588563323021
months_since_last_promo,456.9391191005707,433.46786069869995,890.4069797992706
nbu_policy_rate_eom,343.8437099456787,477.4948419928551,821.3385519385338
family_releases_influence,306.61366987228394,496.5839697122574,803.1976395845413
uah_usd_eom,266.3913698196411,489.59265863895416,755.9840284585953
lag_range_3,259.012677192688,483.86052441596985,742.8732016086578
holiday_count,314.8630211353302,393.5506084561348,708.413629591465
price_change_flag,574.082192659378,113.07739144563675,687.1595841050148
Сегмент_ABC,153.8758499622345,498.19905787706375,652.0749078392982
promo_discount_pct,171.99851870536804,443.86240738630295,615.860926091671
wb_gdp_growth,311.40374875068665,266.258636534214,577.6623852849007
Бренд,318.6668677330017,233.3236894607544,551.9905571937561
month_sin,284.96231985092163,251.29770755767822,536.2600274085999
wm_peak_week_lag1,126.76762962341309,402.1261048913002,528.8937345147133
year,117.7557692527771,276.10638439655304,393.86215364933014
wm_weekend_share_lag1_3mavg,75.65777921676636,292.65012884140015,368.3079080581665
days_to_st_nicholas,235.64676928520203,131.60191142559052,367.24868071079254
wm_n_shipping_days_lag1_3mavg,92.00334930419922,263.98405480384827,355.9874041080475
post_promo_depletion_flag,112.5957100391388,231.7074817419052,344.303191781044
months_until_back_to_school,125.1027889251709,191.75565338134766,316.85844230651855
family_releases_count,68.42300987243652,160.13851445913315,228.56152433156967
promo_duration_months,76.08004021644592,146.60442346334457,222.6844636797905
school_in_session,128.09258890151978,91.84276521205902,219.9353541135788
trend_down_3m,65.69606924057007,126.03864693641663,191.7347161769867
wb_fertility,56.54180955886841,128.65274661779404,185.19455617666245
is_dec,135.13715934753418,48.67026901245117,183.80742835998535
stockout_orc_prev,122.40630912780762,45.35669004917145,167.76299917697906
trend_up_3m,49.08461046218872,110.54956984519958,159.6341803073883
wb_pop_0_14,119.69061946868896,37.975459694862366,157.66607916355133
is_newyear,90.49710941314697,59.86641025543213,150.3635196685791
major_holiday_in_month,37.877219676971436,109.31835401058197,147.1955736875534
quarter,61.9235897064209,62.16361039876938,124.08720010519028
wm_weekend_share_lag1,38.56662082672119,73.03946995735168,111.60609078407288
preholiday_nov,48.16060972213745,34.76508009433746,82.92568981647491
is_new_sku,28.493159770965576,47.756960272789,76.25012004375458
is_summer,29.10561990737915,31.671550035476685,60.777169942855835
is_promo,0.0,48.906830191612244,48.906830191612244
promo_depth_pct_current,12.264659881591797,28.692299962043762,40.95695984363556
wb_cpi_inflation,7.584839820861816,24.672096073627472,32.25693589448929
is_march,12.332520008087158,10.645019888877869,22.977539896965027
easter_month_flag,0.0,18.67489093542099,18.67489093542099
is_sept,7.512290000915527,10.030320286750793,17.54261028766632
war_active,12.690600395202637,4.006080150604248,16.696680545806885
is_wartime,0.0,10.216279983520508,10.216279983520508
summer_break,4.063330173492432,4.716470003128052,8.779800176620483
is_q4,0.0,3.5197800397872925,3.5197800397872925
preholiday_dec,0.0,0.0,0.0
back_to_school_month,0.0,0.0,0.0
winter_school_break,0.0,0.0,0.0
spring_school_break,0.0,0.0,0.0
