feature,gain_total
qty_rmean_26w,40431687.57775879
qty_rstd_26w,10849736.711395264
demand_density,8112548.8974609375
qty_zero_streak,7488681.841827393
woy,2797355.6332702637
qty_lag_52w,2202419.8177490234
Группа_товара,1524459.0756225586
woy_sin,839821.2574157715
woy_cos,643838.8483276367
sku_age_months,530973.9928283691
wom,438539.33700561523
qty_rmean_13w,432439.9888000488
Тип_соглашения,395444.8703918457
qty_rmax_26w,395409.10525512695
partner_volume_tier,348919.0310974121
n_days_rmean_4w,252778.2765197754
pre_xmas,208666.3048400879
qty_rmean_4w,195559.9493408203
Канал,164748.814453125
qty_lag_1w,164509.64617919922
qty_lag_13w,144133.87915039062
qty_lag_26w,122011.14724731445
dec_week,100384.76062011719
q4_week,81375.6362915039
n_days_lag_1w,80017.78063964844
qty_lag_8w,65682.66891479492
demand_cv,46419.80676269531
jan_week,37983.865234375
qty_rstd_4w,37170.804138183594
qty_rstd_13w,33842.49630737305
qty_lag_4w,25569.73910522461
qty_rmax_4w,22893.178192138672
qty_lag_2w,15481.965789794922
Сегмент_ABC,14833.845001220703
Бренд,9482.564025878906
qty_rmax_13w,6827.270935058594
is_new_sku,0.0
