Период,actual,V4,V5,V6,V7,V7.1,V7.2,V7.3,V7.4,V7.5,V7.7,V7.8,V8,V9 (champion)
2024-07,11216,10031,10682,11021,9580,9661,9537,10308,10237,10384,10322,10337,10599,10830.0
2024-08,11321,11303,11134,11645,10037,10301,10260,10934,10913,11053,11001,11038,11018,11364.0
2024-09,10811,10704,10830,11431,9850,10102,9999,10641,10574,10729,10652,10679,10738,10912.0
2024-10,11726,11962,11727,11950,10435,10553,10431,11398,11333,11456,11439,11475,11426,11655.0
2024-11,13732,12274,11920,13842,11592,12074,11705,12187,12240,12543,12516,12547,12540,13401.0
2024-12,28951,30750,32599,33045,28649,25112,25317,30090,30202,30348,30049,30139,29371,28950.0
2025-01,12786,13756,13919,15012,12701,12354,12518,13498,13586,13764,13694,13738,13626,13105.0
2025-02,9864,9590,10655,11548,9859,9673,9765,10293,10278,10485,10328,10363,10434,10370.0
2025-03,10804,8908,9695,10596,9115,9123,8871,9496,9417,9645,9596,9603,9780,9839.0
2025-04,8835,9265,9190,9130,7893,8132,8016,8847,8658,8749,8878,8903,8834,8496.0
2025-05,9643,8634,9451,10001,8788,8045,7831,8948,8917,9072,8987,9012,9001,9273.0
2025-06,8886,8722,9252,9982,8312,8327,8248,8960,8964,9069,9067,9090,9063,9426.0
2025-07,9834,9346,10002,10441,8728,8745,8671,9568,9517,9607,9598,9636,9664,10039.0
2025-08,10034,10283,10856,11717,9609,9479,9668,10434,10479,10560,10512,10565,10613,10830.0
2025-09,9230,10080,10825,11605,9472,9450,9496,10378,10406,10469,10487,10538,10567,10668.0
2025-10,11518,11658,12178,12725,10193,10073,10163,11500,11495,11480,11569,11635,11470,11880.0
2025-11,13609,12862,13032,13940,11093,11185,11304,12521,12515,12567,12645,12710,12468,12758.0
2025-12,24840,27613,29630,28747,24845,21690,21953,26807,27129,27088,26929,27086,26323,25112.0
2026-01,11164,7674,7833,11059,9212,9389,9570,8589,8807,9298,9338,9323,9095,9070.0
2026-02,7298,3887,3954,5952,4751,5586,5489,4632,4679,4950,5045,5028,4814,
