Партнер,Артикул,Период,forecast_h1,forecast_h3,forecast_h6
AIK LandS,DD04805,2026-02,0.0,0.0,0.0
AIK LandS,DJ09750,2026-02,0.0,0.0,0.0
Shop Bontoy,004627I,2026-02,0.0,0.0,0.0
Shop Bontoy,004896I,2026-02,0.0,0.0,0.0
Shop Bontoy,004909I,2026-02,0.0,0.0,0.0
Shop Bontoy,004914I,2026-02,0.0,0.0,0.0
Shop Bontoy,004915I,2026-02,0.0,0.0,0.0
Shop Bontoy,005058,2026-02,0.0,0.0,0.0
Shop Bontoy,005059I,2026-02,0.0,0.0,0.0
Shop Bontoy,005212m,2026-02,0.0,0.0,0.0
Shop Bontoy,005218I,2026-02,0.0,0.0,0.0
Shop Bontoy,005378I,2026-02,0.0,0.0,0.0
Shop Bontoy,205040_I,2026-02,0.0,0.0,0.0
Shop Bontoy,205041_I,2026-02,0.0,0.0,0.0
Shop Bontoy,205052,2026-02,0.0,0.0,0.0
Shop Bontoy,206105I,2026-02,0.0,0.0,0.0
Shop Bontoy,206301I,2026-02,0.0,0.0,0.0
Shop Bontoy,206892m,2026-02,0.0,0.0,0.0
Shop Bontoy,206893I,2026-02,0.0,0.0,0.0
Shop Bontoy,212017I,2026-02,0.0,0.0,0.0
Shop Bontoy,216216I,2026-02,0.0,0.0,0.0
Shop Bontoy,216265I,2026-02,0.0,0.0,0.0
Shop Bontoy,216271I,2026-02,0.0,0.0,0.0
Shop Bontoy,216273,2026-02,0.0,0.0,0.0
Shop Bontoy,216276,2026-02,0.0,0.0,0.0
Shop Bontoy,216289I,2026-02,0.0,0.0,0.0
Shop Bontoy,216320I,2026-02,0.0,0.0,0.0
Shop Bontoy,216429I,2026-02,0.0,0.0,0.0
Shop Bontoy,216560I,2026-02,0.0,0.0,0.0
Shop Bontoy,216570I,2026-02,0.0,0.0,0.0
Shop Bontoy,227018I,2026-02,0.0,0.0,0.0
Shop Bontoy,302021,2026-02,0.0,0.0,0.0
Shop Bontoy,302032,2026-02,0.0,0.0,0.0
Shop Bontoy,302035,2026-02,0.0,0.0,0.0
Shop Bontoy,302050I,2026-02,0.0,0.0,0.0
Shop Bontoy,305079,2026-02,0.0,0.0,0.0
Shop Bontoy,305087,2026-02,0.0,0.0,0.0
Shop Bontoy,305093m,2026-02,0.0,0.0,0.0
Shop Bontoy,305096m,2026-02,0.0,0.0,0.0
Shop Bontoy,305098m,2026-02,0.0,0.0,0.0
Shop Bontoy,305112,2026-02,0.0,0.0,0.0
Shop Bontoy,305114,2026-02,0.0,0.0,0.0
Shop Bontoy,305174,2026-02,0.0,0.0,0.0
Shop Bontoy,305194,2026-02,0.0,0.0,0.0
Shop Bontoy,305221,2026-02,0.0,0.0,0.0
Shop Bontoy,306161I,2026-02,0.0,0.0,0.0
Shop Bontoy,306832,2026-02,0.0,0.0,0.0
Shop Bontoy,306912I,2026-02,0.0,0.0,0.0
Shop Bontoy,307015,2026-02,0.0,0.0,0.0
Shop Bontoy,308026m,2026-02,0.0,0.0,0.0
Shop Bontoy,308027m,2026-02,0.0,0.0,0.0
Shop Bontoy,308028m,2026-02,0.0,0.0,0.0
Shop Bontoy,308029m,2026-02,0.0,0.0,0.0
Shop Bontoy,308039m,2026-02,0.0,0.0,0.0
Shop Bontoy,313021I,2026-02,0.0,0.0,0.0
Shop Bontoy,313079m,2026-02,0.0,0.0,0.0
Shop Bontoy,315092,2026-02,0.0,0.0,0.0
Shop Bontoy,315093I,2026-02,0.0,0.0,0.0
Shop Bontoy,315133,2026-02,0.0,0.0,0.0
Shop Bontoy,315134,2026-02,0.0,0.0,0.0
Shop Bontoy,315213,2026-02,0.0,0.0,0.0
Shop Bontoy,315213m,2026-02,0.0,0.0,0.0
Shop Bontoy,315280m,2026-02,0.0,0.0,0.0
Shop Bontoy,315281,2026-02,0.0,0.0,0.0
Shop Bontoy,315300,2026-02,0.0,0.0,0.0
Shop Bontoy,315300m,2026-02,0.0,0.0,0.0
Shop Bontoy,315319,2026-02,0.0,0.0,0.0
Shop Bontoy,316051I,2026-02,0.0,0.0,0.0
Shop Bontoy,316188I,2026-02,0.0,0.0,0.0
Shop Bontoy,316245I,2026-02,0.0,0.0,0.0
Shop Bontoy,316245Im,2026-02,0.0,0.0,0.0
Shop Bontoy,316258I,2026-02,0.0,0.0,0.0
Shop Bontoy,316258Im,2026-02,0.0,0.0,0.0
Shop Bontoy,316497,2026-02,0.0,0.0,0.0
Shop Bontoy,316564,2026-02,0.0,0.0,0.0
Shop Bontoy,316577,2026-02,0.0,0.0,0.0
Shop Bontoy,316638,2026-02,0.0,0.0,0.0
Shop Bontoy,316651,2026-02,0.0,0.0,0.0
Shop Bontoy,316715m,2026-02,0.0,0.0,0.0
Shop Bontoy,316732m,2026-02,0.0,0.0,0.0
Shop Bontoy,C094hоm,2026-02,0.0,0.0,0.0
Shop Bontoy,DD03758,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ00010,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ01613,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ03111,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05092,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05096,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05117,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05120,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05123,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05136,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05153,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05161,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05198,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ05926,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ06433,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ06516,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ06972,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ07206,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ07241,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ07246,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ07256,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ07605,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ07668,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08132,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08137,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08356,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08401,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08408,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08427,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08469,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08471,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08503,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08505,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08507,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08528,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08533,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08544,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08545,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08802,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08812,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08830,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08884,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ08930,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09006,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09041,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09061m,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09064,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09065,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09102,2026-02,0.0,0.0,0.0
Shop Bontoy,DJ09200,2026-02,0.0,0.0,0.0
