Партнер,Артикул,Период,Бренд,forecast_monthly,demand_lead_time,safety_stock,reorder_point,current_stock_orc,recommended_order
БІ,005362I,2026-02,Infantino,1.9,3.9,139.5,143.4,0.0,143
ТА-ДA,S3018h,2026-02,Cubic Fun,1.6,3.3,138.6,141.9,0.0,142
ТА-ДA,S3006h,2026-02,Cubic Fun,1.6,3.3,136.4,139.7,0.0,140
ТА-ДA,S3031h,2026-02,Cubic Fun,1.6,3.3,134.1,137.4,0.0,137
БІ,304889I,2026-02,Infantino,1.4,2.9,131.0,133.9,0.0,134
БІ,216429I,2026-02,Infantino,1.4,2.9,131.0,133.9,0.0,134
БІ,305079,2026-02,Infantino,1.4,2.9,128.8,131.7,0.0,132
БІ,005209,2026-02,unknown,19.3,38.7,28.3,66.9,0.0,67
БІ,005364,2026-02,unknown,18.2,36.3,25.4,61.7,0.0,62
БІ,L532h,2026-02,Cubic Fun,1.8,3.7,54.4,58.0,0.0,58
Антошка,005209,2026-02,unknown,15.5,31.0,23.9,54.9,0.0,55
Епіцентр,005209,2026-02,unknown,14.5,29.0,17.6,46.7,0.0,47
БІ,206301I,2026-02,Infantino,1.9,3.9,39.2,43.1,0.0,43
Чудо Острів,005209,2026-02,unknown,15.1,30.1,13.3,43.4,0.0,43
БІ,306161I,2026-02,Infantino,2.4,4.7,36.9,41.6,0.0,42
БІ,L525h,2026-02,Cubic Fun,1.9,3.9,37.5,41.4,0.0,41
БІ,L523h,2026-02,Cubic Fun,1.9,3.9,37.5,41.4,0.0,41
БІ,216314_I,2026-02,Infantino,1.9,3.9,35.9,39.8,0.0,40
БІ,305031,2026-02,Infantino,1.9,3.9,35.3,39.2,0.0,39
БІ,DS1079h,2026-02,Cubic Fun,1.6,3.3,34.9,38.2,0.0,38
БІ,206893I,2026-02,Infantino,1.9,3.9,31.8,35.6,0.0,36
БІ,S3026h,2026-02,Cubic Fun,1.9,3.9,30.4,34.3,0.0,34
Чудо Острів,L523h,2026-02,Cubic Fun,1.9,3.9,29.2,33.1,0.0,33
БІ,216273,2026-02,Infantino,1.9,3.9,29.6,33.5,0.0,33
