segment_key,segment_value,n_rows,volume,baseline_WAPE,baseline_MAPE_nz,full_WAPE,full_MAPE_nz,WAPE_delta,MAPE_nz_delta
Бренд,Cubic Fun,10568,51860.0,0.5182,0.545,0.5305,0.5638,0.0123,0.0188
Бренд,Djeco,14864,45559.0,0.5494,0.5402,0.5605,0.5587,0.0111,0.0185
Бренд,Infantino,8432,42087.0,0.4321,0.5016,0.435,0.523,0.0029,0.0214
Бренд,unknown,352,1508.0,0.4892,0.559,0.4916,0.5883,0.0024,0.0293
Группа_товара,Прорізувачі,2408,16196.0,0.3998,0.4799,0.4035,0.5008,0.0037,0.0209
Группа_товара,Серія S,2152,11937.0,0.5971,0.6299,0.5975,0.6392,0.0004,0.0093
Группа_товара,Cерія Букет квітів,976,10357.0,0.5122,0.559,0.5361,0.5701,0.0239,0.0111
Группа_товара,Lighting Series,936,6654.0,0.392,0.5042,0.4033,0.5395,0.0113,0.0353
Группа_товара,Навісні іграшки,1296,6057.0,0.4199,0.5093,0.4318,0.5396,0.0119,0.0303
Группа_товара,Серія T (кораблі),1432,5990.0,0.4626,0.4932,0.4693,0.5083,0.0067,0.0151
Группа_товара,Сортер,736,5026.0,0.3834,0.4514,0.3863,0.4636,0.0029,0.0122
Группа_товара,Сенсорний розвиток,1040,4032.0,0.4865,0.4798,0.4688,0.4832,-0.0177,0.0034
Группа_товара,Настольні ігри,1360,3742.0,0.5928,0.5339,0.6063,0.5474,0.0135,0.0135
Группа_товара,National Geographic,976,3547.0,0.494,0.5234,0.5035,0.5395,0.0095,0.0161
Группа_товара,Для купання,560,2929.0,0.4023,0.4988,0.3928,0.5221,-0.0095,0.0233
Группа_товара,Серія C,944,2798.0,0.5609,0.5059,0.5858,0.5252,0.0249,0.0193
Группа_товара,CityLine,776,2351.0,0.558,0.5193,0.5995,0.5671,0.0415,0.0478
Группа_товара,Інтерактив,704,2339.0,0.5297,0.6019,0.5388,0.6252,0.0091,0.0233
Группа_товара,Серія STEM,592,2333.0,0.4804,0.527,0.4969,0.5438,0.0165,0.0168
Группа_товара,Тату (23*14),816,2207.0,0.5838,0.5558,0.5989,0.5753,0.0151,0.0195
Группа_товара,Пазли стартові (2в1),456,2189.0,0.4268,0.4926,0.4315,0.5158,0.0047,0.0232
Группа_товара,Невидимі чорнила,360,2166.0,0.5069,0.6038,0.5288,0.629,0.0219,0.0252
Группа_товара,Прорізувач на присосці,264,1830.0,0.3934,0.4499,0.4025,0.4808,0.0091,0.0309
Группа_товара,Дикі тварини,480,1778.0,0.5794,0.6107,0.5774,0.6074,-0.002,-0.0033
Группа_товара,Карткові ігри (499),616,1751.0,0.5911,0.5434,0.5971,0.5451,0.006,0.0017
Группа_товара,unknown,352,1508.0,0.4892,0.559,0.4916,0.5883,0.0024,0.0293
Группа_товара,Аплікації з помпонами,256,1492.0,0.3961,0.4794,0.4148,0.5014,0.0187,0.022
Группа_товара,Серія NASA,376,1359.0,0.5333,0.5401,0.5698,0.5887,0.0365,0.0486
Группа_товара,Endanger Animal,448,1311.0,0.5811,0.5678,0.5832,0.5871,0.0021,0.0193
Группа_товара,Парасольки,456,1305.0,0.7506,0.8591,0.7599,0.9308,0.0093,0.0717
Группа_товара,Боді Арт,200,1188.0,0.4513,0.4434,0.4516,0.4534,0.0003,0.01
Группа_товара,Аплікації з фетром,192,1152.0,0.4185,0.4986,0.4116,0.5279,-0.0069,0.0293
Группа_товара,Наліпки (набором),448,1139.0,0.6373,0.7015,0.6482,0.724,0.0109,0.0225
Группа_товара,Качки,568,1126.0,0.7053,0.5574,0.7135,0.5905,0.0082,0.0331
Группа_товара,Прикраси_набори з намистом (599),352,1121.0,0.5363,0.6129,0.5582,0.6507,0.0219,0.0378
Группа_товара,Мультинабір (6-10),288,1115.0,0.4808,0.5172,0.5309,0.5684,0.0501,0.0512
Группа_товара,Розмальовки з віконечками,256,1062.0,0.4611,0.4604,0.4949,0.4696,0.0338,0.0092
Группа_товара,Набори для творчості з наліпками,440,1037.0,0.6165,0.5886,0.63,0.5945,0.0135,0.0059
Группа_товара,Лото,264,1010.0,0.4885,0.5279,0.4742,0.5383,-0.0143,0.0104
Группа_товара,Пірамідки / куби,280,989.0,0.53,0.4764,0.5214,0.4901,-0.0086,0.0137
Группа_товара,Доміно,240,979.0,0.4551,0.4445,0.4425,0.4515,-0.0126,0.007
Группа_товара,Зроби сам,352,909.0,0.6949,0.5869,0.7083,0.5989,0.0134,0.012
Группа_товара,Мобіль,248,909.0,0.541,0.5412,0.5374,0.5598,-0.0036,0.0186
Группа_товара,Водяні розмальовки (29х22),328,908.0,0.5345,0.5175,0.5162,0.5469,-0.0183,0.0294
Группа_товара,Набори для малювання,184,903.0,0.5357,0.562,0.5445,0.5534,0.0088,-0.0086
Группа_товара,Колажі,296,898.0,0.4629,0.4148,0.4776,0.4349,0.0147,0.0201
Группа_товара,National Geographic DINO,416,883.0,0.5717,0.4942,0.5695,0.5033,-0.0022,0.0091
Группа_товара,Пазли гіганти,168,875.0,0.5145,0.4893,0.5112,0.5113,-0.0033,0.022
Группа_товара,Пазли гіганти. Дороги,184,875.0,0.4679,0.4841,0.4779,0.4895,0.01,0.0054
Группа_товара,SOLOGIC,280,820.0,0.6021,0.4853,0.628,0.4953,0.0259,0.01
Группа_товара,Головоломки,184,787.0,0.4421,0.5117,0.4451,0.532,0.003,0.0203
Группа_товара,Світильник,264,727.0,0.598,0.592,0.6155,0.6117,0.0175,0.0197
Группа_товара,Фігурні наліпки,256,713.0,0.586,0.4908,0.5898,0.4938,0.0038,0.003
Группа_товара,Фломастери (набір 10 шт),168,672.0,0.4779,0.517,0.4771,0.5136,-0.0008,-0.0034
Группа_товара,Шкарпетки,120,669.0,0.2951,0.4421,0.3166,0.483,0.0215,0.0409
Группа_товара,Карткові ігри (699),240,642.0,0.5688,0.464,0.6002,0.4844,0.0314,0.0204
Группа_товара,Мозаїка,200,627.0,0.5112,0.5163,0.557,0.5438,0.0458,0.0275
Группа_товара,Мультинабір (3-6),152,623.0,0.4281,0.5752,0.4435,0.6091,0.0154,0.0339
Группа_товара,Набори з блискітками,320,604.0,0.5885,0.52,0.5942,0.521,0.0057,0.001
Группа_товара,Прикраси_браслети,232,595.0,0.4994,0.5388,0.5114,0.5744,0.012,0.0356
Группа_товара,Стартовий набір,16,539.0,0.4728,0.8127,0.446,0.8227,-0.0268,0.01
Группа_товара,Пазли стартові (гра),152,517.0,0.4774,0.4146,0.4737,0.4316,-0.0037,0.017
Группа_товара,Водяні розмальовки (16х22),136,513.0,0.472,0.4922,0.4629,0.4976,-0.0091,0.0054
Группа_товара,Набори для створення прикрас,136,512.0,0.5468,0.6559,0.5874,0.6518,0.0406,-0.0041
Группа_товара,Прикраси_набори з намистом (849),136,409.0,0.4461,0.4546,0.5034,0.4872,0.0573,0.0326
Группа_товара,Набори з піском,200,386.0,0.6436,0.4737,0.6393,0.4709,-0.0043,-0.0028
Группа_товара,Фарба пальчикова,80,380.0,0.4722,0.4929,0.4994,0.5112,0.0272,0.0183
Группа_товара,Магнітні ігри,64,357.0,0.4239,0.4745,0.4083,0.4786,-0.0156,0.0041
Группа_товара,Магнітні ігри_Фігурні,144,357.0,0.6466,0.6432,0.6545,0.6591,0.0079,0.0159
Группа_товара,Аплікації з паперу,88,332.0,0.4381,0.4466,0.436,0.4789,-0.0021,0.0323
Группа_товара,Пазли стартові (3в1),120,331.0,0.5189,0.4792,0.5094,0.489,-0.0095,0.0098
Группа_товара,Художні комплекти (7-99),160,292.0,0.5742,0.4909,0.5766,0.5244,0.0024,0.0335
Группа_товара,Аплікації з квітами,64,285.0,0.463,0.6179,0.4885,0.624,0.0255,0.0061
Группа_товара,Настільні ігри. Пірати,136,282.0,0.6612,0.5835,0.6528,0.5857,-0.0084,0.0022
Группа_товара,Маркери,96,236.0,0.7527,0.6857,0.7796,0.7165,0.0269,0.0308
Группа_товара,Набори з олівцями,120,233.0,0.5548,0.4676,0.6071,0.4857,0.0523,0.0181
Группа_товара,Мультинабір (18+),40,231.0,0.3708,0.5435,0.3742,0.5013,0.0034,-0.0422
Группа_товара,Вишивка/шиття,88,226.0,0.7203,0.4044,0.723,0.4175,0.0027,0.0131
Группа_товара,Дощовики,184,212.0,1.3065,0.775,1.3495,0.8132,0.043,0.0382
Группа_товара,Аплікації з синельним дротом,72,198.0,0.5265,0.5476,0.5358,0.5616,0.0093,0.014
Группа_товара,Прикраси_аксесуари для волосся,72,171.0,0.5344,0.4976,0.5781,0.5361,0.0437,0.0385
Группа_товара,Карткові ігри (599),80,166.0,0.7339,0.6182,0.7376,0.6518,0.0037,0.0336
Группа_товара,Гелеві ручки,48,155.0,0.4155,0.4129,0.4201,0.4304,0.0046,0.0175
Группа_товара,Набори з бісером,48,153.0,0.4024,0.3483,0.5118,0.3655,0.1094,0.0172
Группа_товара,Набори для створення прикрас (запікання),96,152.0,0.6874,0.4766,0.6542,0.4569,-0.0332,-0.0197
Группа_товара,Мемо,72,150.0,0.6725,0.5568,0.689,0.5834,0.0165,0.0266
Группа_товара,Карткові ігри (399),120,137.0,0.9803,0.5764,0.9619,0.5747,-0.0184,-0.0017
Группа_товара,Настільні ігри.Baby (дерево),136,130.0,0.9735,0.5977,0.9655,0.6074,-0.008,0.0097
Группа_товара,Набори з фольгою,56,115.0,0.6061,0.353,0.6089,0.3603,0.0028,0.0073
Группа_товара,Набори з трафаретами,40,107.0,0.6411,0.5582,0.6395,0.5996,-0.0016,0.0414
Группа_товара,Набори,40,94.0,0.5108,0.4501,0.5495,0.5191,0.0387,0.069
Группа_товара,"Перша розмальовка ""Набір від 18 міс""",40,91.0,0.7467,0.7504,0.7363,0.7857,-0.0104,0.0353
Группа_товара,Zig & Go,120,75.0,1.1849,0.4817,1.2132,0.518,0.0283,0.0363
Группа_товара,Толокар,48,68.0,0.7008,0.503,0.7347,0.5457,0.0339,0.0427
Группа_товара,Патчі металізовані,104,64.0,1.2522,0.5539,1.2496,0.5914,-0.0026,0.0375
Группа_товара,Коробки/шкатулки/бокси,8,59.0,0.663,0.5916,0.7124,0.6609,0.0494,0.0693
Группа_товара,Гравюра (скретчинг),88,57.0,1.2897,0.4782,1.3041,0.4889,0.0144,0.0107
Группа_товара,Карткові ігри (різне),80,47.0,1.4662,0.6391,1.4356,0.6242,-0.0306,-0.0149
