name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
trio+v9_tau0.5_ch08,0.3855,0.4103,"[0.3017, 0.3873, 0.4675]",0.3512,0.0343
trio+v9_tau0.52_ch08,0.3855,0.4103,"[0.3016, 0.3874, 0.4675]",0.3512,0.0343
trio+v9_tau0.55_ch08,0.3855,0.4103,"[0.3015, 0.3875, 0.4675]",0.3512,0.0343
champ_trio_tau0.5_ch08,0.3855,0.4105,"[0.3003, 0.3887, 0.4676]",0.3512,0.0343
v10_lad_only_tau0.52_ch08,0.3855,0.4105,"[0.3004, 0.3886, 0.4676]",0.3512,0.0343
v10_lad_only_tau0.55_ch08,0.3855,0.4105,"[0.3004, 0.3886, 0.4676]",0.3512,0.0343
champ_trio_tau0.52_ch08,0.3856,0.4105,"[0.3003, 0.3888, 0.4676]",0.3512,0.0344
trio+v9_recent_tau0.5_ch08,0.3856,0.4105,"[0.3004, 0.3887, 0.4676]",0.3512,0.0344
champ_trio_tau0.55_ch08,0.3856,0.4105,"[0.3003, 0.3888, 0.4676]",0.3512,0.0344
v10_lad_only_tau0.5_ch08,0.3855,0.4105,"[0.3004, 0.3886, 0.4676]",0.3512,0.0343
trio+v10_recent_tau0.55_ch08,0.386,0.4106,"[0.3024, 0.3881, 0.4674]",0.3512,0.0348
trio+v10_recent_tau0.52_ch08,0.3859,0.4106,"[0.3025, 0.3878, 0.4675]",0.3513,0.0346
trio+v10_recent_tau0.5_ch08,0.386,0.4106,"[0.3026, 0.3877, 0.4676]",0.3513,0.0347
trio+v9_recent_tau0.55_ch08,0.3857,0.4106,"[0.3008, 0.3888, 0.4676]",0.3512,0.0345
trio+v9_recent_tau0.52_ch08,0.3857,0.4106,"[0.3006, 0.3888, 0.4676]",0.3512,0.0345
trio+v9_tau0.55_chABC05_brand03,0.3866,0.4111,"[0.3049, 0.3862, 0.4686]",0.3516,0.035
trio+v9_tau0.5_chABC05_brand03,0.3866,0.4111,"[0.3052, 0.3859, 0.4686]",0.3516,0.035
trio+v9_tau0.52_chABC05_brand03,0.3866,0.4111,"[0.3051, 0.386, 0.4686]",0.3516,0.035
v10_lad_only_tau0.52_chABC05_brand03,0.3863,0.4112,"[0.3019, 0.3884, 0.4685]",0.3516,0.0347
trio+v9+v10_tau0.55_ch08,0.3868,0.4112,"[0.3052, 0.3874, 0.4678]",0.3513,0.0355
v10_lad_only_tau0.5_chABC05_brand03,0.3863,0.4112,"[0.3019, 0.3884, 0.4685]",0.3516,0.0347
v10_lad_only_tau0.55_chABC05_brand03,0.3863,0.4112,"[0.3019, 0.3884, 0.4685]",0.3516,0.0347
trio+v10_tau0.55_ch08,0.3867,0.4112,"[0.3035, 0.3887, 0.4678]",0.3513,0.0354
trio+v9+v10_tau0.52_ch08,0.3869,0.4112,"[0.3055, 0.3873, 0.4679]",0.3513,0.0356
champ_trio_tau0.5_chABC05_brand03,0.3863,0.4112,"[0.3018, 0.3886, 0.4685]",0.3516,0.0347
champ_trio_tau0.52_chABC05_brand03,0.3863,0.4112,"[0.3018, 0.3887, 0.4685]",0.3516,0.0347
champ_trio_tau0.55_chABC05_brand03,0.3863,0.4112,"[0.3018, 0.3887, 0.4685]",0.3516,0.0347
trio+v9+v10_tau0.5_ch08,0.3869,0.4113,"[0.3057, 0.3872, 0.4679]",0.3514,0.0355
trio+v9_recent_tau0.52_chABC05_brand03,0.3865,0.4113,"[0.3023, 0.3887, 0.4685]",0.3516,0.0349
trio+v10_tau0.52_ch08,0.3868,0.4113,"[0.3037, 0.3887, 0.4679]",0.3513,0.0355
trio+v9_recent_tau0.5_chABC05_brand03,0.3864,0.4113,"[0.3022, 0.3886, 0.4685]",0.3516,0.0348
trio+v10_tau0.5_ch08,0.3868,0.4113,"[0.3038, 0.3886, 0.468]",0.3513,0.0355
trio+v9_tau0.55_ch08_chABC_brand,0.3866,0.4114,"[0.3013, 0.3901, 0.4683]",0.3511,0.0355
trio+v9_recent_tau0.55_chABC05_brand03,0.3866,0.4114,"[0.3027, 0.3887, 0.4685]",0.3516,0.035
v10_lad_only_tau0.5_ch08_chABC_brand,0.3865,0.4115,"[0.3009, 0.3901, 0.4685]",0.3511,0.0354
trio+v10_recent_tau0.55_ch08_chABC_brand,0.3868,0.4115,"[0.3022, 0.3903, 0.468]",0.3511,0.0357
champ_trio_tau0.5_ch08_chABC_brand,0.3866,0.4115,"[0.3007, 0.3905, 0.4685]",0.3511,0.0355
trio+v10_recent_tau0.52_ch08_chABC_brand,0.3869,0.4115,"[0.3023, 0.3903, 0.468]",0.3511,0.0358
champ_trio_tau0.52_ch08_chABC_brand,0.3866,0.4115,"[0.3007, 0.3905, 0.4685]",0.3511,0.0355
trio+v9_tau0.52_ch08_chABC_brand,0.3866,0.4115,"[0.3014, 0.3901, 0.4683]",0.3511,0.0355
trio+v10_recent_tau0.5_ch08_chABC_brand,0.3869,0.4115,"[0.3024, 0.3902, 0.468]",0.3511,0.0358
v10_lad_only_tau0.52_ch08_chABC_brand,0.3865,0.4115,"[0.3009, 0.3901, 0.4685]",0.3511,0.0354
v10_lad_only_tau0.55_ch08_chABC_brand,0.3865,0.4115,"[0.3009, 0.3901, 0.4685]",0.3511,0.0354
trio+v9_tau0.5_ch08_chABC_brand,0.3866,0.4115,"[0.3014, 0.3901, 0.4683]",0.3511,0.0355
champ_trio_tau0.55_ch08_chABC_brand,0.3866,0.4116,"[0.3008, 0.3905, 0.4685]",0.3511,0.0355
trio+v9_recent_tau0.52_ch08_chABC_brand,0.3866,0.4116,"[0.3009, 0.3905, 0.4685]",0.3511,0.0355
trio+v9_recent_tau0.5_ch08_chABC_brand,0.3866,0.4116,"[0.3008, 0.3905, 0.4685]",0.3511,0.0355
trio+v9_recent_tau0.55_ch08_chABC_brand,0.3867,0.4116,"[0.3011, 0.3905, 0.4685]",0.3511,0.0356
all_lads_v9_v10_tau0.55_ch08,0.388,0.4118,"[0.3098, 0.3863, 0.4679]",0.3515,0.0365
trio+v10_tau0.55_ch08_chABC_brand,0.3873,0.412,"[0.3024, 0.3907, 0.4687]",0.3511,0.0362
all_lads_v9_v10_tau0.52_ch08,0.3881,0.412,"[0.3097, 0.386, 0.4685]",0.3517,0.0364
trio+v10_recent_tau0.55_chABC05_brand03,0.3879,0.412,"[0.3077, 0.3872, 0.4687]",0.3518,0.0361
