feature,gain_total_avg_per_fold
sku_age_months,94488.53411740065
months_since_last_promo,51543.57333564758
trends_toy_brands,29532.601466178894
release_next_month,21800.775114536285
months_since_demand,16621.843950986862
months_until_next_promo,12018.783480897546
brand_active,11698.50513458252
brand_total,10110.259234666824
month,9435.140808105469
days_to_womens_day,9226.004910558462
Группа_товара,6820.396249771118
trends_board_games_puzzles,6741.2692947387695
trends_toys_general,6422.954641342163
intensity_mom_delta,5713.11452293396
month_cos,5316.482223510742
days_to_easter,4867.680261492729
days_to_childrens_day,3450.327018737793
wm_bc_weekly_cv_lag1,3016.6158294677734
quarter,2982.481758117676
holiday_count,1025.7267265319824
month_sin,395.2422561645508
wm_bc_first_week_share_lag1,374.64852714538574
sku_price_elasticity,62.98239406943321
Бренд,35.29632568359375
Сегмент_ABC,34.54537487030029
price_vs_brand_median,33.81612491607666
sku_promo_sensitivity,32.658974170684814
rmean_12,28.583499908447266
stock_orc_lag_2,26.191999435424805
price_lag1,15.153825283050537
cohort_demand_lag1,9.324280880391598
recv_qty_rmean_6_lag1,9.191562414169312
price_vs_channel_median,7.566225051879883
sell_through_ratio_lag2,7.328125
rcv_6,6.7270525842905045
demand_cv,3.7039999961853027
wm_bc_last_week_share_lag1,3.552359938621521
РРЦ,1.846326045691967
lag_2,1.5340625047683716
sales_qty_lag_2,1.4781224727630615
easter_month_flag,1.2558250427246094
sales_qty_growth_lag1,1.1300910022109747
price_vs_rrc,0.782164990901947
stock_orc_depletion_lag1,0.7603574991226196
yoy_diff,0.11154425144195557
wm_n_shipping_days_lag1,0.0
wm_weekend_share_lag1,0.0
wm_weekly_cv_lag1,0.0
wm_weekend_share_lag1_3mavg,0.0
wm_first_week_share_lag1_3mavg,0.0
wm_n_shipping_days_lag1_3mavg,0.0
wm_n_shipments_lag1_3mavg,0.0
wm_peak_week_lag1_3mavg,0.0
wm_mid_week_share_lag1_3mavg,0.0
wm_peak_week_lag1,0.0
wm_avg_qty_per_day_lag1,0.0
wm_n_shipments_lag1,0.0
wm_weekly_cv_lag1_3mavg,0.0
wm_max_day_share_lag1,0.0
wm_last_week_share_lag1_3mavg,0.0
months_until_back_to_school,0.0
wm_avg_qty_per_day_lag1_3mavg,0.0
wm_max_day_share_lag1_3mavg,0.0
days_of_supply_orc_lag1,0.0
recv_qty_growth_lag1,0.0
recv_qty_lag_1,0.0
recv_qty_lag_2,0.0
recv_qty_lag_3,0.0
recv_qty_lag_6,0.0
recv_qty_rmean_3_lag1,0.0
recv_to_ship_ratio_lag1,0.0
stock_orc_buildup_flag_lag1,0.0
stock_orc_lag_1,0.0
stock_orc_lag_3,0.0
stock_tt_lag_1,0.0
stock_tt_lag_2,0.0
stock_tt_lag_3,0.0
stock_tt_velocity_lag1,0.0
sell_through_ratio_lag1,0.0
sales_yoy_ratio_lag1,0.0
sales_share_of_brand_lag1,0.0
sales_lead_signal_lag1,0.0
school_in_session,0.0
back_to_school_month,0.0
winter_school_break,0.0
spring_school_break,0.0
summer_break,0.0
wm_mid_week_share_lag1,0.0
sales_qty_lag_1,0.0
sales_qty_rmean_6_lag1,0.0
sales_qty_lag_12,0.0
sales_qty_lag_13,0.0
sales_qty_lag_3,0.0
sales_qty_lag_6,0.0
sales_qty_rmean_12_lag1,0.0
sales_qty_rmean_3_lag1,0.0
wm_last_week_share_lag1,0.0
promo_depth_pct_current,0.0
wm_first_week_share_lag1,0.0
rstd_3,0.0
inv_to_sales_tt,0.0
inv_to_sales_orc,0.0
stockout_orc_prev,0.0
stockout_both,0.0
stockout_tt,0.0
stockout_orc,0.0
is_wartime,0.0
is_q4,0.0
is_summer,0.0
is_march,0.0
is_sept,0.0
is_newyear,0.0
rstd_6,0.0
rmean_6,0.0
cannibalisation_pressure,0.0
rmean_3,0.0
lag_1_Выручка_sales,0.0
lag_1_Количество_orc,0.0
lag_1_Количество_ship,0.0
lag_12,0.0
lag_6,0.0
lag_3,0.0
lag_1,0.0
is_promo,0.0
promo_discount_pct,0.0
price_change_flag,0.0
Тип_соглашения,0.0
Канал,0.0
is_new_sku,0.0
demand_density,0.0
partner_total,0.0
sku_share_brand,0.0
cohort_stockout_share_lag1,0.0
cohort_size,0.0
price_change_3m_pct,0.0
price_lag3,0.0
post_promo_depletion_flag,0.0
promo_duration_months,0.0
release_prior_month,0.0
family_releases_influence,0.0
family_releases_count,0.0
preholiday_nov,0.0
preholiday_dec,0.0
days_to_st_nicholas,0.0
days_to_ny,0.0
is_dec,0.0
major_holiday_in_month,0.0
war_active,0.0
trend_down_3m,0.0
trend_up_3m,0.0
lag_range_3,0.0
lag_min_3,0.0
lag_max_3,0.0
sales_ship_ratio,0.0
partner_volume_tier,0.0
volume_tier,0.0
yoy_ratio,0.0
demand_accel,0.0
demand_velocity,0.0
tt_to_orc_ratio_lag1,0.0
