a,b,OOF_recency,OOF_bias_recency_pct,OOF_folds
0.0,0.0,0.4169,1.004,"[0.301, 0.3942, 0.4768]"
0.0,0.025,0.418,0.905,"[0.3061, 0.3952, 0.4765]"
0.0,0.05,0.4203,0.807,"[0.3158, 0.3966, 0.4763]"
0.0,0.075,0.4232,0.709,"[0.326, 0.3983, 0.4771]"
0.0,0.1,0.4266,0.611,"[0.3368, 0.4004, 0.4783]"
0.0,0.125,0.431,0.513,"[0.3481, 0.405, 0.4797]"
0.0,0.15,0.4358,0.414,"[0.3599, 0.4105, 0.4813]"
0.0,0.175,0.4408,0.316,"[0.3723, 0.4161, 0.4831]"
0.0,0.2,0.4462,0.218,"[0.3852, 0.422, 0.4851]"
0.025,0.0,0.4162,0.794,"[0.3019, 0.394, 0.4752]"
0.025,0.025,0.4175,0.696,"[0.3079, 0.3949, 0.4749]"
0.025,0.05,0.4198,0.597,"[0.3177, 0.3964, 0.4747]"
0.025,0.075,0.4225,0.499,"[0.3279, 0.3981, 0.4749]"
0.025,0.1,0.4259,0.401,"[0.3388, 0.4002, 0.4761]"
0.025,0.125,0.43,0.303,"[0.3502, 0.4039, 0.4775]"
0.025,0.15,0.4348,0.205,"[0.3621, 0.4094, 0.4791]"
0.025,0.175,0.4399,0.107,"[0.3745, 0.4151, 0.4809]"
0.025,0.2,0.4452,0.008,"[0.3875, 0.4209, 0.4829]"
0.05,0.0,0.4154,0.585,"[0.3027, 0.3937, 0.4736]"
0.05,0.025,0.417,0.486,"[0.3097, 0.3947, 0.4733]"
0.05,0.05,0.4194,0.388,"[0.3196, 0.3962, 0.4732]"
0.05,0.075,0.4219,0.289,"[0.3299, 0.3979, 0.4731]"
0.05,0.1,0.4251,0.191,"[0.3409, 0.4, 0.4739]"
0.05,0.125,0.4289,0.093,"[0.3523, 0.4028, 0.4753]"
0.05,0.15,0.4338,-0.005,"[0.3643, 0.4083, 0.4769]"
0.05,0.175,0.4389,-0.103,"[0.3768, 0.414, 0.4787]"
0.05,0.2,0.4443,-0.201,"[0.3899, 0.4198, 0.4807]"
0.075,0.0,0.4148,0.374,"[0.3036, 0.3935, 0.4721]"
0.075,0.025,0.4165,0.277,"[0.3115, 0.3945, 0.4718]"
0.075,0.05,0.4189,0.178,"[0.3215, 0.396, 0.4716]"
0.075,0.075,0.4215,0.08,"[0.3319, 0.3977, 0.4716]"
0.075,0.1,0.4244,-0.018,"[0.3429, 0.3998, 0.4718]"
0.075,0.125,0.4281,-0.117,"[0.3544, 0.402, 0.4732]"
0.075,0.15,0.4329,-0.215,"[0.3665, 0.4072, 0.4748]"
0.075,0.175,0.438,-0.313,"[0.3791, 0.4129, 0.4766]"
0.075,0.2,0.4434,-0.411,"[0.3922, 0.4188, 0.4786]"
0.1,0.0,0.4142,0.165,"[0.3046, 0.3933, 0.4705]"
0.1,0.025,0.4161,0.066,"[0.3134, 0.3943, 0.4703]"
0.1,0.05,0.4185,-0.031,"[0.3234, 0.3958, 0.4701]"
0.1,0.075,0.4211,-0.13,"[0.3339, 0.3975, 0.4701]"
0.1,0.1,0.424,-0.228,"[0.345, 0.3996, 0.4702]"
0.1,0.125,0.4274,-0.326,"[0.3566, 0.4019, 0.471]"
0.1,0.15,0.4319,-0.425,"[0.3687, 0.4062, 0.4726]"
0.1,0.175,0.437,-0.523,"[0.3814, 0.4119, 0.4744]"
0.1,0.2,0.4425,-0.621,"[0.3946, 0.4178, 0.4764]"
0.125,0.0,0.4136,-0.045,"[0.3058, 0.3931, 0.469]"
0.125,0.025,0.4156,-0.143,"[0.3153, 0.3941, 0.4687]"
0.125,0.05,0.418,-0.241,"[0.3253, 0.3956, 0.4686]"
0.125,0.075,0.4207,-0.339,"[0.3359, 0.3974, 0.4686]"
0.125,0.1,0.4236,-0.438,"[0.3471, 0.3995, 0.4687]"
0.125,0.125,0.4268,-0.536,"[0.3588, 0.4017, 0.469]"
0.125,0.15,0.431,-0.634,"[0.371, 0.4051, 0.4705]"
0.125,0.175,0.4362,-0.732,"[0.3838, 0.4109, 0.4723]"
0.125,0.2,0.4416,-0.831,"[0.397, 0.4168, 0.4743]"
0.15,0.0,0.4131,-0.254,"[0.3076, 0.3929, 0.4675]"
0.15,0.025,0.4152,-0.353,"[0.3172, 0.394, 0.4672]"
0.15,0.05,0.4177,-0.451,"[0.3273, 0.3955, 0.4671]"
0.15,0.075,0.4203,-0.549,"[0.338, 0.3972, 0.4671]"
0.15,0.1,0.4232,-0.647,"[0.3492, 0.3993, 0.4672]"
0.15,0.125,0.4265,-0.745,"[0.361, 0.4016, 0.4676]"
0.15,0.15,0.4301,-0.844,"[0.3733, 0.4042, 0.4684]"
0.15,0.175,0.4353,-0.942,"[0.3861, 0.4099, 0.4702]"
0.15,0.2,0.4407,-1.04,"[0.3994, 0.4158, 0.4722]"
0.175,0.0,0.4127,-0.464,"[0.3095, 0.3927, 0.466]"
0.175,0.025,0.4148,-0.562,"[0.3191, 0.3938, 0.4657]"
0.175,0.05,0.4173,-0.661,"[0.3293, 0.3953, 0.4656]"
0.175,0.075,0.42,-0.759,"[0.3401, 0.3971, 0.4656]"
0.175,0.1,0.4229,-0.857,"[0.3513, 0.3992, 0.4658]"
0.175,0.125,0.4261,-0.955,"[0.3632, 0.4015, 0.4661]"
0.175,0.15,0.4297,-1.053,"[0.3756, 0.4041, 0.4666]"
0.175,0.175,0.4344,-1.152,"[0.3885, 0.4089, 0.4681]"
