lambda,OOF_recency,OOF_bias_recency_pct,OOF_folds
0.0,0.4169,1.004,"[0.301, 0.3942, 0.4768]"
0.025,0.4162,0.794,"[0.3019, 0.394, 0.4752]"
0.05,0.4154,0.585,"[0.3027, 0.3937, 0.4736]"
0.075,0.4148,0.374,"[0.3036, 0.3935, 0.4721]"
0.1,0.4142,0.165,"[0.3046, 0.3933, 0.4705]"
0.125,0.4136,-0.045,"[0.3058, 0.3931, 0.469]"
0.15,0.4131,-0.254,"[0.3076, 0.3929, 0.4675]"
0.175,0.4127,-0.464,"[0.3095, 0.3927, 0.466]"
0.2,0.4123,-0.674,"[0.3113, 0.3926, 0.4645]"
0.225,0.4119,-0.883,"[0.3133, 0.3925, 0.463]"
0.25,0.4116,-1.093,"[0.3152, 0.3923, 0.4618]"
0.275,0.4127,-1.303,"[0.3171, 0.3922, 0.4632]"
0.3,0.4138,-1.512,"[0.3191, 0.3922, 0.4646]"
0.325,0.4149,-1.722,"[0.3211, 0.3921, 0.466]"
0.35,0.416,-1.932,"[0.3231, 0.3921, 0.4675]"
0.375,0.4171,-2.141,"[0.3251, 0.3921, 0.4689]"
0.4,0.4183,-2.351,"[0.3272, 0.3922, 0.4704]"
