name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,in_sample,gap
v10_baseline_tau0.5_ch08_chABC_brand,0.3881,0.413,-0.785,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v10_baseline_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.78,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v10+v11_chronos_tau0.5_ch08_chABC_brand,0.3881,0.413,-0.785,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v10+v11_chronos_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.78,"[0.3053, 0.3876, 0.4714]",0.3526,0.0355
v10_baseline_tau0.55_ch08_chABC_brand,0.388,0.413,-0.781,"[0.3053, 0.3875, 0.4713]",0.3528,0.0352
v10+v11_chronos_tau0.55_ch08_chABC_brand,0.388,0.413,-0.781,"[0.3053, 0.3875, 0.4713]",0.3529,0.0351
v10+v11_recent_only_tau0.5_ch08_chABC_brand,0.3884,0.4131,-0.915,"[0.307, 0.3871, 0.4711]",0.352,0.0364
v10+v11_recent_only_tau0.52_ch08_chABC_brand,0.3885,0.4131,-0.917,"[0.3074, 0.387, 0.471]",0.3521,0.0364
v10+v11_recent_only_tau0.55_ch08_chABC_brand,0.3887,0.4132,-0.927,"[0.3084, 0.3869, 0.4709]",0.3522,0.0365
v10+v11_g90_tau0.5_ch08_chABC_brand,0.3897,0.4139,-0.932,"[0.309, 0.3902, 0.47]",0.3519,0.0378
v10+v11_g90_tau0.52_ch08_chABC_brand,0.3898,0.4139,-0.934,"[0.3092, 0.3902, 0.47]",0.3519,0.0379
v10+v11_g90_tau0.55_ch08_chABC_brand,0.3899,0.4139,-0.94,"[0.3098, 0.3901, 0.4699]",0.3521,0.0378
v10+ro+g93_tau0.5_ch08_chABC_brand,0.3899,0.4142,-0.952,"[0.3092, 0.3891, 0.4713]",0.3518,0.0381
v10+ro+g93_tau0.52_ch08_chABC_brand,0.3899,0.4142,-0.962,"[0.3096, 0.3889, 0.4712]",0.3518,0.0381
v10+ro+g93_tau0.55_ch08_chABC_brand,0.3902,0.4143,-0.985,"[0.3108, 0.3887, 0.4711]",0.352,0.0382
v10+v11_g93_tau0.5_ch08_chABC_brand,0.3896,0.4143,-0.86,"[0.3073, 0.3898, 0.4717]",0.3522,0.0374
v10+v11_g93_tau0.55_ch08_chABC_brand,0.3898,0.4143,-0.875,"[0.3082, 0.3896, 0.4716]",0.3525,0.0373
v10+v11_g93_tau0.52_ch08_chABC_brand,0.3896,0.4143,-0.864,"[0.3075, 0.3897, 0.4717]",0.3522,0.0374
v10+all_v11_tau0.5_ch08_chABC_brand,0.3905,0.4144,-1.025,"[0.311, 0.3903, 0.4702]",0.3516,0.0389
v10+g93+g90_tau0.5_ch08_chABC_brand,0.3904,0.4144,-0.992,"[0.3106, 0.3903, 0.4703]",0.3518,0.0386
v10+g93+g90_tau0.52_ch08_chABC_brand,0.3905,0.4144,-0.997,"[0.3109, 0.3903, 0.4703]",0.3518,0.0387
v10+all_v11_tau0.52_ch08_chABC_brand,0.3906,0.4145,-1.038,"[0.3115, 0.3902, 0.4702]",0.3516,0.039
v10+all_v11_tau0.55_ch08_chABC_brand,0.3908,0.4145,-1.06,"[0.3124, 0.3899, 0.4701]",0.3517,0.0391
v10+g93+g90_tau0.55_ch08_chABC_brand,0.3907,0.4145,-1.005,"[0.3114, 0.3904, 0.4703]",0.352,0.0387
v10+v11_g90_tau0.52_ch08,0.3906,0.4148,-1.609,"[0.3145, 0.3835, 0.4738]",0.3562,0.0344
v10_baseline_tau0.5_ch08,0.3899,0.4149,-1.455,"[0.3097, 0.3847, 0.4752]",0.3571,0.0328
v10+v11_g90_tau0.5_ch08,0.3906,0.4149,-1.607,"[0.3143, 0.3835, 0.4739]",0.3562,0.0344
v10+v11_chronos_tau0.5_ch08,0.3899,0.4149,-1.455,"[0.3097, 0.3847, 0.4752]",0.3572,0.0327
v10+v11_g90_tau0.55_ch08,0.3908,0.4149,-1.613,"[0.3151, 0.3836, 0.4737]",0.3563,0.0345
v10_baseline_tau0.52_ch08,0.3899,0.415,-1.449,"[0.3097, 0.3848, 0.4752]",0.357,0.0329
v10_baseline_tau0.55_ch08,0.39,0.415,-1.447,"[0.3102, 0.3849, 0.475]",0.3571,0.0329
v10+v11_recent_only_tau0.5_ch08,0.3903,0.415,-1.599,"[0.3126, 0.3832, 0.4751]",0.3564,0.0339
