,actual_sum,pred_sum,wape,bias_pct,n,group
БІ,107340.0,106625.5986558944,0.2672924980247662,-0.6655499758762784,5909.0,channel
Антошка,26448.0,27216.384937803356,0.3421517690835358,2.905266703733189,4503.0,channel
Акварель,26003.0,26783.65041708056,0.36525001358506937,3.002155201632739,5434.0,channel
Епіцентр,19020.0,19252.42061256407,0.3754154015385946,1.2219800870876485,3116.0,channel
Чудо Острів,15084.0,15551.7000170282,0.33191293384169984,3.1006365488478016,1881.0,channel
ІМ,11182.0,11191.27123488106,0.5300356295937632,0.08291213451134816,5548.0,channel
МайПлей,10663.0,10954.102194658213,0.5299510247369609,2.730021519818182,5510.0,channel
Віват Канцелярія,5341.0,5124.28983032328,0.4576891003179704,-4.057483049554778,2223.0,channel
Long tail,84544.0,84217.12980067582,0.4247134329743637,-0.38662731752009405,27778.0,segment
Top-100 SKUs,154002.0,154696.78379737755,0.31708862304358615,0.45115245086269073,21888.0,segment
