name,fold1_bias,fold2_bias,fold3_bias,all_agree,last_two_agree,stability_score,OOF_recency
v10_baseline_tau0.5_ch08,-1.44,-0.529,-2.016,True,True,1.0665,0.4149
v10_baseline_tau0.5_chABC05_brand03,-3.063,-1.83,-3.22,True,True,5.8926,0.4222
v10_baseline_tau0.5_ch08_chABC_brand,-0.763,0.194,-1.382,False,False,-0.2681,0.413
v10_baseline_tau0.52_ch08,-1.448,-0.535,-1.997,True,True,1.0684,0.415
v10_baseline_tau0.52_chABC05_brand03,-3.071,-1.833,-3.201,True,True,5.8674,0.4222
v10_baseline_tau0.52_ch08_chABC_brand,-0.771,0.187,-1.364,False,False,-0.2551,0.413
v10_baseline_tau0.55_ch08,-1.497,-0.544,-1.968,True,True,1.0706,0.415
v10_baseline_tau0.55_chABC05_brand03,-3.113,-1.838,-3.17,True,True,5.8265,0.4223
v10_baseline_tau0.55_ch08_chABC_brand,-0.826,0.177,-1.337,False,False,-0.2366,0.413
v10+v11_recent_only_tau0.5_ch08,-1.815,-0.434,-2.211,True,True,0.9596,0.415
v10+v11_recent_only_tau0.5_chABC05_brand03,-3.42,-1.764,-3.451,True,True,6.0876,0.4224
v10+v11_recent_only_tau0.5_ch08_chABC_brand,-1.147,0.304,-1.553,False,False,-0.4721,0.4131
v10+v11_recent_only_tau0.52_ch08,-1.861,-0.438,-2.195,True,True,0.9614,0.415
v10+v11_recent_only_tau0.52_chABC05_brand03,-3.464,-1.767,-3.434,True,True,6.1209,0.4224
v10+v11_recent_only_tau0.52_ch08_chABC_brand,-1.195,0.3,-1.537,False,False,-0.4611,0.4131
v10+v11_recent_only_tau0.55_ch08,-1.97,-0.443,-2.164,True,True,0.9587,0.4151
v10+v11_recent_only_tau0.55_chABC05_brand03,-3.562,-1.77,-3.403,True,True,6.3047,0.4225
v10+v11_recent_only_tau0.55_ch08_chABC_brand,-1.311,0.296,-1.507,False,False,-0.4461,0.4132
v10+v11_g93_tau0.5_ch08,-1.838,-0.199,-2.206,True,True,0.439,0.4153
v10+v11_g93_tau0.5_chABC05_brand03,-3.453,-1.532,-3.416,True,True,5.29,0.4227
v10+v11_g93_tau0.5_ch08_chABC_brand,-1.173,0.54,-1.574,False,False,-0.85,0.4143
v10+v11_g93_tau0.52_ch08,-1.86,-0.213,-2.196,True,True,0.4677,0.4154
v10+v11_g93_tau0.52_chABC05_brand03,-3.475,-1.542,-3.405,True,True,5.3585,0.4227
v10+v11_g93_tau0.52_ch08_chABC_brand,-1.197,0.525,-1.565,False,False,-0.8216,0.4143
v10+v11_g93_tau0.55_ch08,-1.924,-0.231,-2.176,True,True,0.5027,0.4155
v10+v11_g93_tau0.55_chABC05_brand03,-3.53,-1.556,-3.385,True,True,5.4927,0.4228
v10+v11_g93_tau0.55_ch08_chABC_brand,-1.266,0.505,-1.547,False,False,-0.7812,0.4143
v10+v11_g90_tau0.5_ch08,-2.017,-0.197,-2.29,True,True,0.4511,0.4149
v10+v11_g90_tau0.5_chABC05_brand03,-3.632,-1.553,-3.517,True,True,5.6405,0.4223
v10+v11_g90_tau0.5_ch08_chABC_brand,-1.361,0.553,-1.651,False,False,-0.913,0.4139
v10+v11_g90_tau0.52_ch08,-2.042,-0.205,-2.278,True,True,0.467,0.4148
v10+v11_g90_tau0.52_chABC05_brand03,-3.657,-1.558,-3.505,True,True,5.6976,0.4223
v10+v11_g90_tau0.52_ch08_chABC_brand,-1.387,0.545,-1.641,False,False,-0.8943,0.4139
v10+v11_g90_tau0.55_ch08,-2.096,-0.217,-2.257,True,True,0.4898,0.4149
v10+v11_g90_tau0.55_chABC05_brand03,-3.705,-1.566,-3.483,True,True,5.802,0.4224
v10+v11_g90_tau0.55_ch08_chABC_brand,-1.444,0.531,-1.621,False,False,-0.8608,0.4139
v10+v11_chronos_tau0.5_ch08,-1.44,-0.529,-2.016,True,True,1.0665,0.4149
v10+v11_chronos_tau0.5_chABC05_brand03,-3.063,-1.83,-3.22,True,True,5.8926,0.4222
v10+v11_chronos_tau0.5_ch08_chABC_brand,-0.763,0.194,-1.382,False,False,-0.2681,0.413
v10+v11_chronos_tau0.52_ch08,-1.448,-0.535,-1.997,True,True,1.0684,0.415
v10+v11_chronos_tau0.52_chABC05_brand03,-3.071,-1.833,-3.201,True,True,5.8674,0.4222
v10+v11_chronos_tau0.52_ch08_chABC_brand,-0.771,0.187,-1.364,False,False,-0.2551,0.413
v10+v11_chronos_tau0.55_ch08,-1.497,-0.544,-1.968,True,True,1.0706,0.415
v10+v11_chronos_tau0.55_chABC05_brand03,-3.113,-1.838,-3.17,True,True,5.8265,0.4223
v10+v11_chronos_tau0.55_ch08_chABC_brand,-0.826,0.177,-1.337,False,False,-0.2366,0.413
v10+v12_multiseed_tau0.5_ch08,-1.659,-0.301,-2.321,True,True,0.6986,0.4137
v10+v12_multiseed_tau0.5_chABC05_brand03,-3.278,-1.672,-3.575,True,True,5.9774,0.4212
v10+v12_multiseed_tau0.5_ch08_chABC_brand,-0.987,0.463,-1.656,False,False,-0.7667,0.4122
v10+v12_multiseed_tau0.52_ch08,-1.672,-0.299,-2.308,True,True,0.6901,0.4136
v10+v12_multiseed_tau0.52_chABC05_brand03,-3.291,-1.67,-3.562,True,True,5.9485,0.4212
v10+v12_multiseed_tau0.52_ch08_chABC_brand,-1.001,0.466,-1.643,False,False,-0.7656,0.4121
v10+v12_multiseed_tau0.55_ch08,-1.73,-0.309,-2.28,True,True,0.7045,0.4136
v10+v12_multiseed_tau0.55_chABC05_brand03,-3.341,-1.679,-3.535,True,True,5.9353,0.4211
v10+v12_multiseed_tau0.55_ch08_chABC_brand,-1.065,0.457,-1.616,False,False,-0.7385,0.4121
v10+v12_intermittent_tau0.5_ch08,-1.44,-0.529,-1.992,True,True,1.0538,0.4149
v10+v12_intermittent_tau0.5_chABC05_brand03,-3.063,-1.83,-3.197,True,True,5.8505,0.4221
v10+v12_intermittent_tau0.5_ch08_chABC_brand,-0.763,0.194,-1.358,False,False,-0.2635,0.413
v10+v12_intermittent_tau0.52_ch08,-1.448,-0.535,-1.971,True,True,1.0545,0.4149
v10+v12_intermittent_tau0.52_chABC05_brand03,-3.071,-1.833,-3.175,True,True,5.8198,0.4221
v10+v12_intermittent_tau0.52_ch08_chABC_brand,-0.771,0.187,-1.338,False,False,-0.2502,0.413
v10+v12_intermittent_tau0.55_ch08,-1.497,-0.544,-1.938,True,True,1.0543,0.415
