name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds,fold_bias_signs,last_two_agree,all_agree,bias_stability_score,in_sample,gap
v10+all_v12_tau0.52_ch08_chABC_brand,0.3876,0.4106,-0.458,"[0.3089, 0.3902, 0.4636]","[-1.661, 0.973, -0.836]","[-1, 1, -1]",False,False,-1.6162,0.3503,0.0373
v10+all_v12_tau0.55_ch08_chABC_brand,0.3877,0.4106,-0.459,"[0.3098, 0.3901, 0.4633]","[-1.785, 0.957, -0.779]","[-1, 1, -1]",False,False,-1.7082,0.3503,0.0374
v10+all_v12_tau0.5_ch08_chABC_brand,0.3875,0.4107,-0.464,"[0.3085, 0.3902, 0.4638]","[-1.602, 0.974, -0.871]","[-1, 1, -1]",False,False,-1.5603,0.3503,0.0372
v10+v12_external_tau0.5_ch08_chABC_brand,0.3877,0.4108,-0.33,"[0.3083, 0.3915, 0.4634]","[-1.562, 1.152, -0.726]","[-1, 1, -1]",False,False,-1.7994,0.3503,0.0374
v10+v12_external_tau0.52_ch08_chABC_brand,0.3878,0.4108,-0.322,"[0.3086, 0.3915, 0.4632]","[-1.618, 1.164, -0.695]","[-1, 1, -1]",False,False,-1.8834,0.3503,0.0375
v10+v12_external_tau0.55_ch08_chABC_brand,0.388,0.4108,-0.319,"[0.3095, 0.3916, 0.4629]","[-1.739, 1.17, -0.644]","[-1, 1, -1]",False,False,-2.0346,0.3503,0.0377
v10+v11ro+v12ext_tau0.52_ch08_chABC_brand,0.3881,0.411,-0.344,"[0.3094, 0.3915, 0.4633]","[-1.693, 1.164, -0.71]","[-1, 1, -1]",False,False,-1.9707,0.3503,0.0378
v10+v11ro+v12ext_tau0.5_ch08_chABC_brand,0.388,0.411,-0.348,"[0.3089, 0.3915, 0.4635]","[-1.625, 1.152, -0.737]","[-1, 1, -1]",False,False,-1.872,0.3503,0.0377
v10+all_v12_tau0.52_ch08,0.3878,0.4111,-1.159,"[0.3146, 0.3813, 0.4676]","[-2.324, 0.186, -1.501]","[-1, 1, -1]",False,False,-0.4323,0.3548,0.033
v10+all_v12_tau0.55_ch08,0.388,0.4111,-1.159,"[0.3155, 0.3812, 0.4672]","[-2.443, 0.169, -1.443]","[-1, 1, -1]",False,False,-0.4129,0.3548,0.0332
v10+v11ro+v12ext_tau0.55_ch08_chABC_brand,0.3884,0.4111,-0.347,"[0.3105, 0.3916, 0.4631]","[-1.831, 1.17, -0.663]","[-1, 1, -1]",False,False,-2.1423,0.3503,0.0381
v10+all_v12_tau0.5_ch08,0.3878,0.4111,-1.165,"[0.3142, 0.3813, 0.4678]","[-2.267, 0.188, -1.537]","[-1, 1, -1]",False,False,-0.4262,0.3549,0.0329
v10+v12_external_tau0.52_ch08,0.388,0.4112,-1.025,"[0.3143, 0.3826, 0.4672]","[-2.283, 0.373, -1.36]","[-1, 1, -1]",False,False,-0.8516,0.355,0.033
v10+v12_external_tau0.5_ch08,0.388,0.4113,-1.032,"[0.314, 0.3826, 0.4674]","[-2.228, 0.363, -1.391]","[-1, 1, -1]",False,False,-0.8088,0.355,0.033
v10+v12_external_tau0.55_ch08,0.3882,0.4113,-1.02,"[0.3152, 0.3826, 0.4669]","[-2.398, 0.379, -1.308]","[-1, 1, -1]",False,False,-0.9088,0.3549,0.0333
v10+v11ro+v12ext_tau0.5_ch08,0.3882,0.4114,-1.05,"[0.3146, 0.3826, 0.4675]","[-2.289, 0.363, -1.403]","[-1, 1, -1]",False,False,-0.8309,0.355,0.0332
v10+v11ro+v12ext_tau0.52_ch08,0.3883,0.4114,-1.047,"[0.3151, 0.3826, 0.4673]","[-2.356, 0.373, -1.375]","[-1, 1, -1]",False,False,-0.8788,0.355,0.0333
v10+v11g93+v12ext_tau0.55_ch08_chABC_brand,0.3889,0.4115,-0.407,"[0.3114, 0.3918, 0.4634]","[-1.875, 1.194, -0.781]","[-1, 1, -1]",False,False,-2.2388,0.3502,0.0387
v10+v11g93+v12ext_tau0.52_ch08_chABC_brand,0.3886,0.4115,-0.411,"[0.3104, 0.3918, 0.4637]","[-1.752, 1.188, -0.833]","[-1, 1, -1]",False,False,-2.0814,0.3501,0.0385
v10+v11ro+v12ext_tau0.55_ch08,0.3886,0.4115,-1.048,"[0.3162, 0.3826, 0.467]","[-2.487, 0.379, -1.328]","[-1, 1, -1]",False,False,-0.9426,0.3549,0.0337
v10+v11g93+v12ext_tau0.5_ch08_chABC_brand,0.3886,0.4115,-0.417,"[0.31, 0.3918, 0.4639]","[-1.691, 1.178, -0.865]","[-1, 1, -1]",False,False,-1.992,0.3501,0.0385
v10+v11g93+v12ext_tau0.52_ch08,0.3889,0.4119,-1.11,"[0.3161, 0.3829, 0.4677]","[-2.409, 0.397, -1.494]","[-1, 1, -1]",False,False,-0.9564,0.3548,0.0341
v10+v11g93+v12ext_tau0.5_ch08,0.3888,0.4119,-1.116,"[0.3156, 0.3829, 0.4679]","[-2.349, 0.388, -1.526]","[-1, 1, -1]",False,False,-0.9114,0.3549,0.0339
v10+v11g93+v12ext_tau0.55_ch08,0.3891,0.412,-1.105,"[0.317, 0.3829, 0.4674]","[-2.526, 0.402, -1.441]","[-1, 1, -1]",False,False,-1.0155,0.3548,0.0343
v10+all_optional_tau0.5_ch08_chABC_brand,0.3892,0.4121,-0.677,"[0.3119, 0.3909, 0.4648]","[-1.842, 0.94, -1.181]","[-1, 1, -1]",False,False,-1.7315,0.3503,0.0389
v10+all_optional_tau0.52_ch08_chABC_brand,0.3893,0.4121,-0.68,"[0.3124, 0.3909, 0.4647]","[-1.908, 0.945, -1.163]","[-1, 1, -1]",False,False,-1.8031,0.3503,0.039
v10+all_optional_tau0.55_ch08_chABC_brand,0.3895,0.4121,-0.687,"[0.3134, 0.3907, 0.4645]","[-2.022, 0.935, -1.127]","[-1, 1, -1]",False,False,-1.8906,0.3503,0.0392
v10+all_v11+v12ext_tau0.5_ch08_chABC_brand,0.3893,0.4121,-0.589,"[0.3116, 0.3917, 0.4646]","[-1.78, 1.067, -1.107]","[-1, 1, -1]",False,False,-1.8993,0.3502,0.0391
v10+v12_multiseed_tau0.55_ch08_chABC_brand,0.3876,0.4121,-0.884,"[0.3056, 0.3879, 0.4693]","[-1.065, 0.457, -1.616]","[-1, 1, -1]",False,False,-0.7385,0.3514,0.0362
v10+v12_multiseed_tau0.52_ch08_chABC_brand,0.3875,0.4121,-0.882,"[0.3051, 0.3879, 0.4695]","[-1.001, 0.466, -1.643]","[-1, 1, -1]",False,False,-0.7656,0.3513,0.0362
v10+v12_multiseed_tau0.5_ch08_chABC_brand,0.3875,0.4122,-0.886,"[0.305, 0.3879, 0.4696]","[-0.987, 0.463, -1.656]","[-1, 1, -1]",False,False,-0.7667,0.3513,0.0362
v10+all_v11+v12ext_tau0.52_ch08_chABC_brand,0.3895,0.4122,-0.592,"[0.3121, 0.3918, 0.4645]","[-1.846, 1.081, -1.094]","[-1, 1, -1]",False,False,-1.9955,0.3503,0.0392
v10+all_v11+v12ext_tau0.55_ch08_chABC_brand,0.3897,0.4123,-0.598,"[0.313, 0.3918, 0.4643]","[-1.959, 1.088, -1.065]","[-1, 1, -1]",False,False,-2.1314,0.3503,0.0394
v10+all_optional_tau0.52_ch08,0.3895,0.4125,-1.374,"[0.3178, 0.3819, 0.4688]","[-2.551, 0.159, -1.822]","[-1, 1, -1]",False,False,-0.4056,0.3547,0.0348
v10+all_optional_tau0.55_ch08,0.3897,0.4125,-1.38,"[0.3187, 0.3817, 0.4686]","[-2.661, 0.149, -1.785]","[-1, 1, -1]",False,False,-0.3965,0.3547,0.035
v10+all_v11+v12ext_tau0.5_ch08,0.3894,0.4125,-1.285,"[0.317, 0.3827, 0.4686]","[-2.428, 0.279, -1.766]","[-1, 1, -1]",False,False,-0.6774,0.3549,0.0345
v10+all_optional_tau0.5_ch08,0.3894,0.4125,-1.371,"[0.3173, 0.3819, 0.4689]","[-2.487, 0.155, -1.841]","[-1, 1, -1]",False,False,-0.3855,0.3547,0.0347
v10+all_v11+v12ext_tau0.52_ch08,0.3896,0.4126,-1.287,"[0.3175, 0.3827, 0.4685]","[-2.491, 0.292, -1.753]","[-1, 1, -1]",False,False,-0.7274,0.3548,0.0348
v10+all_v11+v12ext_tau0.55_ch08,0.3898,0.4126,-1.292,"[0.3184, 0.3827, 0.4683]","[-2.601, 0.298, -1.723]","[-1, 1, -1]",False,False,-0.7751,0.3548,0.035
v10+v12_intermittent_tau0.55_ch08_chABC_brand,0.388,0.4129,-0.766,"[0.3053, 0.3875, 0.4711]","[-0.826, 0.177, -1.308]","[-1, 1, -1]",False,False,-0.2315,0.3529,0.0351
v10_baseline_tau0.55_ch08_chABC_brand,0.388,0.413,-0.781,"[0.3053, 0.3875, 0.4713]","[-0.826, 0.177, -1.337]","[-1, 1, -1]",False,False,-0.2366,0.3528,0.0352
v10+v11_chronos_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.78,"[0.3053, 0.3876, 0.4714]","[-0.771, 0.187, -1.364]","[-1, 1, -1]",False,False,-0.2551,0.3526,0.0355
v10_baseline_tau0.5_ch08_chABC_brand,0.3881,0.413,-0.785,"[0.3053, 0.3876, 0.4714]","[-0.763, 0.194, -1.382]","[-1, 1, -1]",False,False,-0.2681,0.3525,0.0356
v10+v11_chronos_tau0.55_ch08_chABC_brand,0.388,0.413,-0.781,"[0.3053, 0.3875, 0.4713]","[-0.826, 0.177, -1.337]","[-1, 1, -1]",False,False,-0.2366,0.3529,0.0351
v10+v11_chronos_tau0.5_ch08_chABC_brand,0.3881,0.413,-0.785,"[0.3053, 0.3876, 0.4714]","[-0.763, 0.194, -1.382]","[-1, 1, -1]",False,False,-0.2681,0.3525,0.0356
v10_baseline_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.78,"[0.3053, 0.3876, 0.4714]","[-0.771, 0.187, -1.364]","[-1, 1, -1]",False,False,-0.2551,0.3525,0.0356
v10+v12_intermittent_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.767,"[0.3053, 0.3876, 0.4713]","[-0.771, 0.187, -1.338]","[-1, 1, -1]",False,False,-0.2502,0.3526,0.0355
v10+v12_intermittent_tau0.5_ch08_chABC_brand,0.3881,0.413,-0.773,"[0.3053, 0.3876, 0.4713]","[-0.763, 0.194, -1.358]","[-1, 1, -1]",False,False,-0.2635,0.3525,0.0356
