model,split,color,n_rows,WAPE,MAE,RMSE,Bias_units,Agg_Bias_pct,SMAPE_nz,Monthly_WAPE,SIMSCORE
V11_LAD,val,#cc8866,31368,0.334,1.5804,3.6643,0.0102,0.216,0.4188,0.0359,0.3531
V11_LAD,test,#cc8866,18298,0.4006,1.9732,4.812,0.2392,4.856,0.4964,0.0827,0.4662
V11_final,val,#1f77b4,31368,0.3311,1.5664,3.6831,-0.0687,-1.452,0.4163,0.0384,0.3575
V11_final,test,#1f77b4,18298,0.395,1.9458,4.8466,0.1379,2.799,0.4926,0.0799,0.4489
V12_LAD,val,#bbbbbb,31368,0.3321,1.5713,3.6785,-0.0282,-0.595,0.4168,0.0327,0.3514
V12_LAD,test,#bbbbbb,18298,0.3983,1.9619,4.8316,0.2208,4.483,0.4946,0.0801,0.4607
V12_final,val,#999999,31368,0.3321,1.5713,3.6785,-0.0282,-0.595,0.4168,0.0327,0.3514
V12_final,test,#999999,18298,0.3983,1.9619,4.8316,0.2208,4.483,0.4946,0.0801,0.4607
V12.1_LAD,val,#ffaa55,31368,0.3317,1.5691,3.6801,-0.0278,-0.588,0.416,0.0314,0.3503
V12.1_LAD,test,#ffaa55,18298,0.3969,1.9552,4.8429,0.1899,3.856,0.4946,0.0812,0.4568
V12.1_champion,val,#2ca02c,31368,0.3305,1.5637,3.6868,-0.0822,-1.737,0.4159,0.0392,0.3588
V12.1_champion,test,#2ca02c,18298,0.3937,1.9395,4.8547,0.1161,2.357,0.4918,0.0796,0.4453
