weights,w_base,w_v12ext,w_v11g93,w_chronos,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"(1.0, 0.0, 0.0, 0.0)",1.0,0.0,0.0,0.0,0.41111,-0.8313,0.341
"(0.975, 0.0, 0.0, 0.025)",0.975,0.0,0.0,0.025,0.41308,-1.2887000000000002,0.19
"(0.95, 0.0, 0.0, 0.05)",0.95,0.0,0.0,0.05,0.41577,-1.7463,0.038
"(0.925, 0.0, 0.0, 0.075)",0.925,0.0,0.0,0.075,0.41971,-2.2037,-0.113
"(0.9, 0.0, 0.0, 0.1)",0.9,0.0,0.0,0.1,0.42523,-2.6608000000000005,-0.264
"(0.875, 0.0, 0.0, 0.125)",0.875,0.0,0.0,0.125,0.43161,-3.1182000000000003,-0.415
"(0.85, 0.0, 0.0, 0.15)",0.85,0.0,0.0,0.15,0.43855,-3.5756,-0.566
"(0.8, 0.0, 0.0, 0.2)",0.8,0.0,0.0,0.2,0.45418000000000003,-4.4906,-0.869
"(0.975, 0.0, 0.025, 0.0)",0.975,0.0,0.025,0.0,0.41083000000000003,-0.9939,0.124
"(0.95, 0.0, 0.025, 0.025)",0.95,0.0,0.025,0.025,0.4129,-1.4513000000000003,-0.027
"(0.925, 0.0, 0.025, 0.05)",0.925,0.0,0.025,0.05,0.41636,-1.9083999999999999,-0.178
"(0.9, 0.0, 0.025, 0.075)",0.9,0.0,0.025,0.075,0.42057999999999995,-2.3657999999999997,-0.329
"(0.875, 0.0, 0.025, 0.1)",0.875,0.0,0.025,0.1,0.42634,-2.8228999999999997,-0.48
"(0.85, 0.0, 0.025, 0.125)",0.85,0.0,0.025,0.125,0.43267,-3.2803000000000004,-0.631
"(0.825, 0.0, 0.025, 0.15)",0.825,0.0,0.025,0.15,0.43964000000000003,-3.7377000000000002,-0.782
"(0.775, 0.0, 0.025, 0.2)",0.775,0.0,0.025,0.2,0.45536,-4.652699999999999,-1.085
"(0.95, 0.0, 0.05, 0.0)",0.95,0.0,0.05,0.0,0.41100000000000003,-1.156,-0.092
"(0.925, 0.0, 0.05, 0.025)",0.925,0.0,0.05,0.025,0.41376999999999997,-1.6134,-0.243
"(0.9, 0.0, 0.05, 0.05)",0.9,0.0,0.05,0.05,0.41723,-2.0705,-0.394
"(0.875, 0.0, 0.05, 0.075)",0.875,0.0,0.05,0.075,0.42159,-2.5279,-0.545
"(0.85, 0.0, 0.05, 0.1)",0.85,0.0,0.05,0.1,0.42738,-2.985,-0.696
"(0.825, 0.0, 0.05, 0.125)",0.825,0.0,0.05,0.125,0.43376,-3.4424,-0.847
"(0.8, 0.0, 0.05, 0.15)",0.8,0.0,0.05,0.15,0.44077,-3.9003,-0.999
"(0.75, 0.0, 0.05, 0.2)",0.75,0.0,0.05,0.2,0.45654,-4.8148,-1.301
"(0.925, 0.0, 0.075, 0.0)",0.925,0.0,0.075,0.0,0.41176999999999997,-1.3180999999999998,-0.308
"(0.9, 0.0, 0.075, 0.025)",0.9,0.0,0.075,0.025,0.41461000000000003,-1.7755,-0.459
"(0.875, 0.0, 0.075, 0.05)",0.875,0.0,0.075,0.05,0.4181,-2.2326,-0.61
"(0.85, 0.0, 0.075, 0.075)",0.85,0.0,0.075,0.075,0.42263,-2.69,-0.761
"(0.825, 0.0, 0.075, 0.1)",0.825,0.0,0.075,0.1,0.42847,-3.1476,-0.913
"(0.8, 0.0, 0.075, 0.125)",0.8,0.0,0.075,0.125,0.43487,-3.6049999999999995,-1.064
"(0.775, 0.0, 0.075, 0.15)",0.775,0.0,0.075,0.15,0.44193,-4.0626,-1.215
"(0.725, 0.0, 0.075, 0.2)",0.725,0.0,0.075,0.2,0.45772,-4.9771,-1.517
"(0.9, 0.0, 0.1, 0.0)",0.9,0.0,0.1,0.0,0.41262,-1.4802,-0.524
"(0.875, 0.0, 0.1, 0.025)",0.875,0.0,0.1,0.025,0.41548,-1.9375999999999998,-0.675
"(0.85, 0.0, 0.1, 0.05)",0.85,0.0,0.1,0.05,0.41899,-2.3949,-0.826
"(0.825, 0.0, 0.1, 0.075)",0.825,0.0,0.1,0.075,0.42372,-2.8528000000000002,-0.978
"(0.8, 0.0, 0.1, 0.1)",0.8,0.0,0.1,0.1,0.42952999999999997,-3.3099,-1.129
"(0.775, 0.0, 0.1, 0.125)",0.775,0.0,0.1,0.125,0.43596,-3.7673,-1.28
"(0.75, 0.0, 0.1, 0.15)",0.75,0.0,0.1,0.15,0.44307,-4.2247,-1.431
"(0.7, 0.0, 0.1, 0.2)",0.7,0.0,0.1,0.2,0.45893,-5.139200000000001,-1.733
"(0.875, 0.0, 0.125, 0.0)",0.875,0.0,0.125,0.0,0.41346,-1.6425,-0.74
"(0.85, 0.0, 0.125, 0.025)",0.85,0.0,0.125,0.025,0.41635,-2.0999,-0.891
"(0.825, 0.0, 0.125, 0.05)",0.825,0.0,0.125,0.05,0.41986,-2.5575,-1.043
