weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[1.0, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0,0.41111,-0.8313,0.341
"[0.975, 0.0, 0.0, 0.025]",0.975,0.0,0.0,0.025,0.41323,-1.1165,0.318
"[0.95, 0.0, 0.0, 0.05]",0.95,0.0,0.0,0.05,0.41587,-1.4022000000000001,0.294
"[0.925, 0.0, 0.0, 0.075]",0.925,0.0,0.0,0.075,0.41911,-1.6871,0.271
"[0.9, 0.0, 0.0, 0.1]",0.9,0.0,0.0,0.1,0.42286999999999997,-1.9722999999999997,0.248
"[0.875, 0.0, 0.0, 0.125]",0.875,0.0,0.0,0.125,0.42719,-2.2577000000000003,0.225
"[0.85, 0.0, 0.0, 0.15]",0.85,0.0,0.0,0.15,0.43245,-2.5426,0.202
"[0.8, 0.0, 0.0, 0.2]",0.8,0.0,0.0,0.2,0.44428999999999996,-3.1130000000000004,0.156
"[0.975, 0.0, 0.025, 0.0]",0.975,0.0,0.025,0.0,0.41083000000000003,-0.9939,0.124
"[0.95, 0.0, 0.025, 0.025]",0.95,0.0,0.025,0.025,0.41295,-1.2791000000000001,0.101
"[0.925, 0.0, 0.025, 0.05]",0.925,0.0,0.025,0.05,0.41561,-1.5643000000000002,0.078
"[0.9, 0.0, 0.025, 0.075]",0.9,0.0,0.025,0.075,0.41885,-1.8492,0.055
"[0.875, 0.0, 0.025, 0.1]",0.875,0.0,0.025,0.1,0.42268,-2.1346,0.032
"[0.85, 0.0, 0.025, 0.125]",0.85,0.0,0.025,0.125,0.42711,-2.4198,0.009
"[0.825, 0.0, 0.025, 0.15]",0.825,0.0,0.025,0.15,0.43251,-2.7047000000000003,-0.014
"[0.775, 0.0, 0.025, 0.2]",0.775,0.0,0.025,0.2,0.44462,-3.2750999999999997,-0.06
"[0.95, 0.0, 0.05, 0.0]",0.95,0.0,0.05,0.0,0.41100000000000003,-1.156,-0.092
"[0.925, 0.0, 0.05, 0.025]",0.925,0.0,0.05,0.025,0.41327,-1.4412000000000003,-0.115
"[0.9, 0.0, 0.05, 0.05]",0.9,0.0,0.05,0.05,0.41608,-1.7264,-0.138
"[0.875, 0.0, 0.05, 0.075]",0.875,0.0,0.05,0.075,0.41944000000000004,-2.0115,-0.161
"[0.85, 0.0, 0.05, 0.1]",0.85,0.0,0.05,0.1,0.42347,-2.2967,-0.184
"[0.825, 0.0, 0.05, 0.125]",0.825,0.0,0.05,0.125,0.42817,-2.5818999999999996,-0.207
"[0.8, 0.0, 0.05, 0.15]",0.8,0.0,0.05,0.15,0.43362,-2.8668000000000005,-0.23
"[0.75, 0.0, 0.05, 0.2]",0.75,0.0,0.05,0.2,0.44578,-3.4377,-0.277
"[0.925, 0.0, 0.075, 0.0]",0.925,0.0,0.075,0.0,0.41176999999999997,-1.3180999999999998,-0.308
"[0.9, 0.0, 0.075, 0.025]",0.9,0.0,0.075,0.025,0.41411,-1.6033000000000002,-0.331
"[0.875, 0.0, 0.075, 0.05]",0.875,0.0,0.075,0.05,0.41692,-1.8887,-0.354
"[0.85, 0.0, 0.075, 0.075]",0.85,0.0,0.075,0.075,0.42033,-2.1736,-0.377
"[0.825, 0.0, 0.075, 0.1]",0.825,0.0,0.075,0.1,0.42438,-2.4588,-0.4
"[0.8, 0.0, 0.075, 0.125]",0.8,0.0,0.075,0.125,0.4293,-2.7439999999999998,-0.423
"[0.775, 0.0, 0.075, 0.15]",0.775,0.0,0.075,0.15,0.43478,-3.0294000000000003,-0.447
"[0.725, 0.0, 0.075, 0.2]",0.725,0.0,0.075,0.2,0.44695999999999997,-3.5998,-0.493
"[0.9, 0.0, 0.1, 0.0]",0.9,0.0,0.1,0.0,0.41262,-1.4802,-0.524
