weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,OOF_recency,OOF_bias_recency_pct
"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0,0.0,0.41111,-0.8313
"[0.975, 0.0, 0.0, 0.0, 0.025]",0.975,0.0,0.0,0.0,0.025,0.41087,-0.9500999999999998
"[0.95, 0.0, 0.0, 0.0, 0.05]",0.95,0.0,0.0,0.0,0.05,0.41066,-1.0689
"[0.925, 0.0, 0.0, 0.0, 0.075]",0.925,0.0,0.0,0.0,0.075,0.41049,-1.1877
"[0.9, 0.0, 0.0, 0.0, 0.1]",0.9,0.0,0.0,0.0,0.1,0.41093,-1.3065000000000002
"[0.875, 0.0, 0.0, 0.0, 0.125]",0.875,0.0,0.0,0.0,0.125,0.41139000000000003,-1.4255000000000002
"[0.85, 0.0, 0.0, 0.0, 0.15]",0.85,0.0,0.0,0.0,0.15,0.41181999999999996,-1.5442999999999998
"[0.8, 0.0, 0.0, 0.0, 0.2]",0.8,0.0,0.0,0.0,0.2,0.41284,-1.7816
"[0.975, 0.0, 0.0, 0.025, 0.0]",0.975,0.0,0.0,0.025,0.0,0.41323,-1.1165
"[0.95, 0.0, 0.0, 0.025, 0.025]",0.95,0.0,0.0,0.025,0.025,0.41304,-1.2353
"[0.925, 0.0, 0.0, 0.025, 0.05]",0.925,0.0,0.0,0.025,0.05,0.41285,-1.3541
"[0.9, 0.0, 0.0, 0.025, 0.075]",0.9,0.0,0.0,0.025,0.075,0.41285,-1.4729
"[0.875, 0.0, 0.0, 0.025, 0.1]",0.875,0.0,0.0,0.025,0.1,0.41331,-1.5918999999999999
"[0.85, 0.0, 0.0, 0.025, 0.125]",0.85,0.0,0.0,0.025,0.125,0.41374,-1.7104
"[0.825, 0.0, 0.0, 0.025, 0.15]",0.825,0.0,0.0,0.025,0.15,0.41422000000000003,-1.8292
"[0.775, 0.0, 0.0, 0.025, 0.2]",0.775,0.0,0.0,0.025,0.2,0.41523,-2.0668
"[0.95, 0.0, 0.0, 0.05, 0.0]",0.95,0.0,0.0,0.05,0.0,0.41587,-1.4022000000000001
"[0.925, 0.0, 0.0, 0.05, 0.025]",0.925,0.0,0.0,0.05,0.025,0.41569999999999996,-1.5205
"[0.9, 0.0, 0.0, 0.05, 0.05]",0.9,0.0,0.0,0.05,0.05,0.41552999999999995,-1.6389999999999998
"[0.875, 0.0, 0.0, 0.05, 0.075]",0.875,0.0,0.0,0.05,0.075,0.41573000000000004,-1.758
"[0.85, 0.0, 0.0, 0.05, 0.1]",0.85,0.0,0.0,0.05,0.1,0.41616,-1.8768
"[0.825, 0.0, 0.0, 0.05, 0.125]",0.825,0.0,0.0,0.05,0.125,0.41666,-1.9956
"[0.8, 0.0, 0.0, 0.05, 0.15]",0.8,0.0,0.0,0.05,0.15,0.41718999999999995,-2.1144000000000003
"[0.75, 0.0, 0.0, 0.05, 0.2]",0.75,0.0,0.0,0.05,0.2,0.41825999999999997,-2.352
"[0.925, 0.0, 0.0, 0.075, 0.0]",0.925,0.0,0.0,0.075,0.0,0.41911,-1.6871
