weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0,0.0,0.0,0.41111,-0.8313
"[0.975, 0.0, 0.0, 0.0, 0.0, 0.025]",0.975,0.0,0.0,0.0,0.0,0.025,0.4104,-0.8139000000000001
"[0.95, 0.0, 0.0, 0.0, 0.0, 0.05]",0.95,0.0,0.0,0.0,0.0,0.05,0.40986,-0.796
"[0.925, 0.0, 0.0, 0.0, 0.0, 0.075]",0.925,0.0,0.0,0.0,0.0,0.075,0.40947999999999996,-0.7786
"[0.9, 0.0, 0.0, 0.0, 0.0, 0.1]",0.9,0.0,0.0,0.0,0.0,0.1,0.40975000000000006,-0.7607
"[0.85, 0.0, 0.0, 0.0, 0.0, 0.15]",0.85,0.0,0.0,0.0,0.0,0.15,0.4111,-0.7259
"[0.975, 0.0, 0.0, 0.0, 0.025, 0.0]",0.975,0.0,0.0,0.0,0.025,0.0,0.41087,-0.9500999999999998
"[0.95, 0.0, 0.0, 0.0, 0.025, 0.025]",0.95,0.0,0.0,0.0,0.025,0.025,0.41019,-0.9327000000000001
"[0.925, 0.0, 0.0, 0.0, 0.025, 0.05]",0.925,0.0,0.0,0.0,0.025,0.05,0.40969,-0.9148000000000001
"[0.9, 0.0, 0.0, 0.0, 0.025, 0.075]",0.9,0.0,0.0,0.0,0.025,0.075,0.40986999999999996,-0.8974
"[0.875, 0.0, 0.0, 0.0, 0.025, 0.1]",0.875,0.0,0.0,0.0,0.025,0.1,0.41013999999999995,-0.8795
"[0.825, 0.0, 0.0, 0.0, 0.025, 0.15]",0.825,0.0,0.0,0.0,0.025,0.15,0.41125,-0.8442
"[0.95, 0.0, 0.0, 0.0, 0.05, 0.0]",0.95,0.0,0.0,0.0,0.05,0.0,0.41066,-1.0689
"[0.925, 0.0, 0.0, 0.0, 0.05, 0.025]",0.925,0.0,0.0,0.0,0.05,0.025,0.41002,-1.0514999999999999
"[0.9, 0.0, 0.0, 0.0, 0.05, 0.05]",0.9,0.0,0.0,0.0,0.05,0.05,0.41008,-1.0336
"[0.875, 0.0, 0.0, 0.0, 0.05, 0.075]",0.875,0.0,0.0,0.0,0.05,0.075,0.41028,-1.0162
"[0.85, 0.0, 0.0, 0.0, 0.05, 0.1]",0.85,0.0,0.0,0.0,0.05,0.1,0.4105,-0.9983
"[0.8, 0.0, 0.0, 0.0, 0.05, 0.15]",0.8,0.0,0.0,0.0,0.05,0.15,0.41157,-0.9630000000000001
"[0.925, 0.0, 0.0, 0.0, 0.075, 0.0]",0.925,0.0,0.0,0.0,0.075,0.0,0.41049,-1.1877
"[0.9, 0.0, 0.0, 0.0, 0.075, 0.025]",0.9,0.0,0.0,0.0,0.075,0.025,0.41042999999999996,-1.1703
"[0.875, 0.0, 0.0, 0.0, 0.075, 0.05]",0.875,0.0,0.0,0.0,0.075,0.05,0.41049,-1.1524
"[0.85, 0.0, 0.0, 0.0, 0.075, 0.075]",0.85,0.0,0.0,0.0,0.075,0.075,0.41064,-1.135
"[0.825, 0.0, 0.0, 0.0, 0.075, 0.1]",0.825,0.0,0.0,0.0,0.075,0.1,0.41096,-1.1171
"[0.775, 0.0, 0.0, 0.0, 0.075, 0.15]",0.775,0.0,0.0,0.0,0.075,0.15,0.41203,-1.0817999999999999
"[0.9, 0.0, 0.0, 0.0, 0.1, 0.0]",0.9,0.0,0.0,0.0,0.1,0.0,0.41093,-1.3065000000000002
"[0.875, 0.0, 0.0, 0.0, 0.1, 0.025]",0.875,0.0,0.0,0.0,0.1,0.025,0.41082,-1.2891
"[0.85, 0.0, 0.0, 0.0, 0.1, 0.05]",0.85,0.0,0.0,0.0,0.1,0.05,0.41090000000000004,-1.2711999999999999
"[0.825, 0.0, 0.0, 0.0, 0.1, 0.075]",0.825,0.0,0.0,0.0,0.1,0.075,0.41109999999999997,-1.254
"[0.8, 0.0, 0.0, 0.0, 0.1, 0.1]",0.8,0.0,0.0,0.0,0.1,0.1,0.41142,-1.2361
"[0.75, 0.0, 0.0, 0.0, 0.1, 0.15]",0.75,0.0,0.0,0.0,0.1,0.15,0.41251000000000004,-1.2005
"[0.85, 0.0, 0.0, 0.0, 0.15, 0.0]",0.85,0.0,0.0,0.0,0.15,0.0,0.41181999999999996,-1.5442999999999998
"[0.825, 0.0, 0.0, 0.0, 0.15, 0.025]",0.825,0.0,0.0,0.0,0.15,0.025,0.41176,-1.5269
"[0.8, 0.0, 0.0, 0.0, 0.15, 0.05]",0.8,0.0,0.0,0.0,0.15,0.05,0.41181999999999996,-1.509
"[0.775, 0.0, 0.0, 0.0, 0.15, 0.075]",0.775,0.0,0.0,0.0,0.15,0.075,0.41201999999999994,-1.4912999999999998
"[0.75, 0.0, 0.0, 0.0, 0.15, 0.1]",0.75,0.0,0.0,0.0,0.15,0.1,0.41237999999999997,-1.4733999999999998
"[0.7, 0.0, 0.0, 0.0, 0.15, 0.15]",0.7,0.0,0.0,0.0,0.15,0.15,0.41355,-1.4381
"[0.975, 0.0, 0.0, 0.025, 0.0, 0.0]",0.975,0.0,0.0,0.025,0.0,0.0,0.41323,-1.1165
"[0.95, 0.0, 0.0, 0.025, 0.0, 0.025]",0.95,0.0,0.0,0.025,0.0,0.025,0.41255,-1.0991
"[0.925, 0.0, 0.0, 0.025, 0.0, 0.05]",0.925,0.0,0.0,0.025,0.0,0.05,0.41205,-1.0817
"[0.9, 0.0, 0.0, 0.025, 0.0, 0.075]",0.9,0.0,0.0,0.025,0.0,0.075,0.41178,-1.0637999999999999
"[0.875, 0.0, 0.0, 0.025, 0.0, 0.1]",0.875,0.0,0.0,0.025,0.0,0.1,0.41209,-1.0464
"[0.825, 0.0, 0.0, 0.025, 0.0, 0.15]",0.825,0.0,0.0,0.025,0.0,0.15,0.41318,-1.0111
"[0.95, 0.0, 0.0, 0.025, 0.025, 0.0]",0.95,0.0,0.0,0.025,0.025,0.0,0.41304,-1.2353
"[0.925, 0.0, 0.0, 0.025, 0.025, 0.025]",0.925,0.0,0.0,0.025,0.025,0.025,0.41235,-1.2179
"[0.9, 0.0, 0.0, 0.025, 0.025, 0.05]",0.9,0.0,0.0,0.025,0.025,0.05,0.41201,-1.2
"[0.875, 0.0, 0.0, 0.025, 0.025, 0.075]",0.875,0.0,0.0,0.025,0.025,0.075,0.41215999999999997,-1.1826
"[0.85, 0.0, 0.0, 0.025, 0.025, 0.1]",0.85,0.0,0.0,0.025,0.025,0.1,0.4125,-1.1651999999999998
"[0.8, 0.0, 0.0, 0.025, 0.025, 0.15]",0.8,0.0,0.0,0.025,0.025,0.15,0.41359,-1.1296
"[0.925, 0.0, 0.0, 0.025, 0.05, 0.0]",0.925,0.0,0.0,0.025,0.05,0.0,0.41285,-1.3541
"[0.9, 0.0, 0.0, 0.025, 0.05, 0.025]",0.9,0.0,0.0,0.025,0.05,0.025,0.41235999999999995,-1.3367
"[0.875, 0.0, 0.0, 0.025, 0.05, 0.05]",0.875,0.0,0.0,0.025,0.05,0.05,0.41242,-1.3187999999999998
"[0.85, 0.0, 0.0, 0.025, 0.05, 0.075]",0.85,0.0,0.0,0.025,0.05,0.075,0.41259,-1.3014000000000001
"[0.825, 0.0, 0.0, 0.025, 0.05, 0.1]",0.825,0.0,0.0,0.025,0.05,0.1,0.41293,-1.2832
"[0.775, 0.0, 0.0, 0.025, 0.05, 0.15]",0.775,0.0,0.0,0.025,0.05,0.15,0.41408999999999996,-1.2484
"[0.9, 0.0, 0.0, 0.025, 0.075, 0.0]",0.9,0.0,0.0,0.025,0.075,0.0,0.41285,-1.4729
"[0.875, 0.0, 0.0, 0.025, 0.075, 0.025]",0.875,0.0,0.0,0.025,0.075,0.025,0.41276999999999997,-1.4555
"[0.85, 0.0, 0.0, 0.025, 0.075, 0.05]",0.85,0.0,0.0,0.025,0.075,0.05,0.41285,-1.4376
"[0.825, 0.0, 0.0, 0.025, 0.075, 0.075]",0.825,0.0,0.0,0.025,0.075,0.075,0.41302,-1.4199
"[0.8, 0.0, 0.0, 0.025, 0.075, 0.1]",0.8,0.0,0.0,0.025,0.075,0.1,0.41337999999999997,-1.4020000000000001
"[0.75, 0.0, 0.0, 0.025, 0.075, 0.15]",0.75,0.0,0.0,0.025,0.075,0.15,0.41457,-1.3669
"[0.875, 0.0, 0.0, 0.025, 0.1, 0.0]",0.875,0.0,0.0,0.025,0.1,0.0,0.41331,-1.5918999999999999
"[0.85, 0.0, 0.0, 0.025, 0.1, 0.025]",0.85,0.0,0.0,0.025,0.1,0.025,0.4132,-1.5742
"[0.825, 0.0, 0.0, 0.025, 0.1, 0.05]",0.825,0.0,0.0,0.025,0.1,0.05,0.41328,-1.5563
"[0.8, 0.0, 0.0, 0.025, 0.1, 0.075]",0.8,0.0,0.0,0.025,0.1,0.075,0.4135,-1.5389
"[0.775, 0.0, 0.0, 0.025, 0.1, 0.1]",0.775,0.0,0.0,0.025,0.1,0.1,0.41386,-1.521
"[0.725, 0.0, 0.0, 0.025, 0.1, 0.15]",0.725,0.0,0.0,0.025,0.1,0.15,0.41508,-1.4857
"[0.825, 0.0, 0.0, 0.025, 0.15, 0.0]",0.825,0.0,0.0,0.025,0.15,0.0,0.41422000000000003,-1.8292
"[0.8, 0.0, 0.0, 0.025, 0.15, 0.025]",0.8,0.0,0.0,0.025,0.15,0.025,0.41414,-1.8118
