Период,actual,v11,v12,rmse_v11,rmse_v12,sse_v11,sse_v12,rows,bias_v11_pct,bias_v12_pct,sse_delta,sse_delta_pct
2024-07,11191.0,10837.9427,11094.7533,3.0823,3.1117,24834.452,25310.7246,2614,-3.1548,-0.86,476.2726,1.9178
2024-08,11301.0,11251.0652,11373.8378,2.2265,2.2456,12958.3911,13181.8688,2614,-0.4419,0.6445,223.4777,1.7246
2024-09,10802.0,10730.6205,10890.8279,2.5436,2.5379,16912.7807,16836.0581,2614,-0.6608,0.8223,-76.7227,-0.4536
2024-10,11711.0,11409.1871,11656.1485,3.7196,3.6799,36166.0817,35397.4199,2614,-2.5772,-0.4684,-768.6617,-2.1254
2024-11,13705.0,13272.8062,13538.6697,3.4874,3.5037,31792.0948,32089.5185,2614,-3.1535,-1.2136,297.4237,0.9355
2024-12,28920.0,28595.3187,28463.8881,7.2113,7.205,135936.877,135698.8399,2614,-1.1227,-1.5772,-238.0371,-0.1751
2025-01,12778.0,13097.3907,13322.3315,2.539,2.5377,16851.3059,16834.5559,2614,2.4995,4.2599,-16.7499,-0.0994
2025-02,9859.0,10343.2635,10470.807,3.387,3.4218,29987.8103,30606.7525,2614,4.9119,6.2056,618.9422,2.064
2025-03,10798.0,9302.923,9771.2523,3.5642,3.498,33206.9219,31985.6594,2614,-13.8459,-9.5087,-1221.2624,-3.6777
2025-04,8829.0,8613.933,8601.3332,3.7268,3.7004,36305.7165,35792.9859,2614,-2.4359,-2.5786,-512.7306,-1.4123
2025-05,9630.0,9258.1333,9029.3142,3.292,3.3244,28329.2102,28889.1957,2614,-3.8615,-6.2377,559.9854,1.9767
2025-06,8883.0,9539.1624,9310.388,2.9164,2.8896,22232.6634,21827.0259,2614,7.3867,4.8113,-405.6375,-1.8245
2025-07,9828.0,9738.4091,9835.3013,3.51,3.5464,32205.2622,32876.6825,2614,-0.9116,0.0743,671.4204,2.0848
2025-08,10023.0,10556.7438,10616.5142,2.834,2.8591,20994.504,21367.9238,2614,5.3252,5.9215,373.4198,1.7787
2025-09,9219.0,10354.5565,10529.3658,3.0174,3.0702,23800.0849,24639.9119,2614,12.3176,14.2138,839.827,3.5287
2025-10,11507.0,11342.3777,11576.8937,3.435,3.3895,30843.8006,30032.0379,2614,-1.4306,0.6074,-811.7627,-2.6319
2025-11,13604.0,12452.2413,13009.9175,4.5875,4.4908,55012.4663,52717.4083,2614,-8.4663,-4.367,-2295.058,-4.1719
2025-12,24807.0,24254.5131,24260.9792,9.3391,9.2666,227990.5947,224465.0198,2614,-2.2271,-2.2011,-3525.5749,-1.5464
2026-01,11151.0,13963.3258,14350.949,3.8609,3.9635,38966.5475,41064.6529,2614,25.2204,28.6965,2098.1053,5.3844
