lambda,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds
0.0,0.4104,-1.084,"[0.3158, 0.3902, 0.4603]","[-2.401, -2.144, 0.078]"
0.0125,0.4113,-1.31,"[0.3215, 0.3904, 0.4598]","[-2.985, -2.386, 0.006]"
0.025,0.4128,-1.536,"[0.3275, 0.3908, 0.4601]","[-3.569, -2.628, -0.067]"
0.0375,0.4144,-1.761,"[0.3337, 0.3914, 0.4605]","[-4.153, -2.87, -0.139]"
0.05,0.4162,-1.986,"[0.3401, 0.3922, 0.4611]","[-4.737, -3.112, -0.211]"
0.0625,0.4183,-2.212,"[0.3467, 0.3932, 0.4619]","[-5.321, -3.353, -0.284]"
0.075,0.4204,-2.438,"[0.3534, 0.3944, 0.4629]","[-5.906, -3.595, -0.356]"
0.0875,0.4233,-2.663,"[0.3605, 0.397, 0.4641]","[-6.49, -3.837, -0.428]"
0.1,0.4262,-2.888,"[0.3677, 0.3999, 0.4653]","[-7.074, -4.079, -0.5]"
0.1125,0.4293,-3.114,"[0.3752, 0.403, 0.4668]","[-7.658, -4.32, -0.573]"
0.125,0.4326,-3.34,"[0.3828, 0.4062, 0.4683]","[-8.242, -4.562, -0.645]"
0.1375,0.436,-3.565,"[0.3905, 0.4096, 0.47]","[-8.826, -4.804, -0.717]"
0.15,0.4396,-3.791,"[0.3984, 0.4131, 0.4719]","[-9.411, -5.046, -0.79]"
0.1625,0.4432,-4.016,"[0.4064, 0.4169, 0.4738]","[-9.995, -5.287, -0.862]"
0.175,0.4471,-4.241,"[0.4146, 0.4207, 0.4759]","[-10.579, -5.529, -0.934]"
0.1875,0.4511,-4.467,"[0.4229, 0.4246, 0.4782]","[-11.163, -5.771, -1.006]"
0.2,0.4552,-4.693,"[0.4314, 0.4287, 0.4806]","[-11.747, -6.013, -1.079]"
