n_rows,WAPE,MAE,RMSE,Bias_units,Agg_Bias_pct,SMAPE_nz,Monthly_WAPE,SIMSCORE,tag,family,scale,weight_a,coef
31452,0.4244,2.005,4.3304,0.0,0.0,0.5014,0.0,0.4244,monthly_v72_champion,monthly,"{1: 1.021, 2: 1.01, 3: 1.218, 4: 1.102, 5: 1.231, 6: 1.077, 7: 1.176, 8: 1.103, 9: 1.081, 10: 1.124, 11: 1.173, 12: 1.144}",,
31452,0.4251,2.008,4.2773,0.0,0.0,0.5129,0.0,0.4251,monthly_v7,monthly,"{1: 1.007, 2: 1.0, 3: 1.185, 4: 1.119, 5: 1.097, 6: 1.069, 7: 1.171, 8: 1.128, 9: 1.098, 10: 1.124, 11: 1.185, 12: 1.011}",,
31452,0.4275,2.0195,4.2127,0.0,0.0,0.4861,0.0,0.4275,monthly_v6,monthly,"{1: 0.852, 2: 0.854, 3: 1.02, 4: 0.968, 5: 0.964, 6: 0.89, 7: 1.018, 8: 0.972, 9: 0.946, 10: 0.981, 11: 0.992, 12: 0.876}",,
31452,0.4236,2.0009,4.202,-0.0015,-0.032,0.4892,0.0508,0.4491,blend_v6_v72_champion,blend,,0.6,
31452,0.428,2.0219,4.2959,0.0,0.0,0.4962,0.0424,0.4492,scalar_v71,scalar,1.112,,
31452,0.4258,2.0113,4.2587,0.0,0.0,0.5174,0.0513,0.4514,scalar_v7,scalar,1.0859,,
31452,0.4223,1.9947,4.1837,-0.0179,-0.378,0.4967,0.0561,0.4522,blend_v6_v7,blend,,0.5,
31452,0.4271,2.0177,4.3722,-0.0,0.0,0.5029,0.0501,0.4522,scalar_v72_champion,scalar,1.1213,,
31452,0.4238,2.0019,4.0336,-0.0744,-1.576,0.468,0.0514,0.4574,nnls_stack_all,stack,,,"{'v5': 0.545, 'v6': 0.122, 'v7': 0.0, 'v71': 0.333, 'v72_champion': 0.0}"
31452,0.4287,2.0249,4.2054,0.0,0.0,0.49,0.0582,0.4578,scalar_v6,scalar,0.9332,,
31452,0.4316,2.0386,4.0691,-0.0115,-0.244,0.4671,0.0574,0.4615,blend_v5_v7,blend,,0.8,
31452,0.4328,2.0445,4.0717,-0.0095,-0.2,0.4652,0.0569,0.4622,blend_v5_v72_champion,blend,,0.85,
31452,0.4315,2.0382,4.0379,0.1499,3.172,0.4639,0.0574,0.476,nnls_stack_symmetric,stack,,,"{'v4': 0.167, 'v5': 0.454, 'v6': 0.379}"
31452,0.441,2.0833,4.1286,0.079,1.673,0.4643,0.0581,0.4784,bare_v5_val,bare,,,
31452,0.42,1.9841,4.319,-0.3739,-7.914,0.5328,0.0873,0.5032,bare_v7_val,bare,,,
31452,0.44,2.0783,4.201,0.3381,7.158,0.4859,0.0692,0.5103,bare_v6_val,bare,,,
31452,0.4237,2.0014,4.4496,-0.476,-10.076,0.5151,0.0972,0.5226,bare_v71_val,bare,,,
31452,0.4237,2.0014,4.4496,-0.476,-10.076,0.5151,0.0972,0.5226,blend_v71_v72_champion,blend,,1.0,
31452,0.4225,1.996,4.5272,-0.511,-10.817,0.5249,0.1053,0.5293,bare_v72_champion_val,bare,,,
