name,OOF_mean,OOF_folds,in_sample,gap
v74_compact_per_channel,0.4651,"[0.4306, 0.4607, 0.5039]",0.4556,0.0095
v74_compact_per_brand,0.4655,"[0.4278, 0.4616, 0.5072]",0.4572,0.0083
v73_compact_global,0.4671,"[0.431, 0.4631, 0.5071]",0.4591,0.008
v74_compact_per_density,0.471,"[0.4426, 0.4632, 0.5073]",0.4593,0.0117
v74_per_channel_bias_scalar,0.4722,"[0.4554, 0.4678, 0.4933]",0.4434,0.0288
v74_pool_full_global,0.4756,"[0.4367, 0.4847, 0.5053]",0.4572,0.0184
v74_compact_bias_constrained,0.4792,"[0.4673, 0.468, 0.5022]",0.45,0.0292
v74_full_per_density,0.4794,"[0.4477, 0.4846, 0.506]",0.458,0.0214
v74_full_per_channel,0.4807,"[0.4461, 0.4978, 0.4982]",0.4509,0.0298
v74_full_bias_constrained,0.481,"[0.43, 0.5064, 0.5067]",0.4507,0.0303
v74_full_per_channel_bias_scalar,0.4852,"[0.421, 0.5305, 0.504]",0.4453,0.0399
