name,OOF_mean,OOF_folds,in_sample,gap
v76_lad_sym+analytical_reconcile_0.8,0.4521,"[0.4171, 0.4543, 0.4848]",0.4389,0.0132
v76_lad_sym_reconcile_0.5,0.4534,"[0.4226, 0.4404, 0.4971]",0.4486,0.0048
v76_lad_sym+analytical_reconcile_0.5,0.4536,"[0.4273, 0.4425, 0.491]",0.4457,0.0079
v76_lad_sym_reconcile_0.8,0.4546,"[0.4236, 0.4504, 0.4899]",0.4411,0.0135
v76_lad_sym+analytical_reconcile_1.0,0.4569,"[0.4211, 0.4623, 0.4874]",0.4355,0.0214
v76_lad_sym_reconcile_1.0,0.4582,"[0.4315, 0.4578, 0.4853]",0.4368,0.0214
v76_lad_compact_reconcile_0.8,0.4589,"[0.4165, 0.4638, 0.4965]",0.445,0.0139
v76_lad_compact_reconcile_0.5,0.4596,"[0.4231, 0.4534, 0.5023]",0.4521,0.0075
v76_lad_sym+analytical_per_channel,0.4637,"[0.4464, 0.4416, 0.503]",0.4583,0.0054
v76_lad_compact_reconcile_1.0,0.4652,"[0.4308, 0.4709, 0.494]",0.4405,0.0247
v76_lad_sym_per_channel,0.4658,"[0.4427, 0.4446, 0.5102]",0.4624,0.0034
v76_lad_compact_per_channel,0.4778,"[0.4622, 0.4554, 0.5158]",0.4658,0.012
