name,OOF_mean,OOF_folds,in_sample,gap
v77_tau0.55_chABC05_brand03,0.457,"[0.4124, 0.4614, 0.4972]",0.4462,0.0108
v77_tau0.52_chABC05_brand03,0.4575,"[0.4148, 0.4592, 0.4985]",0.4472,0.0103
v77_tau0.5_chABC08,0.4576,"[0.4125, 0.4644, 0.496]",0.4447,0.0129
v77_tau0.5_chABC05_brand03,0.4578,"[0.4164, 0.4576, 0.4995]",0.4477,0.0101
v77_tau0.52_chABC08,0.458,"[0.4132, 0.4656, 0.4953]",0.4444,0.0136
v77_tau0.55_chABC08,0.4589,"[0.4149, 0.4675, 0.4943]",0.4439,0.015
v77_tau0.5_ch08,0.4589,"[0.4165, 0.4638, 0.4965]",0.445,0.0139
v77_tau0.52_ch08,0.4594,"[0.4176, 0.4649, 0.4958]",0.4448,0.0146
v77_tau0.55_ch08,0.4602,"[0.4192, 0.4666, 0.4949]",0.4444,0.0158
v77_tau0.5_ch08_ABC05,0.4617,"[0.4235, 0.468, 0.4936]",0.4418,0.0199
v77_tau0.5_ch08_brand05,0.4618,"[0.4234, 0.4658, 0.4961]",0.4424,0.0194
v77_tau0.5_ch08_chABC05,0.462,"[0.4238, 0.4681, 0.494]",0.4422,0.0198
v77_tau0.52_ch08_ABC05,0.4621,"[0.4243, 0.469, 0.4931]",0.4417,0.0204
v77_tau0.52_ch08_brand05,0.4622,"[0.4242, 0.4667, 0.4956]",0.4422,0.02
v77_tau0.52_ch08_chABC05,0.4624,"[0.4247, 0.469, 0.4935]",0.442,0.0204
v77_tau0.5_ch08_chABC05_brand03,0.4628,"[0.4257, 0.4684, 0.4943]",0.4412,0.0216
v77_tau0.55_ch08_brand05,0.4628,"[0.4253, 0.4681, 0.4949]",0.4421,0.0207
v77_tau0.55_ch08_ABC05,0.4629,"[0.4257, 0.4705, 0.4924]",0.4415,0.0214
v77_tau0.55_ch08_chABC05,0.4632,"[0.4262, 0.4704, 0.4929]",0.4419,0.0213
v77_tau0.52_ch08_chABC05_brand03,0.4632,"[0.4265, 0.4692, 0.4939]",0.4411,0.0221
v77_tau0.55_ch08_chABC05_brand03,0.4639,"[0.4277, 0.4706, 0.4933]",0.441,0.0229
v77_tau0.5_ch08_chABC08,0.4644,"[0.4284, 0.4715, 0.4933]",0.4408,0.0236
v77_tau0.52_ch08_chABC08,0.4648,"[0.4292, 0.4723, 0.4929]",0.4407,0.0241
v77_tau0.55_ch08_chABC08,0.4655,"[0.4306, 0.4736, 0.4923]",0.4408,0.0247
