name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v77_compact+rec_tau0.52_chABC05_brand03,0.4552,0.4674,"[0.4142, 0.4559, 0.4955]",0.4453,0.0099
v77_compact+rec_tau0.5_chABC05_brand03,0.4555,0.4675,"[0.4159, 0.4547, 0.4959]",0.4458,0.0097
v77_compact+rec+nosgm_tau0.5_chABC05_brand03,0.4558,0.4678,"[0.4164, 0.4549, 0.4961]",0.4456,0.0102
v77_compact+rec+nosgm_tau0.52_chABC05_brand03,0.4564,0.4681,"[0.4177, 0.4561, 0.4954]",0.4451,0.0113
v77_compact+rec_tau0.5_chABC08,0.4564,0.4683,"[0.4139, 0.4609, 0.4945]",0.4434,0.013
v77_compact+rec_tau0.52_chABC08,0.4569,0.4686,"[0.4145, 0.462, 0.4941]",0.4431,0.0138
v77_compact+rec_tau0.5_ch08,0.4575,0.4691,"[0.4172, 0.4602, 0.4952]",0.4437,0.0138
v77_compact+rec_tau0.52_ch08,0.4581,0.4694,"[0.4183, 0.4611, 0.4948]",0.4435,0.0146
v77_compact+rec+nosgm_tau0.5_chABC08,0.4587,0.4697,"[0.4203, 0.461, 0.4947]",0.4433,0.0154
v77_compact_tau0.5_chABC08,0.4576,0.4698,"[0.4125, 0.4644, 0.496]",0.4447,0.0129
v77_compact+rec+nosgm_tau0.52_chABC08,0.4593,0.47,"[0.4217, 0.462, 0.4941]",0.443,0.0163
v77_compact_tau0.52_chABC08,0.458,0.47,"[0.4132, 0.4656, 0.4953]",0.4444,0.0136
v77_compact_tau0.52_chABC05_brand03,0.4575,0.47,"[0.4148, 0.4592, 0.4985]",0.4472,0.0103
v77_compact+rec+nosgm_tau0.5_ch08,0.4593,0.4702,"[0.4224, 0.4601, 0.4953]",0.4436,0.0157
v77_compact_tau0.5_chABC05_brand03,0.4578,0.4703,"[0.4164, 0.4576, 0.4995]",0.4477,0.0101
v77_compact+rec+nosgm_tau0.52_ch08,0.46,0.4705,"[0.424, 0.4611, 0.4948]",0.4434,0.0166
v77_compact_tau0.5_ch08,0.4589,0.4707,"[0.4165, 0.4638, 0.4965]",0.445,0.0139
v77_compact_tau0.52_ch08,0.4594,0.4709,"[0.4176, 0.4649, 0.4958]",0.4448,0.0146
v77_compact+rec_tau0.5_ch08_chABC05,0.4608,0.4711,"[0.4244, 0.4641, 0.494]",0.4414,0.0194
v77_compact+rec_tau0.52_ch08_chABC05,0.4613,0.4714,"[0.4253, 0.465, 0.4936]",0.4413,0.02
v77_compact+rec_tau0.5_ch08_chABC05_brand03,0.4616,0.4717,"[0.4262, 0.4643, 0.4944]",0.4406,0.021
v77_compact+rec_tau0.52_ch08_chABC05_brand03,0.462,0.4719,"[0.427, 0.4651, 0.494]",0.4405,0.0215
v77_compact+rec+nosgm_tau0.5_ch08_chABC05,0.4625,0.4721,"[0.4295, 0.4639, 0.4941]",0.4413,0.0212
v77_compact_tau0.5_ch08_chABC05,0.462,0.4722,"[0.4238, 0.4681, 0.494]",0.4422,0.0198
v77_compact_tau0.52_ch08_chABC05,0.4624,0.4724,"[0.4247, 0.469, 0.4935]",0.442,0.0204
v77_compact+rec+nosgm_tau0.52_ch08_chABC05,0.4631,0.4724,"[0.431, 0.4648, 0.4936]",0.4412,0.0219
v77_compact+rec+nosgm_tau0.5_ch08_chABC05_brand03,0.4633,0.4728,"[0.4312, 0.4641, 0.4946]",0.4405,0.0228
v77_compact_tau0.5_ch08_chABC05_brand03,0.4628,0.4728,"[0.4257, 0.4684, 0.4943]",0.4412,0.0216
v77_compact_tau0.52_ch08_chABC05_brand03,0.4632,0.473,"[0.4265, 0.4692, 0.4939]",0.4411,0.0221
v77_compact+rec+nosgm_tau0.52_ch08_chABC05_brand03,0.4638,0.473,"[0.4325, 0.4649, 0.494]",0.4404,0.0234
