Канал,Сегмент_ABC,moy,n,y,p,ae,WAPE,bias_pct,err_share_pct
СК,В,12,1466,21069.0,22868.72,6753.113,0.321,8.542,6.576
СК,В,11,1466,11704.0,11011.866,4280.893,0.366,-5.914,4.168
СК,В,10,1466,10536.0,10410.971,3892.772,0.369,-1.187,3.791
СК,В,9,1466,9093.0,9371.582,3477.612,0.382,3.064,3.386
СК,В,7,1466,9068.0,9235.295,3462.684,0.382,1.845,3.372
СК,В,1,1466,10271.0,9697.658,3433.941,0.334,-5.582,3.344
СК,В,8,1466,9645.0,9715.996,3322.413,0.344,0.736,3.235
СК,В,2,1466,7712.0,6832.503,3227.408,0.418,-11.404,3.143
СК,А,12,318,10048.0,9306.849,2927.264,0.291,-7.376,2.85
СК,В,3,733,4984.0,4329.604,1778.312,0.357,-13.13,1.732
СК,В,4,733,4482.0,4214.798,1775.934,0.396,-5.962,1.729
СК,В,5,733,4614.0,4390.364,1725.743,0.374,-4.847,1.68
НКП,В,12,342,4246.0,4595.362,1530.482,0.36,8.228,1.49
СК,V,12,480,3234.0,4014.756,1508.453,0.466,24.142,1.469
СК,В,6,733,4079.0,4244.7,1504.362,0.369,4.062,1.465
СК,А,11,318,4426.0,3675.204,1402.072,0.317,-16.963,1.365
РС,В,12,496,3577.0,3679.549,1302.05,0.364,2.867,1.268
СК,А,1,318,4074.0,3747.476,1189.751,0.292,-8.015,1.159
ИМ,В,12,364,1788.0,2291.054,1109.876,0.621,28.135,1.081
СК,А,2,318,2391.0,2288.008,1063.559,0.445,-4.307,1.036
РС,В,7,496,1854.0,1187.227,1048.321,0.565,-35.964,1.021
СК,А,10,318,3230.0,3067.558,1033.177,0.32,-5.029,1.006
СК,V,7,480,1859.0,1713.911,944.091,0.508,-7.805,0.919
СК,V,9,480,1784.0,1839.531,895.879,0.502,3.113,0.872
СК,V,10,480,1848.0,1879.292,887.313,0.48,1.693,0.864
НКП,В,10,342,1903.0,1692.967,868.677,0.456,-11.037,0.846
СК,V,8,480,1777.0,1847.603,855.321,0.481,3.973,0.833
СК,А,7,318,2539.0,2467.435,853.146,0.336,-2.819,0.831
СК,V,11,480,1788.0,1887.178,826.108,0.462,5.547,0.804
РС,В,11,496,1842.0,1512.119,817.982,0.444,-17.909,0.797
НКП,В,11,342,2075.0,2004.115,811.602,0.391,-3.416,0.79
СК,С,12,230,1594.0,1780.734,758.444,0.476,11.715,0.739
НКП,В,1,342,1982.0,2060.902,749.444,0.378,3.981,0.73
СК,А,8,318,2655.0,2670.135,745.483,0.281,0.57,0.726
РС,В,10,496,1303.0,1431.574,711.312,0.546,9.868,0.693
СК,А,9,318,2479.0,2661.548,705.361,0.285,7.364,0.687
РС,В,1,496,1617.0,1613.463,702.811,0.435,-0.219,0.684
ИМ,В,11,364,920.0,841.273,688.892,0.749,-8.557,0.671
РС,В,8,496,1364.0,1424.84,679.652,0.498,4.46,0.662
СК,V,1,480,1415.0,1359.102,667.125,0.471,-3.95,0.65
НКП,В,9,342,1389.0,1610.994,652.771,0.47,15.982,0.636
РС,В,9,496,1301.0,1323.251,634.535,0.488,1.71,0.618
НКП,В,8,342,1617.0,1524.328,627.911,0.388,-5.731,0.611
СК,V,2,480,1079.0,1043.746,609.88,0.565,-3.267,0.594
НКП,В,2,342,1417.0,1191.096,587.915,0.415,-15.942,0.572
НКП,В,7,342,1321.0,1322.883,577.776,0.437,0.143,0.563
ИМ,А,12,116,897.0,922.925,560.559,0.625,2.89,0.546
ИМ,В,10,364,727.0,586.303,542.856,0.747,-19.353,0.529
РС,В,2,496,1195.0,1121.321,539.182,0.451,-6.166,0.525
ИМ,В,7,364,602.0,591.159,502.603,0.835,-1.801,0.489
ИМ,В,8,364,636.0,571.69,487.853,0.767,-10.112,0.475
ИМ,В,9,364,592.0,561.195,467.668,0.79,-5.204,0.455
РС,В,4,248,107.0,471.539,464.356,4.34,340.691,0.452
СК,V,6,240,783.0,732.796,427.33,0.546,-6.412,0.416
СК,ВИАТ,12,198,671.0,866.462,422.16,0.629,29.13,0.411
СК,С,10,230,683.0,723.478,419.711,0.615,5.927,0.409
СК,С,11,230,801.0,759.089,418.915,0.523,-5.232,0.408
РС,А,12,100,1060.0,934.464,403.463,0.381,-11.843,0.393
СК,А,5,159,1269.0,1163.782,403.231,0.318,-8.291,0.393
СК,V,5,240,696.0,624.079,388.088,0.558,-10.333,0.378
НКП,V,12,152,877.0,938.586,385.895,0.44,7.022,0.376
СК,V,3,240,832.0,727.032,383.922,0.461,-12.616,0.374
СК,А,4,159,1237.0,1137.942,377.027,0.305,-8.008,0.367
СК,А,3,159,1199.0,1122.916,376.176,0.314,-6.346,0.366
СК,С,9,230,600.0,662.466,374.105,0.624,10.411,0.364
ИМ,В,1,364,562.0,643.86,372.013,0.662,14.566,0.362
НКП,В,3,171,957.0,821.484,366.665,0.383,-14.16,0.357
СК,V,4,240,647.0,663.312,365.565,0.565,2.521,0.356
ИМ,А,11,116,448.0,279.871,352.978,0.788,-37.529,0.344
НКП,А,12,62,1090.0,998.181,325.289,0.298,-8.424,0.317
СК,А,6,159,1064.0,1081.758,320.383,0.301,1.669,0.312
РС,В,6,248,587.0,529.897,318.005,0.542,-9.728,0.31
СК,С,8,230,541.0,601.505,316.93,0.586,11.184,0.309
СК,С,1,230,692.0,668.038,316.685,0.458,-3.463,0.308
СК,С,7,230,574.0,539.725,307.783,0.536,-5.971,0.3
СК,С,2,230,538.0,450.113,305.711,0.568,-16.336,0.298
НКП,С,12,72,931.0,916.94,299.87,0.322,-1.51,0.292
РС,В,3,248,671.0,623.399,289.5,0.431,-7.094,0.282
НКП,В,5,171,683.0,669.015,286.363,0.419,-2.048,0.279
ИМ,В,2,364,419.0,317.29,285.12,0.68,-24.275,0.278
НКП,В,4,171,671.0,725.476,283.991,0.423,8.119,0.277
РС,В,5,248,498.0,456.363,272.125,0.546,-8.361,0.265
ИМ,А,7,116,264.0,197.751,270.621,1.025,-25.094,0.264
РС,С,12,122,620.0,629.273,261.232,0.421,1.496,0.254
НКП,В,6,171,661.0,702.236,259.264,0.392,6.238,0.252
СК,ВИАТ,9,198,432.0,410.057,249.442,0.577,-5.079,0.243
СК,ВИАТ,11,198,366.0,436.694,245.274,0.67,19.315,0.239
СК,ВИАТ,10,198,438.0,463.649,238.6,0.545,5.856,0.232
НКП,V,8,152,494.0,412.912,236.449,0.479,-16.415,0.23
СК,ВИАТ,7,198,400.0,444.713,226.834,0.567,11.178,0.221
СК,ВИАТ,8,198,357.0,445.163,227.294,0.637,24.695,0.221
НКП,V,9,152,372.0,442.573,226.937,0.61,18.971,0.221
ИМ,В,6,182,301.0,259.307,225.459,0.749,-13.852,0.22
ИМ,В,5,182,337.0,234.956,221.881,0.658,-30.28,0.216
НКП,V,10,152,425.0,446.753,220.57,0.519,5.118,0.215
НКП,V,11,152,425.0,481.564,219.913,0.517,13.309,0.214
НКП,V,1,152,425.0,371.26,215.044,0.506,-12.645,0.209
ИМ,V,12,116,260.0,326.687,194.242,0.747,25.649,0.189
НКП,V,7,152,364.0,345.801,192.572,0.529,-5.0,0.188
СК,unknown,12,30,454.0,388.697,185.733,0.409,-14.384,0.181
ИМ,В,4,182,275.0,227.356,185.417,0.674,-17.325,0.181
РС,А,7,100,350.0,228.955,185.079,0.529,-34.584,0.18
НКП,V,2,152,378.0,280.721,179.795,0.476,-25.735,0.175
ИМ,В,3,182,246.0,267.529,174.493,0.709,8.752,0.17
СК,С,3,115,335.0,315.598,173.324,0.517,-5.792,0.169
СК,ВИАТ,4,99,295.0,194.584,170.396,0.578,-34.039,0.166
НКП,А,1,62,427.0,452.159,169.232,0.396,5.892,0.165
НКП,С,8,72,375.0,312.257,168.777,0.45,-16.732,0.164
РС,А,11,100,474.0,366.686,168.584,0.356,-22.64,0.164
ИМ,А,9,116,167.0,189.398,166.195,0.995,13.412,0.162
НКП,СТОК-ВИАТ,12,136,269.0,267.584,159.233,0.592,-0.527,0.155
РС,С,11,122,267.0,230.073,157.62,0.59,-13.83,0.153
РС,V,12,104,278.0,285.03,157.501,0.567,2.529,0.153
РС,С,7,122,219.0,176.972,155.204,0.709,-19.191,0.151
СК,С,6,115,189.0,267.032,152.157,0.805,41.287,0.148
СК,ВИАТ,1,198,285.0,287.104,152.337,0.535,0.738,0.148
ИМ,А,10,116,168.0,210.373,151.154,0.9,25.222,0.147
НКП,С,11,72,382.0,397.668,149.374,0.391,4.102,0.145
ИМ,А,8,116,160.0,202.789,147.309,0.921,26.743,0.143
СК,ВИАТ,3,99,279.0,194.683,147.206,0.528,-30.221,0.143
РС,А,1,100,400.0,408.81,143.332,0.358,2.203,0.14
НКП,С,9,72,264.0,342.032,143.317,0.543,29.558,0.14
СК,С,5,115,179.0,231.438,142.155,0.794,29.295,0.138
СК,ВИАТ,2,198,234.0,258.591,142.188,0.608,10.509,0.138
СК,С,4,115,222.0,256.223,139.527,0.629,15.416,0.136
НКП,ВИАТ,12,86,251.0,273.668,135.658,0.54,9.031,0.132
РС,С,1,122,265.0,245.494,134.137,0.506,-7.361,0.131
РС,С,10,122,177.0,206.724,132.92,0.751,16.793,0.129
НКП,С,1,72,397.0,363.542,131.506,0.331,-8.428,0.128
НКП,С,10,72,329.0,353.943,130.981,0.398,7.581,0.128
ИМ,А,1,116,187.0,247.089,131.834,0.705,32.133,0.128
РС,А,10,100,281.0,272.286,127.826,0.455,-3.101,0.124
СК,ВИАТ,5,99,244.0,201.998,127.421,0.522,-17.214,0.124
ИМ,V,11,116,161.0,120.73,126.812,0.788,-25.012,0.123
РС,С,9,122,181.0,198.357,126.279,0.698,9.589,0.123
РС,А,2,100,280.0,227.575,124.915,0.446,-18.723,0.122
НКП,СТОК-ВИАТ,8,136,184.0,203.922,122.335,0.665,10.827,0.119
НКП,А,11,62,376.0,316.737,122.631,0.326,-15.761,0.119
ИМ,V,9,116,105.0,90.095,121.365,1.156,-14.196,0.118
НКП,СТОК-ВИАТ,7,136,202.0,199.318,119.715,0.593,-1.328,0.117
РС,С,8,122,183.0,201.097,118.782,0.649,9.889,0.116
НКП,С,7,72,311.0,287.447,116.001,0.373,-7.573,0.113
ИМ,А,2,116,132.0,96.324,110.517,0.837,-27.027,0.108
РС,А,9,100,214.0,251.722,110.24,0.515,17.627,0.107
НКП,СТОК-ВИАТ,9,136,156.0,213.702,109.4,0.701,36.988,0.107
ИМ,V,7,116,128.0,98.381,107.789,0.842,-23.14,0.105
ИМ,V,10,116,109.0,87.678,105.696,0.97,-19.561,0.103
РС,А,8,100,259.0,271.052,106.022,0.409,4.653,0.103
