moy,split,n,y,p,ae,WAPE,bias_pct,err_share_pct
12,val,2621,28951.0,30049.722,10286.128,0.355,3.795,10.016
12,test,2621,24840.0,26929.602,9483.473,0.382,8.412,9.234
11,val,2621,13732.0,12516.424,5743.008,0.418,-8.852,5.592
11,test,2621,13609.0,12645.642,5607.338,0.412,-7.079,5.46
10,val,2621,11726.0,11439.472,5108.787,0.436,-2.444,4.975
10,test,2621,11518.0,11569.81,5017.423,0.436,0.45,4.886
7,val,2621,11216.0,10322.084,4935.613,0.44,-7.97,4.806
1,val,2621,12786.0,13694.169,4753.232,0.372,7.103,4.628
7,test,2621,9834.0,9598.3,4729.008,0.481,-2.397,4.605
2,val,2621,9864.0,10328.306,4555.208,0.462,4.707,4.436
9,test,2621,9230.0,10487.633,4545.816,0.493,13.625,4.426
8,val,2621,11321.0,11001.968,4519.956,0.399,-2.818,4.401
4,val,2621,8835.0,8878.661,4504.631,0.51,0.494,4.386
9,val,2621,10811.0,10652.294,4435.929,0.41,-1.468,4.319
3,val,2621,10804.0,9596.408,4370.454,0.405,-11.177,4.256
8,test,2621,10034.0,10512.376,4279.871,0.427,4.768,4.167
1,test,2621,11164.0,9338.85,4269.175,0.382,-16.349,4.157
5,val,2621,9643.0,8987.853,4266.042,0.442,-6.794,4.154
6,val,2621,8886.0,9067.232,3961.677,0.446,2.04,3.858
2,test,2621,7298.0,5045.611,3324.088,0.455,-30.863,3.237
