name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v78_+q60_tau0.55_chABC05_brand03_chL0.0,0.4546,0.4668,"[0.4118, 0.4576, 0.4944]",0.4441,0.0105
v78_compact+rec_tau0.55_chABC05_brand03_chL0.0,0.4547,0.467,"[0.4118, 0.4574, 0.4948]",0.4445,0.0102
v78_+q60_tau0.52_chABC05_brand03_chL0.0,0.4549,0.4671,"[0.4132, 0.4561, 0.4953]",0.4451,0.0098
v78_+q60_tau0.5_chABC05_brand03_chL0.0,0.4552,0.4673,"[0.4148, 0.4549, 0.4958]",0.4457,0.0095
v78_compact+rec_tau0.52_chABC05_brand03_chL0.0,0.4552,0.4674,"[0.4142, 0.4559, 0.4955]",0.4453,0.0099
v78_compact+rec_tau0.5_chABC05_brand03_chL0.0,0.4555,0.4675,"[0.4159, 0.4547, 0.4959]",0.4458,0.0097
v78_compact+rec_tau0.5_chABC05_brand03_chL0.3,0.4559,0.468,"[0.4141, 0.4584, 0.4953]",0.4437,0.0122
v78_+q60_tau0.5_chABC05_brand03_chL0.3,0.456,0.468,"[0.4143, 0.4585, 0.4951]",0.4438,0.0122
v78_+q60_tau0.52_chABC05_brand03_chL0.3,0.4563,0.4681,"[0.4148, 0.4596, 0.4946]",0.4434,0.0129
v78_compact+rec_tau0.52_chABC05_brand03_chL0.3,0.4563,0.4682,"[0.4146, 0.4595, 0.4948]",0.4434,0.0129
v78_+q60_tau0.55_chABC05_brand03_chL0.3,0.4571,0.4685,"[0.4167, 0.4609, 0.4938]",0.4426,0.0145
v78_compact+rec_tau0.55_chABC05_brand03_chL0.3,0.4571,0.4686,"[0.4163, 0.4608, 0.4942]",0.4429,0.0142
v78_+q60_tau0.5_chABC05_brand03_chL0.5,0.4581,0.4693,"[0.4186, 0.461, 0.4946]",0.4426,0.0155
v78_compact+rec_tau0.5_chABC05_brand03_chL0.5,0.458,0.4694,"[0.4183, 0.461, 0.4948]",0.4424,0.0156
v78_compact+rec_tau0.52_chABC05_brand03_chL0.5,0.4585,0.4696,"[0.4193, 0.4619, 0.4944]",0.4421,0.0164
v78_+q60_tau0.52_chABC05_brand03_chL0.5,0.4586,0.4696,"[0.4196, 0.4619, 0.4942]",0.4422,0.0164
v78_+q60_tau0.55_chABC05_brand03_chL0.5,0.4592,0.4699,"[0.4212, 0.4631, 0.4934]",0.4416,0.0176
v78_compact+rec_tau0.55_chABC05_brand03_chL0.5,0.4593,0.47,"[0.4209, 0.463, 0.4939]",0.4419,0.0174
