Период,actual,v8,v9,bias_v8_pct,bias_v9_pct,rmse_v8,rmse_v9,sse_v8,sse_v9,sse_delta,sse_delta_pct,rows
2024-07,11191.0,10586.4929,10830.6406,-5.4017,-3.2201,3.6225,3.0973,34303.1357,25077.1283,-9226.0075,-26.8955,2614
2024-08,11301.0,11004.5219,11364.7447,-2.6235,0.5641,2.774,2.2645,20114.8264,13404.76,-6710.0664,-33.3588,2614
2024-09,10802.0,10723.0432,10912.8315,-0.7309,1.026,3.0826,2.5961,24838.652,17617.5439,-7221.1082,-29.0721,2614
2024-10,11711.0,11413.0355,11655.1954,-2.5443,-0.4765,4.1641,3.7779,45325.7158,37307.8815,-8017.8343,-17.6894,2614
2024-11,13705.0,12524.808,13401.2468,-8.6114,-2.2164,4.1295,3.5122,44576.9973,32244.9218,-12332.0755,-27.6647,2614
2024-12,28920.0,29323.2504,28950.6111,1.3944,0.1058,7.3512,7.1226,141261.7798,132612.9569,-8648.8229,-6.1225,2614
2025-01,12778.0,13613.2226,13105.1031,6.5364,2.5599,3.1444,2.7184,25845.8847,19315.9841,-6529.9006,-25.2648,2614
2025-02,9859.0,10428.8713,10370.0514,5.7802,5.1836,3.3606,3.5321,29521.4144,32611.821,3090.4066,10.4684,2614
2025-03,10798.0,9771.7733,9839.9246,-9.5039,-8.8727,3.5284,3.5171,32542.5774,32335.9617,-206.6156,-0.6349,2614
2025-04,8829.0,8826.1777,8496.7863,-0.032,-3.7628,3.609,3.7165,34046.1913,36106.4627,2060.2714,6.0514,2614
2025-05,9630.0,8993.6834,9273.5615,-6.6076,-3.7013,3.4732,3.4281,31533.8656,30720.1424,-813.7232,-2.5805,2614
2025-06,8883.0,9056.7736,9426.4237,1.9562,6.1176,2.8458,3.0639,21168.9417,24539.217,3370.2753,15.9208,2614
2025-07,9828.0,9656.4864,10039.2425,-1.7452,2.1494,3.44,3.6066,30932.8067,34001.4264,3068.6197,9.9203,2614
2025-08,10023.0,10603.7645,10830.3343,5.7943,8.0548,2.914,2.9508,22195.7502,22761.2839,565.5337,2.5479,2614
2025-09,9219.0,10555.9019,10668.4018,14.5016,15.7219,3.0846,3.2161,24871.0003,27038.1378,2167.1376,8.7135,2614
2025-10,11507.0,11457.729,11880.5,-0.4282,3.2459,3.4661,3.551,31404.028,32960.9569,1556.929,4.9577,2614
2025-11,13604.0,12459.706,12758.5527,-8.4115,-6.2147,4.8361,4.6487,61135.7987,56488.6745,-4647.1242,-7.6013,2614
2025-12,24807.0,26302.4416,25112.8658,6.0283,1.233,8.7416,9.1157,199752.4738,217214.257,17461.7832,8.7417,2614
2026-01,11151.0,9086.756,9070.9894,-18.5117,-18.6531,4.1762,4.1673,45589.1605,45394.8447,-194.3158,-0.4262,2614
